,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,8000,88-LC0-36FH,Q3 FY2012,MAR FY2012,72,01-03-2021
1,CRBU,8000,88-LC0-36FH,Q3 FY2012,APR FY2012,2,01-04-2021
2,CRBU,8000,88-LC0-36FH,Q4 FY2012,MAY FY2012,58,01-05-2021
3,CRBU,8000,88-LC0-36FH,Q4 FY2012,JUN FY2012,0,01-06-2021
4,CRBU,8000,88-LC0-36FH,Q4 FY2012,JUL FY2012,2,01-07-2021
5,CRBU,8000,88-LC0-36FH,,,24,01-08-2021
6,CRBU,8000,88-LC0-36FH,,,46,01-09-2021
7,CRBU,8000,88-LC0-36FH,,,68,01-10-2021
8,CRBU,8000,88-LC0-36FH,,,90,01-11-2021
9,CRBU,8000,88-LC0-36FH,,,112,01-12-2021
10,CRBU,8000,88-LC0-36FH,Q2 FY2022,JAN FY2022,134,01-01-2022
11,CRBU,8000,88-LC0-36FH,,,122,01-02-2022
12,CRBU,8000,88-LC0-36FH,,,109,01-03-2022
13,CRBU,8000,88-LC0-36FH,,,96,01-04-2022
14,CRBU,8000,88-LC0-36FH,,,84,01-05-2022
15,CRBU,8000,88-LC0-36FH,,,71,01-06-2022
16,CRBU,8000,88-LC0-36FH,,,58,01-07-2022
17,CRBU,8000,88-LC0-36FH,Q1 FY2022,AUG FY2022,45,01-08-2022
18,CRBU,8000,88-LC0-36FH,Q1 FY2022,SEP FY2022,68,01-09-2022
19,CRBU,8000,88-LC0-36FH,Q1 FY2022,OCT FY2022,262,01-10-2022
20,CRBU,8000,88-LC0-36FH,Q2 FY2022,NOV FY2022,45,01-11-2022
