,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,8000,8800-LC-48H,Q3 FY2011,FEB FY2011,2,01-02-2020
1,CRBU,8000,8800-LC-48H,Q3 FY2011,MAR FY2011,8,01-03-2020
2,CRBU,8000,8800-LC-48H,Q3 FY2011,APR FY2011,3,01-04-2020
3,CRBU,8000,8800-LC-48H,Q4 FY2011,MAY FY2011,3,01-05-2020
4,CRBU,8000,8800-LC-48H,Q4 FY2011,JUN FY2011,8,01-06-2020
5,CRBU,8000,8800-LC-48H,Q4 FY2011,JUL FY2011,52,01-07-2020
6,CRBU,8000,8800-LC-48H,Q1 FY2011,AUG FY2011,6,01-08-2020
7,CRBU,8000,8800-LC-48H,Q1 FY2011,SEP FY2011,0,01-09-2020
8,CRBU,8000,8800-LC-48H,Q1 FY2011,OCT FY2011,4,01-10-2020
9,CRBU,8000,8800-LC-48H,Q2 FY2011,NOV FY2011,0,01-11-2020
10,CRBU,8000,8800-LC-48H,Q2 FY2011,DEC FY2011,37,01-12-2020
11,CRBU,8000,8800-LC-48H,Q2 FY2012,JAN FY2012,985,01-01-2021
12,CRBU,8000,8800-LC-48H,Q3 FY2012,FEB FY2012,191,01-02-2021
13,CRBU,8000,8800-LC-48H,Q3 FY2012,MAR FY2012,413,01-03-2021
14,CRBU,8000,8800-LC-48H,Q3 FY2012,APR FY2012,49,01-04-2021
15,CRBU,8000,8800-LC-48H,Q4 FY2012,MAY FY2012,17,01-05-2021
16,CRBU,8000,8800-LC-48H,Q4 FY2012,JUN FY2012,131,01-06-2021
17,CRBU,8000,8800-LC-48H,Q4 FY2012,JUL FY2012,15,01-07-2021
18,CRBU,8000,8800-LC-48H,Q1 FY2012,AUG FY2012,79,01-08-2021
19,CRBU,8000,8800-LC-48H,Q1 FY2012,SEP FY2012,20,01-09-2021
20,CRBU,8000,8800-LC-48H,Q1 FY2012,OCT FY2012,604,01-10-2021
21,CRBU,8000,8800-LC-48H,Q2 FY2012,NOV FY2012,2848,01-11-2021
22,CRBU,8000,8800-LC-48H,Q2 FY2012,DEC FY2012,317,01-12-2021
23,CRBU,8000,8800-LC-48H,Q2 FY2022,JAN FY2022,428,01-01-2022
24,CRBU,8000,8800-LC-48H,,,497,01-02-2022
25,CRBU,8000,8800-LC-48H,,,566,01-03-2022
26,CRBU,8000,8800-LC-48H,,,635,01-04-2022
27,CRBU,8000,8800-LC-48H,,,704,01-05-2022
28,CRBU,8000,8800-LC-48H,,,773,01-06-2022
29,CRBU,8000,8800-LC-48H,,,842,01-07-2022
30,CRBU,8000,8800-LC-48H,Q1 FY2022,AUG FY2022,911,01-08-2022
31,CRBU,8000,8800-LC-48H,Q1 FY2022,SEP FY2022,79,01-09-2022
32,CRBU,8000,8800-LC-48H,Q1 FY2022,OCT FY2022,1685,01-10-2022
33,CRBU,8000,8800-LC-48H,Q2 FY2022,NOV FY2022,815,01-11-2022
