,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CRBU,8000,8808-FC,Q3 FY2011,FEB FY2011,0,01-02-2020
1,CRBU,8000,8808-FC,Q3 FY2011,MAR FY2011,0,01-03-2020
2,CRBU,8000,8808-FC,Q3 FY2011,APR FY2011,16,01-04-2020
3,CRBU,8000,8808-FC,Q4 FY2011,MAY FY2011,5,01-05-2020
4,CRBU,8000,8808-FC,Q4 FY2011,JUN FY2011,0,01-06-2020
5,CRBU,8000,8808-FC,Q4 FY2011,JUL FY2011,10,01-07-2020
6,CRBU,8000,8808-FC,,,186,01-08-2020
7,CRBU,8000,8808-FC,,,361,01-09-2020
8,CRBU,8000,8808-FC,,,537,01-10-2020
9,CRBU,8000,8808-FC,,,712,01-11-2020
10,CRBU,8000,8808-FC,,,888,01-12-2020
11,CRBU,8000,8808-FC,Q2 FY2012,JAN FY2012,1063,01-01-2021
12,CRBU,8000,8808-FC,Q3 FY2012,FEB FY2012,615,01-02-2021
13,CRBU,8000,8808-FC,Q3 FY2012,MAR FY2012,758,01-03-2021
14,CRBU,8000,8808-FC,Q3 FY2012,APR FY2012,74,01-04-2021
15,CRBU,8000,8808-FC,Q4 FY2012,MAY FY2012,112,01-05-2021
16,CRBU,8000,8808-FC,Q4 FY2012,JUN FY2012,71,01-06-2021
17,CRBU,8000,8808-FC,Q4 FY2012,JUL FY2012,156,01-07-2021
18,CRBU,8000,8808-FC,Q1 FY2012,AUG FY2012,157,01-08-2021
19,CRBU,8000,8808-FC,Q1 FY2012,SEP FY2012,18,01-09-2021
20,CRBU,8000,8808-FC,Q1 FY2012,OCT FY2012,1008,01-10-2021
21,CRBU,8000,8808-FC,Q2 FY2012,NOV FY2012,2572,01-11-2021
22,CRBU,8000,8808-FC,Q2 FY2012,DEC FY2012,552,01-12-2021
23,CRBU,8000,8808-FC,Q2 FY2022,JAN FY2022,240,01-01-2022
24,CRBU,8000,8808-FC,,,229,01-02-2022
25,CRBU,8000,8808-FC,,,218,01-03-2022
26,CRBU,8000,8808-FC,,,207,01-04-2022
27,CRBU,8000,8808-FC,,,196,01-05-2022
28,CRBU,8000,8808-FC,,,185,01-06-2022
29,CRBU,8000,8808-FC,,,174,01-07-2022
30,CRBU,8000,8808-FC,Q1 FY2022,AUG FY2022,163,01-08-2022
31,CRBU,8000,8808-FC,Q1 FY2022,SEP FY2022,280,01-09-2022
32,CRBU,8000,8808-FC,Q1 FY2022,OCT FY2022,237,01-10-2022
33,CRBU,8000,8808-FC,Q2 FY2022,NOV FY2022,669,01-11-2022
