,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,NCS560,A900-IMA-8Z,Q2 FY2007,JAN FY2007,4,01-01-2019
1,BATBU,NCS560,A900-IMA-8Z,Q3 FY2007,FEB FY2007,52,01-02-2019
2,BATBU,NCS560,A900-IMA-8Z,Q3 FY2007,MAR FY2007,4,01-03-2019
3,BATBU,NCS560,A900-IMA-8Z,Q3 FY2007,APR FY2007,92,01-04-2019
4,BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,MAY FY2007,2,01-05-2019
5,BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,JUN FY2007,76,01-06-2019
6,BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,JUL FY2007,237,01-07-2019
7,BATBU,NCS560,A900-IMA-8Z,,,191,01-08-2019
8,BATBU,NCS560,A900-IMA-8Z,,,145,01-09-2019
9,BATBU,NCS560,A900-IMA-8Z,,,99,01-10-2019
10,BATBU,NCS560,A900-IMA-8Z,,,53,01-11-2019
11,BATBU,NCS560,A900-IMA-8Z,Q2 FY2007,DEC FY2007,6,01-12-2019
12,BATBU,NCS560,A900-IMA-8Z,Q2 FY2011,JAN FY2011,2840,01-01-2020
13,BATBU,NCS560,A900-IMA-8Z,Q3 FY2011,FEB FY2011,1484,01-02-2020
14,BATBU,NCS560,A900-IMA-8Z,Q3 FY2011,MAR FY2011,432,01-03-2020
15,BATBU,NCS560,A900-IMA-8Z,Q3 FY2011,APR FY2011,830,01-04-2020
16,BATBU,NCS560,A900-IMA-8Z,Q4 FY2011,MAY FY2011,2496,01-05-2020
17,BATBU,NCS560,A900-IMA-8Z,Q4 FY2011,JUN FY2011,24,01-06-2020
18,BATBU,NCS560,A900-IMA-8Z,Q4 FY2011,JUL FY2011,312,01-07-2020
19,BATBU,NCS560,A900-IMA-8Z,Q1 FY2011,AUG FY2011,27,01-08-2020
20,BATBU,NCS560,A900-IMA-8Z,Q1 FY2011,SEP FY2011,135,01-09-2020
21,BATBU,NCS560,A900-IMA-8Z,Q1 FY2011,OCT FY2011,1299,01-10-2020
22,BATBU,NCS560,A900-IMA-8Z,Q2 FY2011,NOV FY2011,4260,01-11-2020
23,BATBU,NCS560,A900-IMA-8Z,Q2 FY2011,DEC FY2011,2871,01-12-2020
24,BATBU,NCS560,A900-IMA-8Z,Q2 FY2012,JAN FY2012,438,01-01-2021
25,BATBU,NCS560,A900-IMA-8Z,Q3 FY2012,FEB FY2012,380,01-02-2021
26,BATBU,NCS560,A900-IMA-8Z,Q3 FY2012,MAR FY2012,1393,01-03-2021
27,BATBU,NCS560,A900-IMA-8Z,Q3 FY2012,APR FY2012,835,01-04-2021
28,BATBU,NCS560,A900-IMA-8Z,Q4 FY2012,MAY FY2012,183,01-05-2021
29,BATBU,NCS560,A900-IMA-8Z,Q4 FY2012,JUN FY2012,2,01-06-2021
30,BATBU,NCS560,A900-IMA-8Z,Q4 FY2012,JUL FY2012,1244,01-07-2021
31,BATBU,NCS560,A900-IMA-8Z,Q1 FY2012,AUG FY2012,3656,01-08-2021
32,BATBU,NCS560,A900-IMA-8Z,Q1 FY2012,SEP FY2012,196,01-09-2021
33,BATBU,NCS560,A900-IMA-8Z,Q1 FY2012,OCT FY2012,242,01-10-2021
34,BATBU,NCS560,A900-IMA-8Z,Q2 FY2012,NOV FY2012,233,01-11-2021
35,BATBU,NCS560,A900-IMA-8Z,Q2 FY2012,DEC FY2012,150,01-12-2021
36,BATBU,NCS560,A900-IMA-8Z,Q2 FY2022,JAN FY2022,1809,01-01-2022
37,BATBU,NCS560,A900-IMA-8Z,,,1577,01-02-2022
38,BATBU,NCS560,A900-IMA-8Z,,,1344,01-03-2022
39,BATBU,NCS560,A900-IMA-8Z,,,1111,01-04-2022
40,BATBU,NCS560,A900-IMA-8Z,,,878,01-05-2022
41,BATBU,NCS560,A900-IMA-8Z,,,645,01-06-2022
42,BATBU,NCS560,A900-IMA-8Z,,,412,01-07-2022
43,BATBU,NCS560,A900-IMA-8Z,Q1 FY2022,AUG FY2022,179,01-08-2022
44,BATBU,NCS560,A900-IMA-8Z,Q1 FY2022,SEP FY2022,50,01-09-2022
45,BATBU,NCS560,A900-IMA-8Z,Q1 FY2022,OCT FY2022,392,01-10-2022
46,BATBU,NCS560,A900-IMA-8Z,Q2 FY2022,NOV FY2022,208,01-11-2022
