,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2002,FEB FY2002,0,01-02-2017
1,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2002,MAR FY2002,31,01-03-2017
2,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2002,APR FY2002,1,01-04-2017
3,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2002,MAY FY2002,16,01-05-2017
4,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2002,JUN FY2002,8,01-06-2017
5,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2002,JUL FY2002,40,01-07-2017
6,ERBU,A9K9000,A9K-24X10GE-1G-TR,,,53,01-08-2017
7,ERBU,A9K9000,A9K-24X10GE-1G-TR,,,66,01-09-2017
8,ERBU,A9K9000,A9K-24X10GE-1G-TR,,,79,01-10-2017
9,ERBU,A9K9000,A9K-24X10GE-1G-TR,,,92,01-11-2017
10,ERBU,A9K9000,A9K-24X10GE-1G-TR,,,105,01-12-2017
11,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2008,JAN FY2008,117,01-01-2018
12,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2008,FEB FY2008,159,01-02-2018
13,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2008,MAR FY2008,117,01-03-2018
14,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2008,APR FY2008,240,01-04-2018
15,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2008,MAY FY2008,40,01-05-2018
16,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2008,JUN FY2008,101,01-06-2018
17,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2008,JUL FY2008,320,01-07-2018
18,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2008,AUG FY2008,2,01-08-2018
19,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2008,SEP FY2008,13,01-09-2018
20,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2008,OCT FY2008,179,01-10-2018
21,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2008,NOV FY2008,62,01-11-2018
22,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2008,DEC FY2008,114,01-12-2018
23,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2007,JAN FY2007,193,01-01-2019
24,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2007,FEB FY2007,72,01-02-2019
25,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2007,MAR FY2007,110,01-03-2019
26,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2007,APR FY2007,476,01-04-2019
27,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,MAY FY2007,68,01-05-2019
28,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,JUN FY2007,197,01-06-2019
29,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,JUL FY2007,531,01-07-2019
30,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2007,AUG FY2007,92,01-08-2019
31,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2007,SEP FY2007,37,01-09-2019
32,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2007,OCT FY2007,127,01-10-2019
33,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2007,NOV FY2007,140,01-11-2019
34,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2007,DEC FY2007,118,01-12-2019
35,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q2 FY2011,JAN FY2011,145,01-01-2020
36,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2011,FEB FY2011,271,01-02-2020
37,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2011,MAR FY2011,150,01-03-2020
38,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q3 FY2011,APR FY2011,418,01-04-2020
39,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2011,MAY FY2011,106,01-05-2020
40,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2011,JUN FY2011,164,01-06-2020
41,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2011,JUL FY2011,336,01-07-2020
42,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2011,AUG FY2011,53,01-08-2020
43,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2011,SEP FY2011,166,01-09-2020
44,ERBU,A9K9000,A9K-24X10GE-1G-TR,Q1 FY2011,OCT FY2011,239,01-10-2020
