,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2015,APR FY2015,63,01-04-2015
1,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,MAY FY2015,3,01-05-2015
2,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,JUN FY2015,222,01-06-2015
3,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2015,JUL FY2015,26,01-07-2015
4,ERBU,A9K9000,A9K-8X100GE-TR,,,54,01-08-2015
5,ERBU,A9K9000,A9K-8X100GE-TR,,,81,01-09-2015
6,ERBU,A9K9000,A9K-8X100GE-TR,,,108,01-10-2015
7,ERBU,A9K9000,A9K-8X100GE-TR,,,136,01-11-2015
8,ERBU,A9K9000,A9K-8X100GE-TR,,,163,01-12-2015
9,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,JAN FY2022,190,01-01-2016
10,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2022,FEB FY2022,152,01-02-2016
11,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2022,MAR FY2022,42,01-03-2016
12,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2022,APR FY2022,138,01-04-2016
13,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2022,MAY FY2022,82,01-05-2016
14,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2022,JUN FY2022,26,01-06-2016
15,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2022,JUL FY2022,128,01-07-2016
16,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,AUG FY2022,15,01-08-2016
17,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,SEP FY2022,6,01-09-2016
18,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,OCT FY2022,116,01-10-2016
19,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,NOV FY2022,49,01-11-2016
20,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,DEC FY2022,56,01-12-2016
21,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2002,JAN FY2002,192,01-01-2017
22,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2002,FEB FY2002,54,01-02-2017
23,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2002,MAR FY2002,99,01-03-2017
24,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2002,APR FY2002,172,01-04-2017
25,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2002,MAY FY2002,62,01-05-2017
26,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2002,JUN FY2002,38,01-06-2017
27,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2002,JUL FY2002,110,01-07-2017
28,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2002,AUG FY2002,6,01-08-2017
29,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2002,SEP FY2002,18,01-09-2017
30,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2002,OCT FY2002,64,01-10-2017
31,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2002,NOV FY2002,18,01-11-2017
32,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2002,DEC FY2002,94,01-12-2017
33,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2008,JAN FY2008,222,01-01-2018
34,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2008,FEB FY2008,94,01-02-2018
35,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2008,MAR FY2008,95,01-03-2018
36,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2008,APR FY2008,162,01-04-2018
37,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2008,MAY FY2008,80,01-05-2018
38,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2008,JUN FY2008,72,01-06-2018
39,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2008,JUL FY2008,86,01-07-2018
40,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2008,AUG FY2008,19,01-08-2018
41,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2008,SEP FY2008,35,01-09-2018
42,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2008,OCT FY2008,83,01-10-2018
43,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2008,NOV FY2008,46,01-11-2018
44,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2008,DEC FY2008,15,01-12-2018
45,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2007,JAN FY2007,198,01-01-2019
46,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2007,FEB FY2007,13,01-02-2019
47,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2007,MAR FY2007,87,01-03-2019
48,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2007,APR FY2007,71,01-04-2019
49,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2007,MAY FY2007,90,01-05-2019
50,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2007,JUN FY2007,21,01-06-2019
51,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2007,JUL FY2007,71,01-07-2019
52,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2007,AUG FY2007,45,01-08-2019
53,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2007,SEP FY2007,79,01-09-2019
54,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2007,OCT FY2007,56,01-10-2019
55,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2007,NOV FY2007,113,01-11-2019
56,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2007,DEC FY2007,91,01-12-2019
57,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2011,JAN FY2011,156,01-01-2020
58,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2011,FEB FY2011,55,01-02-2020
59,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2011,MAR FY2011,51,01-03-2020
60,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2011,APR FY2011,110,01-04-2020
61,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2011,MAY FY2011,24,01-05-2020
62,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2011,JUN FY2011,62,01-06-2020
63,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2011,JUL FY2011,13,01-07-2020
64,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2011,AUG FY2011,45,01-08-2020
65,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2011,SEP FY2011,68,01-09-2020
66,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2011,OCT FY2011,80,01-10-2020
67,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2011,NOV FY2011,53,01-11-2020
68,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2011,DEC FY2011,92,01-12-2020
69,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2012,JAN FY2012,35,01-01-2021
70,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2012,FEB FY2012,53,01-02-2021
71,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2012,MAR FY2012,26,01-03-2021
72,ERBU,A9K9000,A9K-8X100GE-TR,Q3 FY2012,APR FY2012,176,01-04-2021
73,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2012,MAY FY2012,36,01-05-2021
74,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2012,JUN FY2012,48,01-06-2021
75,ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2012,JUL FY2012,56,01-07-2021
76,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2012,AUG FY2012,3,01-08-2021
77,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2012,SEP FY2012,59,01-09-2021
78,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2012,OCT FY2012,39,01-10-2021
79,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2012,NOV FY2012,37,01-11-2021
80,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2012,DEC FY2012,8,01-12-2021
81,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,JAN FY2022,30,01-01-2022
82,ERBU,A9K9000,A9K-8X100GE-TR,,,31,01-02-2022
83,ERBU,A9K9000,A9K-8X100GE-TR,,,31,01-03-2022
84,ERBU,A9K9000,A9K-8X100GE-TR,,,31,01-04-2022
85,ERBU,A9K9000,A9K-8X100GE-TR,,,32,01-05-2022
86,ERBU,A9K9000,A9K-8X100GE-TR,,,32,01-06-2022
87,ERBU,A9K9000,A9K-8X100GE-TR,,,32,01-07-2022
88,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,AUG FY2022,32,01-08-2022
89,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,SEP FY2022,61,01-09-2022
90,ERBU,A9K9000,A9K-8X100GE-TR,Q1 FY2022,OCT FY2022,54,01-10-2022
91,ERBU,A9K9000,A9K-8X100GE-TR,Q2 FY2022,NOV FY2022,106,01-11-2022
