,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,JAN FY2015,179,01-01-2015
1,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,FEB FY2015,397,01-02-2015
2,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,MAR FY2015,26,01-03-2015
3,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2015,APR FY2015,94,01-04-2015
4,BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,MAY FY2015,59,01-05-2015
5,BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,JUN FY2015,62,01-06-2015
6,BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2015,JUL FY2015,330,01-07-2015
7,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,AUG FY2015,0,01-08-2015
8,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,SEP FY2015,0,01-09-2015
9,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,OCT FY2015,4,01-10-2015
10,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,NOV FY2015,5,01-11-2015
11,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2015,DEC FY2015,450,01-12-2015
12,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2022,JAN FY2022,6,01-01-2016
13,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2022,FEB FY2022,17,01-02-2016
14,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2022,MAR FY2022,20,01-03-2016
15,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2022,APR FY2022,522,01-04-2016
16,BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2022,MAY FY2022,172,01-05-2016
17,BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2022,JUN FY2022,284,01-06-2016
18,BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2022,JUL FY2022,146,01-07-2016
19,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,AUG FY2022,2,01-08-2016
20,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,SEP FY2022,34,01-09-2016
21,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,OCT FY2022,206,01-10-2016
22,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2022,NOV FY2022,335,01-11-2016
23,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2022,DEC FY2022,621,01-12-2016
24,BATBU,A9K920,A9K-920-4SZ-D,Q2 FY2002,JAN FY2002,12,01-01-2017
25,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2002,FEB FY2002,43,01-02-2017
26,BATBU,A9K920,A9K-920-4SZ-D,Q3 FY2002,MAR FY2002,132,01-03-2017
