,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,ERBU,A9K9000,A9K-9901,Q2 FY2008,JAN FY2008,1,01-01-2018
1,ERBU,A9K9000,A9K-9901,Q3 FY2008,FEB FY2008,1,01-02-2018
2,ERBU,A9K9000,A9K-9901,Q3 FY2008,MAR FY2008,78,01-03-2018
3,ERBU,A9K9000,A9K-9901,Q3 FY2008,APR FY2008,44,01-04-2018
4,ERBU,A9K9000,A9K-9901,Q4 FY2008,MAY FY2008,30,01-05-2018
5,ERBU,A9K9000,A9K-9901,Q4 FY2008,JUN FY2008,49,01-06-2018
6,ERBU,A9K9000,A9K-9901,Q4 FY2008,JUL FY2008,162,01-07-2018
7,ERBU,A9K9000,A9K-9901,,,159,01-08-2018
8,ERBU,A9K9000,A9K-9901,,,155,01-09-2018
9,ERBU,A9K9000,A9K-9901,,,151,01-10-2018
10,ERBU,A9K9000,A9K-9901,,,147,01-11-2018
11,ERBU,A9K9000,A9K-9901,,,143,01-12-2018
12,ERBU,A9K9000,A9K-9901,Q2 FY2007,JAN FY2007,139,01-01-2019
13,ERBU,A9K9000,A9K-9901,Q3 FY2007,FEB FY2007,92,01-02-2019
14,ERBU,A9K9000,A9K-9901,Q3 FY2007,MAR FY2007,133,01-03-2019
15,ERBU,A9K9000,A9K-9901,Q3 FY2007,APR FY2007,205,01-04-2019
16,ERBU,A9K9000,A9K-9901,Q4 FY2007,MAY FY2007,106,01-05-2019
17,ERBU,A9K9000,A9K-9901,Q4 FY2007,JUN FY2007,56,01-06-2019
18,ERBU,A9K9000,A9K-9901,Q4 FY2007,JUL FY2007,328,01-07-2019
19,ERBU,A9K9000,A9K-9901,Q1 FY2007,AUG FY2007,43,01-08-2019
20,ERBU,A9K9000,A9K-9901,Q1 FY2007,SEP FY2007,51,01-09-2019
21,ERBU,A9K9000,A9K-9901,Q1 FY2007,OCT FY2007,160,01-10-2019
22,ERBU,A9K9000,A9K-9901,Q2 FY2007,NOV FY2007,196,01-11-2019
23,ERBU,A9K9000,A9K-9901,Q2 FY2007,DEC FY2007,118,01-12-2019
24,ERBU,A9K9000,A9K-9901,Q2 FY2011,JAN FY2011,114,01-01-2020
25,ERBU,A9K9000,A9K-9901,Q3 FY2011,FEB FY2011,152,01-02-2020
26,ERBU,A9K9000,A9K-9901,Q3 FY2011,MAR FY2011,114,01-03-2020
27,ERBU,A9K9000,A9K-9901,Q3 FY2011,APR FY2011,312,01-04-2020
28,ERBU,A9K9000,A9K-9901,Q4 FY2011,MAY FY2011,108,01-05-2020
29,ERBU,A9K9000,A9K-9901,Q4 FY2011,JUN FY2011,90,01-06-2020
30,ERBU,A9K9000,A9K-9901,Q4 FY2011,JUL FY2011,384,01-07-2020
31,ERBU,A9K9000,A9K-9901,Q1 FY2011,AUG FY2011,30,01-08-2020
32,ERBU,A9K9000,A9K-9901,Q1 FY2011,SEP FY2011,67,01-09-2020
33,ERBU,A9K9000,A9K-9901,Q1 FY2011,OCT FY2011,207,01-10-2020
34,ERBU,A9K9000,A9K-9901,Q2 FY2011,NOV FY2011,159,01-11-2020
35,ERBU,A9K9000,A9K-9901,Q2 FY2011,DEC FY2011,155,01-12-2020
36,ERBU,A9K9000,A9K-9901,Q2 FY2012,JAN FY2012,289,01-01-2021
37,ERBU,A9K9000,A9K-9901,Q3 FY2012,FEB FY2012,160,01-02-2021
38,ERBU,A9K9000,A9K-9901,Q3 FY2012,MAR FY2012,254,01-03-2021
39,ERBU,A9K9000,A9K-9901,Q3 FY2012,APR FY2012,279,01-04-2021
40,ERBU,A9K9000,A9K-9901,Q4 FY2012,MAY FY2012,119,01-05-2021
41,ERBU,A9K9000,A9K-9901,Q4 FY2012,JUN FY2012,155,01-06-2021
42,ERBU,A9K9000,A9K-9901,Q4 FY2012,JUL FY2012,331,01-07-2021
43,ERBU,A9K9000,A9K-9901,Q1 FY2012,AUG FY2012,99,01-08-2021
44,ERBU,A9K9000,A9K-9901,Q1 FY2012,SEP FY2012,148,01-09-2021
45,ERBU,A9K9000,A9K-9901,Q1 FY2012,OCT FY2012,224,01-10-2021
46,ERBU,A9K9000,A9K-9901,Q2 FY2012,NOV FY2012,123,01-11-2021
47,ERBU,A9K9000,A9K-9901,Q2 FY2012,DEC FY2012,129,01-12-2021
48,ERBU,A9K9000,A9K-9901,Q2 FY2022,JAN FY2022,321,01-01-2022
49,ERBU,A9K9000,A9K-9901,,,283,01-02-2022
50,ERBU,A9K9000,A9K-9901,,,245,01-03-2022
51,ERBU,A9K9000,A9K-9901,,,207,01-04-2022
52,ERBU,A9K9000,A9K-9901,,,169,01-05-2022
53,ERBU,A9K9000,A9K-9901,,,131,01-06-2022
54,ERBU,A9K9000,A9K-9901,,,93,01-07-2022
55,ERBU,A9K9000,A9K-9901,Q1 FY2022,AUG FY2022,54,01-08-2022
56,ERBU,A9K9000,A9K-9901,Q1 FY2022,SEP FY2022,137,01-09-2022
57,ERBU,A9K9000,A9K-9901,Q1 FY2022,OCT FY2022,308,01-10-2022
58,ERBU,A9K9000,A9K-9901,Q2 FY2022,NOV FY2022,145,01-11-2022
