,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2015,JAN FY2015,11,01-01-2015
1,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,FEB FY2015,49,01-02-2015
2,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,MAR FY2015,78,01-03-2015
3,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,APR FY2015,77,01-04-2015
4,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2015,MAY FY2015,12,01-05-2015
5,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2015,JUN FY2015,29,01-06-2015
6,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2015,JUL FY2015,61,01-07-2015
7,ERBU,A9K9KFM,A9K-RSP880-TR,,,67,01-08-2015
8,ERBU,A9K9KFM,A9K-RSP880-TR,,,72,01-09-2015
9,ERBU,A9K9KFM,A9K-RSP880-TR,,,77,01-10-2015
10,ERBU,A9K9KFM,A9K-RSP880-TR,,,82,01-11-2015
11,ERBU,A9K9KFM,A9K-RSP880-TR,,,87,01-12-2015
12,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,JAN FY2022,92,01-01-2016
13,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2022,FEB FY2022,69,01-02-2016
14,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2022,MAR FY2022,104,01-03-2016
15,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2022,APR FY2022,142,01-04-2016
16,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2022,MAY FY2022,114,01-05-2016
17,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2022,JUN FY2022,62,01-06-2016
18,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2022,JUL FY2022,248,01-07-2016
19,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,AUG FY2022,43,01-08-2016
20,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,SEP FY2022,106,01-09-2016
21,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,OCT FY2022,145,01-10-2016
22,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,NOV FY2022,24,01-11-2016
23,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,DEC FY2022,92,01-12-2016
24,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2002,JAN FY2002,248,01-01-2017
25,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2002,FEB FY2002,122,01-02-2017
26,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2002,MAR FY2002,350,01-03-2017
27,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2002,APR FY2002,497,01-04-2017
28,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2002,MAY FY2002,38,01-05-2017
29,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2002,JUN FY2002,167,01-06-2017
30,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2002,JUL FY2002,678,01-07-2017
31,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2002,AUG FY2002,84,01-08-2017
32,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2002,SEP FY2002,72,01-09-2017
33,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2002,OCT FY2002,616,01-10-2017
34,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2002,NOV FY2002,41,01-11-2017
35,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2002,DEC FY2002,93,01-12-2017
36,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2008,JAN FY2008,794,01-01-2018
37,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2008,FEB FY2008,203,01-02-2018
38,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2008,MAR FY2008,237,01-03-2018
39,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2008,APR FY2008,982,01-04-2018
40,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2008,MAY FY2008,111,01-05-2018
41,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2008,JUN FY2008,31,01-06-2018
42,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2008,JUL FY2008,384,01-07-2018
43,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2008,AUG FY2008,61,01-08-2018
44,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2008,SEP FY2008,253,01-09-2018
45,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2008,OCT FY2008,295,01-10-2018
46,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2008,NOV FY2008,132,01-11-2018
47,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2008,DEC FY2008,210,01-12-2018
48,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2007,JAN FY2007,239,01-01-2019
49,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2007,FEB FY2007,91,01-02-2019
50,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2007,MAR FY2007,236,01-03-2019
51,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2007,APR FY2007,430,01-04-2019
52,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2007,MAY FY2007,111,01-05-2019
53,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2007,JUN FY2007,101,01-06-2019
54,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2007,JUL FY2007,285,01-07-2019
55,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2007,AUG FY2007,205,01-08-2019
56,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2007,SEP FY2007,135,01-09-2019
57,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2007,OCT FY2007,296,01-10-2019
58,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2007,NOV FY2007,259,01-11-2019
59,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2007,DEC FY2007,133,01-12-2019
60,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2011,JAN FY2011,236,01-01-2020
61,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2011,FEB FY2011,72,01-02-2020
62,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2011,MAR FY2011,92,01-03-2020
63,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2011,APR FY2011,211,01-04-2020
64,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2011,MAY FY2011,39,01-05-2020
65,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2011,JUN FY2011,41,01-06-2020
66,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2011,JUL FY2011,82,01-07-2020
67,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2011,AUG FY2011,64,01-08-2020
68,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2011,SEP FY2011,140,01-09-2020
69,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2011,OCT FY2011,163,01-10-2020
70,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2011,NOV FY2011,83,01-11-2020
71,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2011,DEC FY2011,80,01-12-2020
72,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2012,JAN FY2012,136,01-01-2021
73,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2012,FEB FY2012,66,01-02-2021
74,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2012,MAR FY2012,107,01-03-2021
75,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2012,APR FY2012,48,01-04-2021
76,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2012,MAY FY2012,25,01-05-2021
77,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2012,JUN FY2012,26,01-06-2021
78,ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2012,JUL FY2012,106,01-07-2021
79,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2012,AUG FY2012,16,01-08-2021
80,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2012,SEP FY2012,13,01-09-2021
81,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2012,OCT FY2012,49,01-10-2021
82,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2012,NOV FY2012,45,01-11-2021
83,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2012,DEC FY2012,95,01-12-2021
84,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,JAN FY2022,50,01-01-2022
85,ERBU,A9K9KFM,A9K-RSP880-TR,,,48,01-02-2022
86,ERBU,A9K9KFM,A9K-RSP880-TR,,,45,01-03-2022
87,ERBU,A9K9KFM,A9K-RSP880-TR,,,42,01-04-2022
88,ERBU,A9K9KFM,A9K-RSP880-TR,,,39,01-05-2022
89,ERBU,A9K9KFM,A9K-RSP880-TR,,,36,01-06-2022
90,ERBU,A9K9KFM,A9K-RSP880-TR,,,33,01-07-2022
91,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,AUG FY2022,30,01-08-2022
92,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,SEP FY2022,97,01-09-2022
93,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,OCT FY2022,139,01-10-2022
94,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,NOV FY2022,77,01-11-2022
