,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,A9K1000,A9K1001-HX,Q2 FY2002,JAN FY2002,84,01-01-2017
1,SRSBU,A9K1000,A9K1001-HX,Q3 FY2002,FEB FY2002,50,01-02-2017
2,SRSBU,A9K1000,A9K1001-HX,Q3 FY2002,MAR FY2002,102,01-03-2017
3,SRSBU,A9K1000,A9K1001-HX,Q3 FY2002,APR FY2002,152,01-04-2017
4,SRSBU,A9K1000,A9K1001-HX,Q4 FY2002,MAY FY2002,58,01-05-2017
5,SRSBU,A9K1000,A9K1001-HX,Q4 FY2002,JUN FY2002,127,01-06-2017
6,SRSBU,A9K1000,A9K1001-HX,Q4 FY2002,JUL FY2002,256,01-07-2017
7,SRSBU,A9K1000,A9K1001-HX,Q1 FY2002,AUG FY2002,11,01-08-2017
8,SRSBU,A9K1000,A9K1001-HX,Q1 FY2002,SEP FY2002,7,01-09-2017
9,SRSBU,A9K1000,A9K1001-HX,Q1 FY2002,OCT FY2002,13,01-10-2017
10,SRSBU,A9K1000,A9K1001-HX,Q2 FY2002,NOV FY2002,35,01-11-2017
11,SRSBU,A9K1000,A9K1001-HX,Q2 FY2002,DEC FY2002,68,01-12-2017
12,SRSBU,A9K1000,A9K1001-HX,Q2 FY2008,JAN FY2008,532,01-01-2018
13,SRSBU,A9K1000,A9K1001-HX,Q3 FY2008,FEB FY2008,78,01-02-2018
14,SRSBU,A9K1000,A9K1001-HX,Q3 FY2008,MAR FY2008,617,01-03-2018
15,SRSBU,A9K1000,A9K1001-HX,Q3 FY2008,APR FY2008,199,01-04-2018
16,SRSBU,A9K1000,A9K1001-HX,Q4 FY2008,MAY FY2008,136,01-05-2018
17,SRSBU,A9K1000,A9K1001-HX,Q4 FY2008,JUN FY2008,358,01-06-2018
18,SRSBU,A9K1000,A9K1001-HX,Q4 FY2008,JUL FY2008,441,01-07-2018
19,SRSBU,A9K1000,A9K1001-HX,Q1 FY2008,AUG FY2008,85,01-08-2018
20,SRSBU,A9K1000,A9K1001-HX,Q1 FY2008,SEP FY2008,105,01-09-2018
21,SRSBU,A9K1000,A9K1001-HX,Q1 FY2008,OCT FY2008,195,01-10-2018
22,SRSBU,A9K1000,A9K1001-HX,Q2 FY2008,NOV FY2008,137,01-11-2018
23,SRSBU,A9K1000,A9K1001-HX,Q2 FY2008,DEC FY2008,312,01-12-2018
24,SRSBU,A9K1000,A9K1001-HX,Q2 FY2007,JAN FY2007,296,01-01-2019
25,SRSBU,A9K1000,A9K1001-HX,Q3 FY2007,FEB FY2007,128,01-02-2019
26,SRSBU,A9K1000,A9K1001-HX,Q3 FY2007,MAR FY2007,144,01-03-2019
27,SRSBU,A9K1000,A9K1001-HX,Q3 FY2007,APR FY2007,335,01-04-2019
28,SRSBU,A9K1000,A9K1001-HX,Q4 FY2007,MAY FY2007,237,01-05-2019
29,SRSBU,A9K1000,A9K1001-HX,Q4 FY2007,JUN FY2007,213,01-06-2019
30,SRSBU,A9K1000,A9K1001-HX,Q4 FY2007,JUL FY2007,474,01-07-2019
31,SRSBU,A9K1000,A9K1001-HX,Q1 FY2007,AUG FY2007,91,01-08-2019
32,SRSBU,A9K1000,A9K1001-HX,Q1 FY2007,SEP FY2007,125,01-09-2019
33,SRSBU,A9K1000,A9K1001-HX,Q1 FY2007,OCT FY2007,402,01-10-2019
34,SRSBU,A9K1000,A9K1001-HX,Q2 FY2007,NOV FY2007,210,01-11-2019
35,SRSBU,A9K1000,A9K1001-HX,Q2 FY2007,DEC FY2007,251,01-12-2019
36,SRSBU,A9K1000,A9K1001-HX,Q2 FY2011,JAN FY2011,356,01-01-2020
37,SRSBU,A9K1000,A9K1001-HX,Q3 FY2011,FEB FY2011,266,01-02-2020
38,SRSBU,A9K1000,A9K1001-HX,Q3 FY2011,MAR FY2011,272,01-03-2020
39,SRSBU,A9K1000,A9K1001-HX,Q3 FY2011,APR FY2011,608,01-04-2020
40,SRSBU,A9K1000,A9K1001-HX,Q4 FY2011,MAY FY2011,184,01-05-2020
41,SRSBU,A9K1000,A9K1001-HX,Q4 FY2011,JUN FY2011,192,01-06-2020
42,SRSBU,A9K1000,A9K1001-HX,Q4 FY2011,JUL FY2011,413,01-07-2020
43,SRSBU,A9K1000,A9K1001-HX,Q1 FY2011,AUG FY2011,166,01-08-2020
44,SRSBU,A9K1000,A9K1001-HX,Q1 FY2011,SEP FY2011,182,01-09-2020
45,SRSBU,A9K1000,A9K1001-HX,Q1 FY2011,OCT FY2011,345,01-10-2020
46,SRSBU,A9K1000,A9K1001-HX,Q2 FY2011,NOV FY2011,194,01-11-2020
47,SRSBU,A9K1000,A9K1001-HX,Q2 FY2011,DEC FY2011,248,01-12-2020
48,SRSBU,A9K1000,A9K1001-HX,Q2 FY2012,JAN FY2012,242,01-01-2021
49,SRSBU,A9K1000,A9K1001-HX,Q3 FY2012,FEB FY2012,346,01-02-2021
50,SRSBU,A9K1000,A9K1001-HX,Q3 FY2012,MAR FY2012,301,01-03-2021
51,SRSBU,A9K1000,A9K1001-HX,Q3 FY2012,APR FY2012,347,01-04-2021
52,SRSBU,A9K1000,A9K1001-HX,Q4 FY2012,MAY FY2012,246,01-05-2021
53,SRSBU,A9K1000,A9K1001-HX,Q4 FY2012,JUN FY2012,162,01-06-2021
54,SRSBU,A9K1000,A9K1001-HX,Q4 FY2012,JUL FY2012,323,01-07-2021
55,SRSBU,A9K1000,A9K1001-HX,Q1 FY2012,AUG FY2012,218,01-08-2021
56,SRSBU,A9K1000,A9K1001-HX,Q1 FY2012,SEP FY2012,222,01-09-2021
57,SRSBU,A9K1000,A9K1001-HX,Q1 FY2012,OCT FY2012,431,01-10-2021
58,SRSBU,A9K1000,A9K1001-HX,Q2 FY2012,NOV FY2012,336,01-11-2021
59,SRSBU,A9K1000,A9K1001-HX,Q2 FY2012,DEC FY2012,233,01-12-2021
60,SRSBU,A9K1000,A9K1001-HX,Q2 FY2022,JAN FY2022,223,01-01-2022
61,SRSBU,A9K1000,A9K1001-HX,,,216,01-02-2022
62,SRSBU,A9K1000,A9K1001-HX,,,208,01-03-2022
63,SRSBU,A9K1000,A9K1001-HX,,,200,01-04-2022
64,SRSBU,A9K1000,A9K1001-HX,,,192,01-05-2022
65,SRSBU,A9K1000,A9K1001-HX,,,184,01-06-2022
66,SRSBU,A9K1000,A9K1001-HX,,,176,01-07-2022
67,SRSBU,A9K1000,A9K1001-HX,Q1 FY2022,AUG FY2022,168,01-08-2022
68,SRSBU,A9K1000,A9K1001-HX,Q1 FY2022,SEP FY2022,231,01-09-2022
69,SRSBU,A9K1000,A9K1001-HX,Q1 FY2022,OCT FY2022,331,01-10-2022
70,SRSBU,A9K1000,A9K1001-HX,Q2 FY2022,NOV FY2022,114,01-11-2022
