,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,A9K1000,A9K1001-X,Q3 FY2014,MAR FY2014,0,01-03-2014
1,SRSBU,A9K1000,A9K1001-X,,,15,01-04-2014
2,SRSBU,A9K1000,A9K1001-X,Q4 FY2014,MAY FY2014,29,01-05-2014
3,SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUN FY2014,15,01-06-2014
4,SRSBU,A9K1000,A9K1001-X,Q4 FY2014,JUL FY2014,563,01-07-2014
5,SRSBU,A9K1000,A9K1001-X,,,623,01-08-2014
6,SRSBU,A9K1000,A9K1001-X,,,683,01-09-2014
7,SRSBU,A9K1000,A9K1001-X,,,742,01-10-2014
8,SRSBU,A9K1000,A9K1001-X,,,802,01-11-2014
9,SRSBU,A9K1000,A9K1001-X,,,862,01-12-2014
10,SRSBU,A9K1000,A9K1001-X,Q2 FY2015,JAN FY2015,921,01-01-2015
11,SRSBU,A9K1000,A9K1001-X,Q3 FY2015,FEB FY2015,927,01-02-2015
12,SRSBU,A9K1000,A9K1001-X,Q3 FY2015,MAR FY2015,995,01-03-2015
13,SRSBU,A9K1000,A9K1001-X,Q3 FY2015,APR FY2015,1745,01-04-2015
14,SRSBU,A9K1000,A9K1001-X,Q4 FY2015,MAY FY2015,1025,01-05-2015
15,SRSBU,A9K1000,A9K1001-X,Q4 FY2015,JUN FY2015,1298,01-06-2015
16,SRSBU,A9K1000,A9K1001-X,Q4 FY2015,JUL FY2015,2343,01-07-2015
17,SRSBU,A9K1000,A9K1001-X,Q1 FY2015,AUG FY2015,292,01-08-2015
18,SRSBU,A9K1000,A9K1001-X,Q1 FY2015,SEP FY2015,478,01-09-2015
19,SRSBU,A9K1000,A9K1001-X,Q1 FY2015,OCT FY2015,1126,01-10-2015
20,SRSBU,A9K1000,A9K1001-X,Q2 FY2015,NOV FY2015,728,01-11-2015
21,SRSBU,A9K1000,A9K1001-X,Q2 FY2015,DEC FY2015,1036,01-12-2015
22,SRSBU,A9K1000,A9K1001-X,Q2 FY2022,JAN FY2022,1573,01-01-2016
23,SRSBU,A9K1000,A9K1001-X,Q3 FY2022,FEB FY2022,1329,01-02-2016
24,SRSBU,A9K1000,A9K1001-X,Q3 FY2022,MAR FY2022,1539,01-03-2016
25,SRSBU,A9K1000,A9K1001-X,Q3 FY2022,APR FY2022,2580,01-04-2016
