,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C1000,C1000-48T-4G-L,Q2 FY2011,JAN FY2011,16,01-01-2020
1,UOPBLRBU,C1000,C1000-48T-4G-L,Q3 FY2011,FEB FY2011,84,01-02-2020
2,UOPBLRBU,C1000,C1000-48T-4G-L,Q3 FY2011,MAR FY2011,264,01-03-2020
3,UOPBLRBU,C1000,C1000-48T-4G-L,Q3 FY2011,APR FY2011,113,01-04-2020
4,UOPBLRBU,C1000,C1000-48T-4G-L,Q4 FY2011,MAY FY2011,133,01-05-2020
5,UOPBLRBU,C1000,C1000-48T-4G-L,Q4 FY2011,JUN FY2011,187,01-06-2020
6,UOPBLRBU,C1000,C1000-48T-4G-L,Q4 FY2011,JUL FY2011,1250,01-07-2020
7,UOPBLRBU,C1000,C1000-48T-4G-L,,,1000,01-08-2020
8,UOPBLRBU,C1000,C1000-48T-4G-L,,,750,01-09-2020
9,UOPBLRBU,C1000,C1000-48T-4G-L,,,500,01-10-2020
10,UOPBLRBU,C1000,C1000-48T-4G-L,,,250,01-11-2020
11,UOPBLRBU,C1000,C1000-48T-4G-L,Q2 FY2011,DEC FY2011,0,01-12-2020
12,UOPBLRBU,C1000,C1000-48T-4G-L,Q2 FY2012,JAN FY2012,1176,01-01-2021
13,UOPBLRBU,C1000,C1000-48T-4G-L,Q3 FY2012,FEB FY2012,1500,01-02-2021
14,UOPBLRBU,C1000,C1000-48T-4G-L,Q3 FY2012,MAR FY2012,1522,01-03-2021
15,UOPBLRBU,C1000,C1000-48T-4G-L,Q3 FY2012,APR FY2012,1774,01-04-2021
16,UOPBLRBU,C1000,C1000-48T-4G-L,Q4 FY2012,MAY FY2012,1213,01-05-2021
17,UOPBLRBU,C1000,C1000-48T-4G-L,Q4 FY2012,JUN FY2012,2376,01-06-2021
18,UOPBLRBU,C1000,C1000-48T-4G-L,Q4 FY2012,JUL FY2012,3004,01-07-2021
19,UOPBLRBU,C1000,C1000-48T-4G-L,Q1 FY2012,AUG FY2012,210,01-08-2021
20,UOPBLRBU,C1000,C1000-48T-4G-L,Q1 FY2012,SEP FY2012,378,01-09-2021
21,UOPBLRBU,C1000,C1000-48T-4G-L,Q1 FY2012,OCT FY2012,1479,01-10-2021
22,UOPBLRBU,C1000,C1000-48T-4G-L,Q2 FY2012,NOV FY2012,433,01-11-2021
23,UOPBLRBU,C1000,C1000-48T-4G-L,Q2 FY2012,DEC FY2012,1125,01-12-2021
24,UOPBLRBU,C1000,C1000-48T-4G-L,Q2 FY2022,JAN FY2022,4736,01-01-2022
25,UOPBLRBU,C1000,C1000-48T-4G-L,,,4394,01-02-2022
26,UOPBLRBU,C1000,C1000-48T-4G-L,,,4052,01-03-2022
27,UOPBLRBU,C1000,C1000-48T-4G-L,,,3710,01-04-2022
28,UOPBLRBU,C1000,C1000-48T-4G-L,,,3367,01-05-2022
29,UOPBLRBU,C1000,C1000-48T-4G-L,,,3025,01-06-2022
30,UOPBLRBU,C1000,C1000-48T-4G-L,,,2683,01-07-2022
31,UOPBLRBU,C1000,C1000-48T-4G-L,Q1 FY2022,AUG FY2022,2340,01-08-2022
32,UOPBLRBU,C1000,C1000-48T-4G-L,Q1 FY2022,SEP FY2022,3449,01-09-2022
33,UOPBLRBU,C1000,C1000-48T-4G-L,Q1 FY2022,OCT FY2022,4108,01-10-2022
34,UOPBLRBU,C1000,C1000-48T-4G-L,Q2 FY2022,NOV FY2022,3139,01-11-2022
