,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2008,JAN FY2008,5,01-01-2018
1,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2008,FEB FY2008,290,01-02-2018
2,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2008,MAR FY2008,71,01-03-2018
3,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2008,APR FY2008,248,01-04-2018
4,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2008,MAY FY2008,57,01-05-2018
5,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2008,JUN FY2008,981,01-06-2018
6,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2008,JUL FY2008,3971,01-07-2018
7,SRSBU,ISR1K,C1111-8PLTExA,,,3216,01-08-2018
8,SRSBU,ISR1K,C1111-8PLTExA,,,2460,01-09-2018
9,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2008,OCT FY2008,1704,01-10-2018
10,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2008,NOV FY2008,53,01-11-2018
11,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2008,DEC FY2008,80,01-12-2018
12,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2007,JAN FY2007,2034,01-01-2019
13,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2007,FEB FY2007,2083,01-02-2019
14,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2007,MAR FY2007,672,01-03-2019
15,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2007,APR FY2007,14850,01-04-2019
16,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,MAY FY2007,1832,01-05-2019
17,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,JUN FY2007,2557,01-06-2019
18,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,JUL FY2007,4376,01-07-2019
19,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2007,AUG FY2007,729,01-08-2019
20,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2007,SEP FY2007,716,01-09-2019
21,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2007,OCT FY2007,722,01-10-2019
22,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2007,NOV FY2007,1140,01-11-2019
23,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2007,DEC FY2007,1998,01-12-2019
24,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2011,JAN FY2011,3025,01-01-2020
25,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2011,FEB FY2011,3965,01-02-2020
26,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2011,MAR FY2011,7596,01-03-2020
27,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2011,APR FY2011,4144,01-04-2020
28,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2011,MAY FY2011,2139,01-05-2020
29,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2011,JUN FY2011,2303,01-06-2020
30,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2011,JUL FY2011,2447,01-07-2020
31,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2011,AUG FY2011,1849,01-08-2020
32,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2011,SEP FY2011,2518,01-09-2020
33,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2011,OCT FY2011,3952,01-10-2020
34,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2011,NOV FY2011,2777,01-11-2020
35,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2011,DEC FY2011,4861,01-12-2020
36,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2012,JAN FY2012,2131,01-01-2021
37,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2012,FEB FY2012,2096,01-02-2021
38,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2012,MAR FY2012,4155,01-03-2021
39,SRSBU,ISR1K,C1111-8PLTExA,Q3 FY2012,APR FY2012,2799,01-04-2021
40,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2012,MAY FY2012,3837,01-05-2021
41,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2012,JUN FY2012,4864,01-06-2021
42,SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2012,JUL FY2012,5531,01-07-2021
43,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2012,AUG FY2012,2289,01-08-2021
44,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2012,SEP FY2012,2240,01-09-2021
45,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2012,OCT FY2012,3330,01-10-2021
46,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2012,NOV FY2012,2493,01-11-2021
47,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2012,DEC FY2012,2265,01-12-2021
48,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2022,JAN FY2022,1944,01-01-2022
49,SRSBU,ISR1K,C1111-8PLTExA,,,2386,01-02-2022
50,SRSBU,ISR1K,C1111-8PLTExA,,,2827,01-03-2022
51,SRSBU,ISR1K,C1111-8PLTExA,,,3268,01-04-2022
52,SRSBU,ISR1K,C1111-8PLTExA,,,3709,01-05-2022
53,SRSBU,ISR1K,C1111-8PLTExA,,,4150,01-06-2022
54,SRSBU,ISR1K,C1111-8PLTExA,,,4591,01-07-2022
55,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2022,AUG FY2022,5032,01-08-2022
56,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2022,SEP FY2022,3716,01-09-2022
57,SRSBU,ISR1K,C1111-8PLTExA,Q1 FY2022,OCT FY2022,4316,01-10-2022
58,SRSBU,ISR1K,C1111-8PLTExA,Q2 FY2022,NOV FY2022,5168,01-11-2022
