,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,CAT8200,C8200L-1N-4T,Q3 FY2012,FEB FY2012,2,01-02-2021
1,SRSBU,CAT8200,C8200L-1N-4T,Q3 FY2012,MAR FY2012,1,01-03-2021
2,SRSBU,CAT8200,C8200L-1N-4T,Q3 FY2012,APR FY2012,1,01-04-2021
3,SRSBU,CAT8200,C8200L-1N-4T,Q4 FY2012,MAY FY2012,26,01-05-2021
4,SRSBU,CAT8200,C8200L-1N-4T,Q4 FY2012,JUN FY2012,283,01-06-2021
5,SRSBU,CAT8200,C8200L-1N-4T,Q4 FY2012,JUL FY2012,663,01-07-2021
6,SRSBU,CAT8200,C8200L-1N-4T,,,713,01-08-2021
7,SRSBU,CAT8200,C8200L-1N-4T,,,763,01-09-2021
8,SRSBU,CAT8200,C8200L-1N-4T,,,813,01-10-2021
9,SRSBU,CAT8200,C8200L-1N-4T,,,863,01-11-2021
10,SRSBU,CAT8200,C8200L-1N-4T,,,913,01-12-2021
11,SRSBU,CAT8200,C8200L-1N-4T,Q2 FY2022,JAN FY2022,963,01-01-2022
12,SRSBU,CAT8200,C8200L-1N-4T,,,910,01-02-2022
13,SRSBU,CAT8200,C8200L-1N-4T,,,857,01-03-2022
14,SRSBU,CAT8200,C8200L-1N-4T,,,804,01-04-2022
15,SRSBU,CAT8200,C8200L-1N-4T,,,751,01-05-2022
16,SRSBU,CAT8200,C8200L-1N-4T,,,698,01-06-2022
17,SRSBU,CAT8200,C8200L-1N-4T,,,645,01-07-2022
18,SRSBU,CAT8200,C8200L-1N-4T,Q1 FY2022,AUG FY2022,592,01-08-2022
19,SRSBU,CAT8200,C8200L-1N-4T,Q1 FY2022,SEP FY2022,368,01-09-2022
20,SRSBU,CAT8200,C8200L-1N-4T,Q1 FY2022,OCT FY2022,983,01-10-2022
21,SRSBU,CAT8200,C8200L-1N-4T,Q2 FY2022,NOV FY2022,447,01-11-2022
