,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,CAT8500,C8500-12X,Q4 FY2011,JUL FY2011,2,01-07-2020
1,SRSBU,CAT8500,C8500-12X,,,13,01-08-2020
2,SRSBU,CAT8500,C8500-12X,,,23,01-09-2020
3,SRSBU,CAT8500,C8500-12X,,,34,01-10-2020
4,SRSBU,CAT8500,C8500-12X,,,44,01-11-2020
5,SRSBU,CAT8500,C8500-12X,,,55,01-12-2020
6,SRSBU,CAT8500,C8500-12X,Q2 FY2012,JAN FY2012,65,01-01-2021
7,SRSBU,CAT8500,C8500-12X,Q3 FY2012,FEB FY2012,70,01-02-2021
8,SRSBU,CAT8500,C8500-12X,Q3 FY2012,MAR FY2012,89,01-03-2021
9,SRSBU,CAT8500,C8500-12X,Q3 FY2012,APR FY2012,185,01-04-2021
10,SRSBU,CAT8500,C8500-12X,Q4 FY2012,MAY FY2012,73,01-05-2021
11,SRSBU,CAT8500,C8500-12X,Q4 FY2012,JUN FY2012,161,01-06-2021
12,SRSBU,CAT8500,C8500-12X,Q4 FY2012,JUL FY2012,310,01-07-2021
13,SRSBU,CAT8500,C8500-12X,Q1 FY2012,AUG FY2012,4,01-08-2021
14,SRSBU,CAT8500,C8500-12X,Q1 FY2012,SEP FY2012,2,01-09-2021
15,SRSBU,CAT8500,C8500-12X,Q1 FY2012,OCT FY2012,5,01-10-2021
16,SRSBU,CAT8500,C8500-12X,Q2 FY2012,NOV FY2012,12,01-11-2021
17,SRSBU,CAT8500,C8500-12X,Q2 FY2012,DEC FY2012,34,01-12-2021
18,SRSBU,CAT8500,C8500-12X,Q2 FY2022,JAN FY2022,304,01-01-2022
19,SRSBU,CAT8500,C8500-12X,,,279,01-02-2022
20,SRSBU,CAT8500,C8500-12X,,,253,01-03-2022
21,SRSBU,CAT8500,C8500-12X,,,228,01-04-2022
22,SRSBU,CAT8500,C8500-12X,,,202,01-05-2022
23,SRSBU,CAT8500,C8500-12X,,,177,01-06-2022
24,SRSBU,CAT8500,C8500-12X,,,151,01-07-2022
25,SRSBU,CAT8500,C8500-12X,Q1 FY2022,AUG FY2022,125,01-08-2022
26,SRSBU,CAT8500,C8500-12X,Q1 FY2022,SEP FY2022,180,01-09-2022
27,SRSBU,CAT8500,C8500-12X,Q1 FY2022,OCT FY2022,474,01-10-2022
28,SRSBU,CAT8500,C8500-12X,Q2 FY2022,NOV FY2022,356,01-11-2022
