,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,CAT8500,C8500L-8S4X,Q2 FY2012,JAN FY2012,3,01-01-2021
1,SRSBU,CAT8500,C8500L-8S4X,Q3 FY2012,FEB FY2012,10,01-02-2021
2,SRSBU,CAT8500,C8500L-8S4X,Q3 FY2012,MAR FY2012,53,01-03-2021
3,SRSBU,CAT8500,C8500L-8S4X,Q3 FY2012,APR FY2012,197,01-04-2021
4,SRSBU,CAT8500,C8500L-8S4X,Q4 FY2012,MAY FY2012,146,01-05-2021
5,SRSBU,CAT8500,C8500L-8S4X,Q4 FY2012,JUN FY2012,155,01-06-2021
6,SRSBU,CAT8500,C8500L-8S4X,Q4 FY2012,JUL FY2012,361,01-07-2021
7,SRSBU,CAT8500,C8500L-8S4X,,,354,01-08-2021
8,SRSBU,CAT8500,C8500L-8S4X,,,346,01-09-2021
9,SRSBU,CAT8500,C8500L-8S4X,,,339,01-10-2021
10,SRSBU,CAT8500,C8500L-8S4X,,,331,01-11-2021
11,SRSBU,CAT8500,C8500L-8S4X,,,324,01-12-2021
12,SRSBU,CAT8500,C8500L-8S4X,Q2 FY2022,JAN FY2022,316,01-01-2022
13,SRSBU,CAT8500,C8500L-8S4X,,,305,01-02-2022
14,SRSBU,CAT8500,C8500L-8S4X,,,294,01-03-2022
15,SRSBU,CAT8500,C8500L-8S4X,,,282,01-04-2022
16,SRSBU,CAT8500,C8500L-8S4X,,,271,01-05-2022
17,SRSBU,CAT8500,C8500L-8S4X,,,259,01-06-2022
18,SRSBU,CAT8500,C8500L-8S4X,,,248,01-07-2022
19,SRSBU,CAT8500,C8500L-8S4X,Q1 FY2022,AUG FY2022,236,01-08-2022
20,SRSBU,CAT8500,C8500L-8S4X,Q1 FY2022,SEP FY2022,200,01-09-2022
21,SRSBU,CAT8500,C8500L-8S4X,Q1 FY2022,OCT FY2022,394,01-10-2022
22,SRSBU,CAT8500,C8500L-8S4X,Q2 FY2022,NOV FY2022,291,01-11-2022
