,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,RTOBU,C9105AX,C9105AXI-B,Q2 FY2012,JAN FY2012,3549,01-01-2021
1,RTOBU,C9105AX,C9105AXI-B,Q3 FY2012,FEB FY2012,7360,01-02-2021
2,RTOBU,C9105AX,C9105AXI-B,Q3 FY2012,MAR FY2012,8132,01-03-2021
3,RTOBU,C9105AX,C9105AXI-B,Q3 FY2012,APR FY2012,8048,01-04-2021
4,RTOBU,C9105AX,C9105AXI-B,Q4 FY2012,MAY FY2012,8901,01-05-2021
5,RTOBU,C9105AX,C9105AXI-B,Q4 FY2012,JUN FY2012,9877,01-06-2021
6,RTOBU,C9105AX,C9105AXI-B,Q4 FY2012,JUL FY2012,53204,01-07-2021
7,RTOBU,C9105AX,C9105AXI-B,Q1 FY2012,AUG FY2012,2,01-08-2021
8,RTOBU,C9105AX,C9105AXI-B,Q1 FY2012,SEP FY2012,259,01-09-2021
9,RTOBU,C9105AX,C9105AXI-B,Q1 FY2012,OCT FY2012,2216,01-10-2021
10,RTOBU,C9105AX,C9105AXI-B,Q2 FY2012,NOV FY2012,3467,01-11-2021
11,RTOBU,C9105AX,C9105AXI-B,Q2 FY2012,DEC FY2012,1659,01-12-2021
12,RTOBU,C9105AX,C9105AXI-B,Q2 FY2022,JAN FY2022,14341,01-01-2022
13,RTOBU,C9105AX,C9105AXI-B,,,13168,01-02-2022
14,RTOBU,C9105AX,C9105AXI-B,,,11995,01-03-2022
15,RTOBU,C9105AX,C9105AXI-B,,,10822,01-04-2022
16,RTOBU,C9105AX,C9105AXI-B,,,9649,01-05-2022
17,RTOBU,C9105AX,C9105AXI-B,,,8476,01-06-2022
18,RTOBU,C9105AX,C9105AXI-B,,,7303,01-07-2022
19,RTOBU,C9105AX,C9105AXI-B,Q1 FY2022,AUG FY2022,6130,01-08-2022
20,RTOBU,C9105AX,C9105AXI-B,Q1 FY2022,SEP FY2022,83589,01-09-2022
21,RTOBU,C9105AX,C9105AXI-B,Q1 FY2022,OCT FY2022,33484,01-10-2022
22,RTOBU,C9105AX,C9105AXI-B,Q2 FY2022,NOV FY2022,17159,01-11-2022
