,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,RTOBU,C9105AX,C9105AXW-B,Q4 FY2011,JUL FY2011,4541,01-07-2020
1,RTOBU,C9105AX,C9105AXW-B,,,5651,01-08-2020
2,RTOBU,C9105AX,C9105AXW-B,,,6760,01-09-2020
3,RTOBU,C9105AX,C9105AXW-B,,,7869,01-10-2020
4,RTOBU,C9105AX,C9105AXW-B,,,8979,01-11-2020
5,RTOBU,C9105AX,C9105AXW-B,,,10088,01-12-2020
6,RTOBU,C9105AX,C9105AXW-B,Q2 FY2012,JAN FY2012,11197,01-01-2021
7,RTOBU,C9105AX,C9105AXW-B,Q3 FY2012,FEB FY2012,6376,01-02-2021
8,RTOBU,C9105AX,C9105AXW-B,Q3 FY2012,MAR FY2012,12191,01-03-2021
9,RTOBU,C9105AX,C9105AXW-B,Q3 FY2012,APR FY2012,8715,01-04-2021
10,RTOBU,C9105AX,C9105AXW-B,Q4 FY2012,MAY FY2012,4991,01-05-2021
11,RTOBU,C9105AX,C9105AXW-B,Q4 FY2012,JUN FY2012,4424,01-06-2021
12,RTOBU,C9105AX,C9105AXW-B,Q4 FY2012,JUL FY2012,7711,01-07-2021
13,RTOBU,C9105AX,C9105AXW-B,Q1 FY2012,AUG FY2012,5,01-08-2021
14,RTOBU,C9105AX,C9105AXW-B,Q1 FY2012,SEP FY2012,78,01-09-2021
15,RTOBU,C9105AX,C9105AXW-B,Q1 FY2012,OCT FY2012,4665,01-10-2021
16,RTOBU,C9105AX,C9105AXW-B,Q2 FY2012,NOV FY2012,1302,01-11-2021
17,RTOBU,C9105AX,C9105AXW-B,Q2 FY2012,DEC FY2012,1113,01-12-2021
18,RTOBU,C9105AX,C9105AXW-B,Q2 FY2022,JAN FY2022,12387,01-01-2022
19,RTOBU,C9105AX,C9105AXW-B,,,11544,01-02-2022
20,RTOBU,C9105AX,C9105AXW-B,,,10700,01-03-2022
21,RTOBU,C9105AX,C9105AXW-B,,,9856,01-04-2022
22,RTOBU,C9105AX,C9105AXW-B,,,9013,01-05-2022
23,RTOBU,C9105AX,C9105AXW-B,,,8169,01-06-2022
24,RTOBU,C9105AX,C9105AXW-B,,,7325,01-07-2022
25,RTOBU,C9105AX,C9105AXW-B,Q1 FY2022,AUG FY2022,6481,01-08-2022
26,RTOBU,C9105AX,C9105AXW-B,Q1 FY2022,SEP FY2022,5835,01-09-2022
27,RTOBU,C9105AX,C9105AXW-B,Q1 FY2022,OCT FY2022,3352,01-10-2022
28,RTOBU,C9105AX,C9105AXW-B,Q2 FY2022,NOV FY2022,15318,01-11-2022
