,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,RTOBU,C9130AX,C9130AXE-B,Q2 FY2011,JAN FY2011,128,01-01-2020
1,RTOBU,C9130AX,C9130AXE-B,Q3 FY2011,FEB FY2011,995,01-02-2020
2,RTOBU,C9130AX,C9130AXE-B,Q3 FY2011,MAR FY2011,892,01-03-2020
3,RTOBU,C9130AX,C9130AXE-B,Q3 FY2011,APR FY2011,3217,01-04-2020
4,RTOBU,C9130AX,C9130AXE-B,Q4 FY2011,MAY FY2011,1356,01-05-2020
5,RTOBU,C9130AX,C9130AXE-B,Q4 FY2011,JUN FY2011,1036,01-06-2020
6,RTOBU,C9130AX,C9130AXE-B,Q4 FY2011,JUL FY2011,4166,01-07-2020
7,RTOBU,C9130AX,C9130AXE-B,,,4032,01-08-2020
8,RTOBU,C9130AX,C9130AXE-B,,,3898,01-09-2020
9,RTOBU,C9130AX,C9130AXE-B,,,3763,01-10-2020
10,RTOBU,C9130AX,C9130AXE-B,,,3629,01-11-2020
11,RTOBU,C9130AX,C9130AXE-B,,,3495,01-12-2020
12,RTOBU,C9130AX,C9130AXE-B,Q2 FY2012,JAN FY2012,3360,01-01-2021
13,RTOBU,C9130AX,C9130AXE-B,Q3 FY2012,FEB FY2012,3757,01-02-2021
14,RTOBU,C9130AX,C9130AXE-B,Q3 FY2012,MAR FY2012,3985,01-03-2021
15,RTOBU,C9130AX,C9130AXE-B,Q3 FY2012,APR FY2012,4401,01-04-2021
16,RTOBU,C9130AX,C9130AXE-B,Q4 FY2012,MAY FY2012,2346,01-05-2021
17,RTOBU,C9130AX,C9130AXE-B,Q4 FY2012,JUN FY2012,4435,01-06-2021
18,RTOBU,C9130AX,C9130AXE-B,Q4 FY2012,JUL FY2012,11369,01-07-2021
19,RTOBU,C9130AX,C9130AXE-B,Q1 FY2012,AUG FY2012,1157,01-08-2021
20,RTOBU,C9130AX,C9130AXE-B,Q1 FY2012,SEP FY2012,1566,01-09-2021
21,RTOBU,C9130AX,C9130AXE-B,Q1 FY2012,OCT FY2012,3019,01-10-2021
22,RTOBU,C9130AX,C9130AXE-B,Q2 FY2012,NOV FY2012,2165,01-11-2021
23,RTOBU,C9130AX,C9130AXE-B,Q2 FY2012,DEC FY2012,1175,01-12-2021
24,RTOBU,C9130AX,C9130AXE-B,Q2 FY2022,JAN FY2022,10812,01-01-2022
25,RTOBU,C9130AX,C9130AXE-B,,,9759,01-02-2022
26,RTOBU,C9130AX,C9130AXE-B,,,8705,01-03-2022
27,RTOBU,C9130AX,C9130AXE-B,,,7652,01-04-2022
28,RTOBU,C9130AX,C9130AXE-B,,,6598,01-05-2022
29,RTOBU,C9130AX,C9130AXE-B,,,5545,01-06-2022
30,RTOBU,C9130AX,C9130AXE-B,,,4491,01-07-2022
31,RTOBU,C9130AX,C9130AXE-B,Q1 FY2022,AUG FY2022,3437,01-08-2022
32,RTOBU,C9130AX,C9130AXE-B,Q1 FY2022,SEP FY2022,7471,01-09-2022
33,RTOBU,C9130AX,C9130AXE-B,Q1 FY2022,OCT FY2022,7952,01-10-2022
34,RTOBU,C9130AX,C9130AXE-B,Q2 FY2022,NOV FY2022,5189,01-11-2022
