,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2011,JAN FY2011,0,01-01-2020
1,UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2011,FEB FY2011,2,01-02-2020
2,UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2011,MAR FY2011,125,01-03-2020
3,UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2011,APR FY2011,36,01-04-2020
4,UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2011,MAY FY2011,15,01-05-2020
5,UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2011,JUN FY2011,159,01-06-2020
6,UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2011,JUL FY2011,408,01-07-2020
7,UOPBLRBU,C9200,C9200-48PXG-E,,,455,01-08-2020
8,UOPBLRBU,C9200,C9200-48PXG-E,,,502,01-09-2020
9,UOPBLRBU,C9200,C9200-48PXG-E,,,549,01-10-2020
10,UOPBLRBU,C9200,C9200-48PXG-E,,,596,01-11-2020
11,UOPBLRBU,C9200,C9200-48PXG-E,,,643,01-12-2020
12,UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2012,JAN FY2012,689,01-01-2021
13,UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2012,FEB FY2012,421,01-02-2021
14,UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2012,MAR FY2012,393,01-03-2021
15,UOPBLRBU,C9200,C9200-48PXG-E,Q3 FY2012,APR FY2012,707,01-04-2021
16,UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2012,MAY FY2012,699,01-05-2021
17,UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2012,JUN FY2012,283,01-06-2021
18,UOPBLRBU,C9200,C9200-48PXG-E,Q4 FY2012,JUL FY2012,1245,01-07-2021
19,UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2012,AUG FY2012,86,01-08-2021
20,UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2012,SEP FY2012,59,01-09-2021
21,UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2012,OCT FY2012,367,01-10-2021
22,UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2012,NOV FY2012,394,01-11-2021
23,UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2012,DEC FY2012,425,01-12-2021
24,UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2022,JAN FY2022,603,01-01-2022
25,UOPBLRBU,C9200,C9200-48PXG-E,,,589,01-02-2022
26,UOPBLRBU,C9200,C9200-48PXG-E,,,574,01-03-2022
27,UOPBLRBU,C9200,C9200-48PXG-E,,,560,01-04-2022
28,UOPBLRBU,C9200,C9200-48PXG-E,,,545,01-05-2022
29,UOPBLRBU,C9200,C9200-48PXG-E,,,531,01-06-2022
30,UOPBLRBU,C9200,C9200-48PXG-E,,,516,01-07-2022
31,UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2022,AUG FY2022,501,01-08-2022
32,UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2022,SEP FY2022,485,01-09-2022
33,UOPBLRBU,C9200,C9200-48PXG-E,Q1 FY2022,OCT FY2022,1912,01-10-2022
34,UOPBLRBU,C9200,C9200-48PXG-E,Q2 FY2022,NOV FY2022,639,01-11-2022
