,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2007,JAN FY2007,951,01-01-2019
1,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2007,FEB FY2007,350,01-02-2019
2,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2007,MAR FY2007,1582,01-03-2019
3,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2007,APR FY2007,2906,01-04-2019
4,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2007,MAY FY2007,1011,01-05-2019
5,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2007,JUN FY2007,1481,01-06-2019
6,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2007,JUL FY2007,3204,01-07-2019
7,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,2744,01-08-2019
8,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,2283,01-09-2019
9,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,1823,01-10-2019
10,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2007,NOV FY2007,1362,01-11-2019
11,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2007,DEC FY2007,1056,01-12-2019
12,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2011,JAN FY2011,5441,01-01-2020
13,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2011,FEB FY2011,2368,01-02-2020
14,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2011,MAR FY2011,3183,01-03-2020
15,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2011,APR FY2011,4205,01-04-2020
16,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2011,MAY FY2011,1814,01-05-2020
17,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2011,JUN FY2011,3888,01-06-2020
18,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2011,JUL FY2011,6002,01-07-2020
19,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2011,AUG FY2011,1067,01-08-2020
20,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2011,SEP FY2011,2093,01-09-2020
21,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2011,OCT FY2011,4811,01-10-2020
22,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2011,NOV FY2011,1986,01-11-2020
23,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2011,DEC FY2011,2600,01-12-2020
24,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2012,JAN FY2012,5077,01-01-2021
25,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2012,FEB FY2012,5643,01-02-2021
26,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2012,MAR FY2012,6401,01-03-2021
27,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q3 FY2012,APR FY2012,8632,01-04-2021
28,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2012,MAY FY2012,4751,01-05-2021
29,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2012,JUN FY2012,6916,01-06-2021
30,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q4 FY2012,JUL FY2012,12556,01-07-2021
31,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2012,AUG FY2012,2713,01-08-2021
32,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2012,SEP FY2012,3000,01-09-2021
33,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2012,OCT FY2012,5285,01-10-2021
34,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2012,NOV FY2012,3783,01-11-2021
35,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2012,DEC FY2012,5360,01-12-2021
36,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2022,JAN FY2022,8583,01-01-2022
37,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,8203,01-02-2022
38,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,7822,01-03-2022
39,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,7442,01-04-2022
40,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,7061,01-05-2022
41,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,6681,01-06-2022
42,UOPBLRBU,C9200L,C9200L-24T-4G-E,,,6300,01-07-2022
43,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2022,AUG FY2022,5919,01-08-2022
44,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2022,SEP FY2022,7195,01-09-2022
45,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q1 FY2022,OCT FY2022,12112,01-10-2022
46,UOPBLRBU,C9200L,C9200L-24T-4G-E,Q2 FY2022,NOV FY2022,8798,01-11-2022
