,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2007,JAN FY2007,1480,01-01-2019
1,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2007,FEB FY2007,1884,01-02-2019
2,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2007,MAR FY2007,2169,01-03-2019
3,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2007,APR FY2007,3918,01-04-2019
4,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2007,MAY FY2007,3516,01-05-2019
5,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2007,JUN FY2007,4931,01-06-2019
6,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2007,JUL FY2007,7499,01-07-2019
7,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,5692,01-08-2019
8,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,3884,01-09-2019
9,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,2076,01-10-2019
10,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2007,NOV FY2007,268,01-11-2019
11,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2007,DEC FY2007,634,01-12-2019
12,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2011,JAN FY2011,6616,01-01-2020
13,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2011,FEB FY2011,4279,01-02-2020
14,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2011,MAR FY2011,5996,01-03-2020
15,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2011,APR FY2011,6212,01-04-2020
16,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2011,MAY FY2011,3126,01-05-2020
17,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2011,JUN FY2011,3294,01-06-2020
18,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2011,JUL FY2011,8187,01-07-2020
19,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2011,AUG FY2011,2557,01-08-2020
20,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2011,SEP FY2011,3208,01-09-2020
21,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2011,OCT FY2011,6588,01-10-2020
22,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2011,NOV FY2011,4564,01-11-2020
23,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2011,DEC FY2011,4858,01-12-2020
24,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2012,JAN FY2012,7156,01-01-2021
25,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2012,FEB FY2012,8780,01-02-2021
26,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2012,MAR FY2012,8701,01-03-2021
27,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q3 FY2012,APR FY2012,10647,01-04-2021
28,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2012,MAY FY2012,5884,01-05-2021
29,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2012,JUN FY2012,9721,01-06-2021
30,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q4 FY2012,JUL FY2012,13654,01-07-2021
31,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2012,AUG FY2012,4657,01-08-2021
32,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2012,SEP FY2012,4513,01-09-2021
33,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2012,OCT FY2012,7332,01-10-2021
34,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2012,NOV FY2012,6301,01-11-2021
35,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2012,DEC FY2012,8393,01-12-2021
36,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2022,JAN FY2022,10735,01-01-2022
37,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,10351,01-02-2022
38,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,9966,01-03-2022
39,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,9581,01-04-2022
40,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,9196,01-05-2022
41,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,8811,01-06-2022
42,UOPBLRBU,C9200L,C9200L-48P-4X-E,,,8426,01-07-2022
43,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2022,AUG FY2022,8041,01-08-2022
44,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2022,SEP FY2022,9135,01-09-2022
45,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q1 FY2022,OCT FY2022,17082,01-10-2022
46,UOPBLRBU,C9200L,C9200L-48P-4X-E,Q2 FY2022,NOV FY2022,10642,01-11-2022
