,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2012,JAN FY2012,153,01-01-2021
1,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q3 FY2012,FEB FY2012,184,01-02-2021
2,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q3 FY2012,MAR FY2012,132,01-03-2021
3,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q3 FY2012,APR FY2012,172,01-04-2021
4,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q4 FY2012,MAY FY2012,130,01-05-2021
5,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q4 FY2012,JUN FY2012,226,01-06-2021
6,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q4 FY2012,JUL FY2012,497,01-07-2021
7,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,332,01-08-2021
8,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,166,01-09-2021
9,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2012,OCT FY2012,0,01-10-2021
10,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2012,NOV FY2012,41,01-11-2021
11,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2012,DEC FY2012,99,01-12-2021
12,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2022,JAN FY2022,1194,01-01-2022
13,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,1079,01-02-2022
14,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,964,01-03-2022
15,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,848,01-04-2022
16,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,733,01-05-2022
17,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,617,01-06-2022
18,UOPBLRBU,C9200L,C9200L-48PL-4X-E,,,502,01-07-2022
19,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2022,AUG FY2022,386,01-08-2022
20,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2022,SEP FY2022,380,01-09-2022
21,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q1 FY2022,OCT FY2022,764,01-10-2022
22,UOPBLRBU,C9200L,C9200L-48PL-4X-E,Q2 FY2022,NOV FY2022,346,01-11-2022
