,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9300,C9300-48H,Q2 FY2011,JAN FY2011,0,01-01-2020
1,UOPBLRBU,C9300,C9300-48H,,,1,01-02-2020
2,UOPBLRBU,C9300,C9300-48H,Q3 FY2011,MAR FY2011,1,01-03-2020
3,UOPBLRBU,C9300,C9300-48H,Q3 FY2011,APR FY2011,2,01-04-2020
4,UOPBLRBU,C9300,C9300-48H,Q4 FY2011,MAY FY2011,0,01-05-2020
5,UOPBLRBU,C9300,C9300-48H,Q4 FY2011,JUN FY2011,8,01-06-2020
6,UOPBLRBU,C9300,C9300-48H,Q4 FY2011,JUL FY2011,65,01-07-2020
7,UOPBLRBU,C9300,C9300-48H,,,53,01-08-2020
8,UOPBLRBU,C9300,C9300-48H,,,40,01-09-2020
9,UOPBLRBU,C9300,C9300-48H,,,27,01-10-2020
10,UOPBLRBU,C9300,C9300-48H,,,14,01-11-2020
11,UOPBLRBU,C9300,C9300-48H,Q2 FY2011,DEC FY2011,1,01-12-2020
12,UOPBLRBU,C9300,C9300-48H,Q2 FY2012,JAN FY2012,469,01-01-2021
13,UOPBLRBU,C9300,C9300-48H,Q3 FY2012,FEB FY2012,232,01-02-2021
14,UOPBLRBU,C9300,C9300-48H,Q3 FY2012,MAR FY2012,275,01-03-2021
15,UOPBLRBU,C9300,C9300-48H,Q3 FY2012,APR FY2012,412,01-04-2021
16,UOPBLRBU,C9300,C9300-48H,Q4 FY2012,MAY FY2012,271,01-05-2021
17,UOPBLRBU,C9300,C9300-48H,Q4 FY2012,JUN FY2012,1016,01-06-2021
18,UOPBLRBU,C9300,C9300-48H,Q4 FY2012,JUL FY2012,2316,01-07-2021
19,UOPBLRBU,C9300,C9300-48H,Q1 FY2012,AUG FY2012,51,01-08-2021
20,UOPBLRBU,C9300,C9300-48H,Q1 FY2012,SEP FY2012,56,01-09-2021
21,UOPBLRBU,C9300,C9300-48H,Q1 FY2012,OCT FY2012,161,01-10-2021
22,UOPBLRBU,C9300,C9300-48H,Q2 FY2012,NOV FY2012,90,01-11-2021
23,UOPBLRBU,C9300,C9300-48H,Q2 FY2012,DEC FY2012,66,01-12-2021
24,UOPBLRBU,C9300,C9300-48H,Q2 FY2022,JAN FY2022,407,01-01-2022
25,UOPBLRBU,C9300,C9300-48H,,,377,01-02-2022
26,UOPBLRBU,C9300,C9300-48H,,,347,01-03-2022
27,UOPBLRBU,C9300,C9300-48H,,,317,01-04-2022
28,UOPBLRBU,C9300,C9300-48H,,,287,01-05-2022
29,UOPBLRBU,C9300,C9300-48H,,,257,01-06-2022
30,UOPBLRBU,C9300,C9300-48H,,,227,01-07-2022
31,UOPBLRBU,C9300,C9300-48H,Q1 FY2022,AUG FY2022,197,01-08-2022
32,UOPBLRBU,C9300,C9300-48H,Q1 FY2022,SEP FY2022,515,01-09-2022
33,UOPBLRBU,C9300,C9300-48H,Q1 FY2022,OCT FY2022,464,01-10-2022
34,UOPBLRBU,C9300,C9300-48H,Q2 FY2022,NOV FY2022,1448,01-11-2022
