,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9300,C9300-48P,Q4 FY2002,JUN FY2002,151,01-06-2017
1,UOPBLRBU,C9300,C9300-48P,Q4 FY2002,JUL FY2002,1321,01-07-2017
2,UOPBLRBU,C9300,C9300-48P,,,2127,01-08-2017
3,UOPBLRBU,C9300,C9300-48P,,,2932,01-09-2017
4,UOPBLRBU,C9300,C9300-48P,,,3737,01-10-2017
5,UOPBLRBU,C9300,C9300-48P,,,4542,01-11-2017
6,UOPBLRBU,C9300,C9300-48P,,,5347,01-12-2017
7,UOPBLRBU,C9300,C9300-48P,Q2 FY2008,JAN FY2008,6152,01-01-2018
8,UOPBLRBU,C9300,C9300-48P,Q3 FY2008,FEB FY2008,4268,01-02-2018
9,UOPBLRBU,C9300,C9300-48P,Q3 FY2008,MAR FY2008,5960,01-03-2018
10,UOPBLRBU,C9300,C9300-48P,Q3 FY2008,APR FY2008,11931,01-04-2018
11,UOPBLRBU,C9300,C9300-48P,Q4 FY2008,MAY FY2008,6114,01-05-2018
12,UOPBLRBU,C9300,C9300-48P,Q4 FY2008,JUN FY2008,8542,01-06-2018
13,UOPBLRBU,C9300,C9300-48P,Q4 FY2008,JUL FY2008,20874,01-07-2018
14,UOPBLRBU,C9300,C9300-48P,Q1 FY2008,AUG FY2008,699,01-08-2018
15,UOPBLRBU,C9300,C9300-48P,Q1 FY2008,SEP FY2008,868,01-09-2018
16,UOPBLRBU,C9300,C9300-48P,Q1 FY2008,OCT FY2008,4602,01-10-2018
17,UOPBLRBU,C9300,C9300-48P,Q2 FY2008,NOV FY2008,2607,01-11-2018
18,UOPBLRBU,C9300,C9300-48P,Q2 FY2008,DEC FY2008,5276,01-12-2018
19,UOPBLRBU,C9300,C9300-48P,Q2 FY2007,JAN FY2007,13837,01-01-2019
20,UOPBLRBU,C9300,C9300-48P,Q3 FY2007,FEB FY2007,7161,01-02-2019
21,UOPBLRBU,C9300,C9300-48P,Q3 FY2007,MAR FY2007,11952,01-03-2019
22,UOPBLRBU,C9300,C9300-48P,Q3 FY2007,APR FY2007,25386,01-04-2019
23,UOPBLRBU,C9300,C9300-48P,Q4 FY2007,MAY FY2007,11476,01-05-2019
24,UOPBLRBU,C9300,C9300-48P,Q4 FY2007,JUN FY2007,10871,01-06-2019
25,UOPBLRBU,C9300,C9300-48P,Q4 FY2007,JUL FY2007,28991,01-07-2019
26,UOPBLRBU,C9300,C9300-48P,Q1 FY2007,AUG FY2007,6854,01-08-2019
27,UOPBLRBU,C9300,C9300-48P,Q1 FY2007,SEP FY2007,8636,01-09-2019
28,UOPBLRBU,C9300,C9300-48P,Q1 FY2007,OCT FY2007,18512,01-10-2019
