,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,EBBU,C9300AG,C9300-48S,Q4 FY2007,JUL FY2007,134,01-07-2019
1,EBBU,C9300AG,C9300-48S,,,197,01-08-2019
2,EBBU,C9300AG,C9300-48S,,,259,01-09-2019
3,EBBU,C9300AG,C9300-48S,,,321,01-10-2019
4,EBBU,C9300AG,C9300-48S,,,384,01-11-2019
5,EBBU,C9300AG,C9300-48S,,,446,01-12-2019
6,EBBU,C9300AG,C9300-48S,Q2 FY2011,JAN FY2011,508,01-01-2020
7,EBBU,C9300AG,C9300-48S,Q3 FY2011,FEB FY2011,320,01-02-2020
8,EBBU,C9300AG,C9300-48S,Q3 FY2011,MAR FY2011,302,01-03-2020
9,EBBU,C9300AG,C9300-48S,Q3 FY2011,APR FY2011,359,01-04-2020
10,EBBU,C9300AG,C9300-48S,Q4 FY2011,MAY FY2011,208,01-05-2020
11,EBBU,C9300AG,C9300-48S,Q4 FY2011,JUN FY2011,292,01-06-2020
12,EBBU,C9300AG,C9300-48S,Q4 FY2011,JUL FY2011,874,01-07-2020
13,EBBU,C9300AG,C9300-48S,Q1 FY2011,AUG FY2011,127,01-08-2020
14,EBBU,C9300AG,C9300-48S,Q1 FY2011,SEP FY2011,213,01-09-2020
15,EBBU,C9300AG,C9300-48S,Q1 FY2011,OCT FY2011,329,01-10-2020
16,EBBU,C9300AG,C9300-48S,Q2 FY2011,NOV FY2011,339,01-11-2020
17,EBBU,C9300AG,C9300-48S,Q2 FY2011,DEC FY2011,235,01-12-2020
18,EBBU,C9300AG,C9300-48S,Q2 FY2012,JAN FY2012,583,01-01-2021
19,EBBU,C9300AG,C9300-48S,Q3 FY2012,FEB FY2012,624,01-02-2021
20,EBBU,C9300AG,C9300-48S,Q3 FY2012,MAR FY2012,627,01-03-2021
21,EBBU,C9300AG,C9300-48S,Q3 FY2012,APR FY2012,514,01-04-2021
22,EBBU,C9300AG,C9300-48S,Q4 FY2012,MAY FY2012,514,01-05-2021
23,EBBU,C9300AG,C9300-48S,Q4 FY2012,JUN FY2012,628,01-06-2021
24,EBBU,C9300AG,C9300-48S,Q4 FY2012,JUL FY2012,971,01-07-2021
25,EBBU,C9300AG,C9300-48S,Q1 FY2012,AUG FY2012,485,01-08-2021
26,EBBU,C9300AG,C9300-48S,Q1 FY2012,SEP FY2012,865,01-09-2021
27,EBBU,C9300AG,C9300-48S,Q1 FY2012,OCT FY2012,1194,01-10-2021
28,EBBU,C9300AG,C9300-48S,Q2 FY2012,NOV FY2012,563,01-11-2021
29,EBBU,C9300AG,C9300-48S,Q2 FY2012,DEC FY2012,446,01-12-2021
30,EBBU,C9300AG,C9300-48S,Q2 FY2022,JAN FY2022,1420,01-01-2022
31,EBBU,C9300AG,C9300-48S,,,1304,01-02-2022
32,EBBU,C9300AG,C9300-48S,,,1188,01-03-2022
33,EBBU,C9300AG,C9300-48S,,,1072,01-04-2022
34,EBBU,C9300AG,C9300-48S,,,956,01-05-2022
35,EBBU,C9300AG,C9300-48S,,,840,01-06-2022
36,EBBU,C9300AG,C9300-48S,,,724,01-07-2022
37,EBBU,C9300AG,C9300-48S,Q1 FY2022,AUG FY2022,607,01-08-2022
38,EBBU,C9300AG,C9300-48S,Q1 FY2022,SEP FY2022,1064,01-09-2022
39,EBBU,C9300AG,C9300-48S,Q1 FY2022,OCT FY2022,1862,01-10-2022
40,EBBU,C9300AG,C9300-48S,Q2 FY2022,NOV FY2022,555,01-11-2022
