,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9300,C9300-48UN,Q4 FY2008,JUN FY2008,29,01-06-2018
1,UOPBLRBU,C9300,C9300-48UN,Q4 FY2008,JUL FY2008,202,01-07-2018
2,UOPBLRBU,C9300,C9300-48UN,,,340,01-08-2018
3,UOPBLRBU,C9300,C9300-48UN,,,477,01-09-2018
4,UOPBLRBU,C9300,C9300-48UN,,,614,01-10-2018
5,UOPBLRBU,C9300,C9300-48UN,,,751,01-11-2018
6,UOPBLRBU,C9300,C9300-48UN,,,888,01-12-2018
7,UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,JAN FY2007,1025,01-01-2019
8,UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,FEB FY2007,369,01-02-2019
9,UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,MAR FY2007,1451,01-03-2019
10,UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,APR FY2007,1162,01-04-2019
11,UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,MAY FY2007,852,01-05-2019
12,UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,JUN FY2007,1976,01-06-2019
13,UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,JUL FY2007,4588,01-07-2019
14,UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,AUG FY2007,5,01-08-2019
15,UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,SEP FY2007,19,01-09-2019
16,UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,OCT FY2007,1065,01-10-2019
17,UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,NOV FY2007,239,01-11-2019
18,UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,DEC FY2007,470,01-12-2019
19,UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,JAN FY2011,1152,01-01-2020
20,UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,FEB FY2011,1198,01-02-2020
21,UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,MAR FY2011,1767,01-03-2020
22,UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,APR FY2011,2110,01-04-2020
23,UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,MAY FY2011,735,01-05-2020
24,UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,JUN FY2011,1344,01-06-2020
25,UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,JUL FY2011,3994,01-07-2020
26,UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,AUG FY2011,538,01-08-2020
27,UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,SEP FY2011,992,01-09-2020
28,UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,OCT FY2011,1560,01-10-2020
29,UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,NOV FY2011,1673,01-11-2020
30,UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,DEC FY2011,1108,01-12-2020
31,UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,JAN FY2012,3268,01-01-2021
32,UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,FEB FY2012,2728,01-02-2021
33,UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,MAR FY2012,3193,01-03-2021
34,UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,APR FY2012,6354,01-04-2021
35,UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,MAY FY2012,4171,01-05-2021
36,UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,JUN FY2012,2223,01-06-2021
37,UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,JUL FY2012,7544,01-07-2021
38,UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,AUG FY2012,1043,01-08-2021
39,UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,SEP FY2012,1144,01-09-2021
40,UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,OCT FY2012,3273,01-10-2021
41,UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,NOV FY2012,2121,01-11-2021
42,UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,DEC FY2012,1350,01-12-2021
43,UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,JAN FY2022,5110,01-01-2022
44,UOPBLRBU,C9300,C9300-48UN,,,4754,01-02-2022
45,UOPBLRBU,C9300,C9300-48UN,,,4398,01-03-2022
46,UOPBLRBU,C9300,C9300-48UN,,,4041,01-04-2022
47,UOPBLRBU,C9300,C9300-48UN,,,3685,01-05-2022
48,UOPBLRBU,C9300,C9300-48UN,,,3328,01-06-2022
49,UOPBLRBU,C9300,C9300-48UN,,,2972,01-07-2022
50,UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,AUG FY2022,2615,01-08-2022
51,UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,SEP FY2022,12439,01-09-2022
52,UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,OCT FY2022,12110,01-10-2022
53,UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,NOV FY2022,7007,01-11-2022
