,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2002,JUL FY2002,1116,01-07-2017
1,UOPBLRBU,C9300,C9300-48UXM,,,1468,01-08-2017
2,UOPBLRBU,C9300,C9300-48UXM,,,1819,01-09-2017
3,UOPBLRBU,C9300,C9300-48UXM,,,2170,01-10-2017
4,UOPBLRBU,C9300,C9300-48UXM,,,2522,01-11-2017
5,UOPBLRBU,C9300,C9300-48UXM,,,2873,01-12-2017
6,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2008,JAN FY2008,3224,01-01-2018
7,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2008,FEB FY2008,1221,01-02-2018
8,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2008,MAR FY2008,1749,01-03-2018
9,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2008,APR FY2008,3273,01-04-2018
10,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2008,MAY FY2008,2102,01-05-2018
11,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2008,JUN FY2008,2455,01-06-2018
12,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2008,JUL FY2008,10014,01-07-2018
13,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2008,AUG FY2008,0,01-08-2018
14,UOPBLRBU,C9300,C9300-48UXM,,,63,01-09-2018
15,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2008,OCT FY2008,125,01-10-2018
16,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2008,NOV FY2008,362,01-11-2018
17,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2008,DEC FY2008,1086,01-12-2018
18,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2007,JAN FY2007,3658,01-01-2019
19,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2007,FEB FY2007,2223,01-02-2019
20,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2007,MAR FY2007,2169,01-03-2019
21,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2007,APR FY2007,3586,01-04-2019
22,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2007,MAY FY2007,4139,01-05-2019
23,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2007,JUN FY2007,3916,01-06-2019
24,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2007,JUL FY2007,8961,01-07-2019
25,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2007,AUG FY2007,2640,01-08-2019
26,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2007,SEP FY2007,1652,01-09-2019
27,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2007,OCT FY2007,4689,01-10-2019
28,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2007,NOV FY2007,3388,01-11-2019
29,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2007,DEC FY2007,3973,01-12-2019
30,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2011,JAN FY2011,6368,01-01-2020
31,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2011,FEB FY2011,2878,01-02-2020
32,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2011,MAR FY2011,3974,01-03-2020
33,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2011,APR FY2011,4664,01-04-2020
34,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2011,MAY FY2011,2931,01-05-2020
35,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2011,JUN FY2011,3079,01-06-2020
36,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2011,JUL FY2011,7170,01-07-2020
37,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2011,AUG FY2011,2688,01-08-2020
38,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2011,SEP FY2011,2345,01-09-2020
39,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2011,OCT FY2011,6791,01-10-2020
40,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2011,NOV FY2011,3602,01-11-2020
41,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2011,DEC FY2011,5185,01-12-2020
42,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2012,JAN FY2012,4768,01-01-2021
43,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2012,FEB FY2012,4351,01-02-2021
44,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2012,MAR FY2012,6630,01-03-2021
45,UOPBLRBU,C9300,C9300-48UXM,Q3 FY2012,APR FY2012,7180,01-04-2021
46,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2012,MAY FY2012,4590,01-05-2021
47,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2012,JUN FY2012,6384,01-06-2021
48,UOPBLRBU,C9300,C9300-48UXM,Q4 FY2012,JUL FY2012,14930,01-07-2021
49,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2012,AUG FY2012,2185,01-08-2021
50,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2012,SEP FY2012,2913,01-09-2021
51,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2012,OCT FY2012,6651,01-10-2021
52,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2012,NOV FY2012,5048,01-11-2021
53,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2012,DEC FY2012,4354,01-12-2021
54,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2022,JAN FY2022,9455,01-01-2022
55,UOPBLRBU,C9300,C9300-48UXM,,,8831,01-02-2022
56,UOPBLRBU,C9300,C9300-48UXM,,,8207,01-03-2022
57,UOPBLRBU,C9300,C9300-48UXM,,,7583,01-04-2022
58,UOPBLRBU,C9300,C9300-48UXM,,,6959,01-05-2022
59,UOPBLRBU,C9300,C9300-48UXM,,,6335,01-06-2022
60,UOPBLRBU,C9300,C9300-48UXM,,,5711,01-07-2022
61,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2022,AUG FY2022,5087,01-08-2022
62,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2022,SEP FY2022,5322,01-09-2022
63,UOPBLRBU,C9300,C9300-48UXM,Q1 FY2022,OCT FY2022,10797,01-10-2022
64,UOPBLRBU,C9300,C9300-48UXM,Q2 FY2022,NOV FY2022,8012,01-11-2022
