,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2002,JUN FY2002,148,01-06-2017
1,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2002,JUL FY2002,3902,01-07-2017
2,UOPBLRBU,C9300,C9300-NM-8X,,,5501,01-08-2017
3,UOPBLRBU,C9300,C9300-NM-8X,,,7100,01-09-2017
4,UOPBLRBU,C9300,C9300-NM-8X,,,8698,01-10-2017
5,UOPBLRBU,C9300,C9300-NM-8X,,,10297,01-11-2017
6,UOPBLRBU,C9300,C9300-NM-8X,,,11896,01-12-2017
7,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,JAN FY2008,13494,01-01-2018
8,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,FEB FY2008,7664,01-02-2018
9,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,MAR FY2008,11065,01-03-2018
10,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,APR FY2008,21114,01-04-2018
11,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,MAY FY2008,11943,01-05-2018
12,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,JUN FY2008,20592,01-06-2018
13,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,JUL FY2008,42483,01-07-2018
14,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,AUG FY2008,948,01-08-2018
15,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,SEP FY2008,1596,01-09-2018
16,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,OCT FY2008,5418,01-10-2018
17,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,NOV FY2008,4186,01-11-2018
18,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,DEC FY2008,7430,01-12-2018
19,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2007,JAN FY2007,26470,01-01-2019
20,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,FEB FY2007,15996,01-02-2019
21,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,MAR FY2007,22576,01-03-2019
22,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,APR FY2007,32678,01-04-2019
23,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,MAY FY2007,20750,01-05-2019
24,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,JUN FY2007,21473,01-06-2019
25,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,JUL FY2007,57727,01-07-2019
26,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2007,AUG FY2007,9440,01-08-2019
27,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2007,SEP FY2007,15997,01-09-2019
28,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2007,OCT FY2007,30825,01-10-2019
29,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2007,NOV FY2007,19031,01-11-2019
30,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2007,DEC FY2007,22989,01-12-2019
31,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2011,JAN FY2011,27175,01-01-2020
32,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2011,FEB FY2011,19701,01-02-2020
33,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2011,MAR FY2011,26261,01-03-2020
34,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2011,APR FY2011,35939,01-04-2020
35,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2011,MAY FY2011,19789,01-05-2020
36,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2011,JUN FY2011,23244,01-06-2020
37,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2011,JUL FY2011,44281,01-07-2020
38,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2011,AUG FY2011,18476,01-08-2020
39,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2011,SEP FY2011,18518,01-09-2020
40,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2011,OCT FY2011,38870,01-10-2020
41,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2011,NOV FY2011,26028,01-11-2020
42,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2011,DEC FY2011,26934,01-12-2020
43,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2012,JAN FY2012,38421,01-01-2021
44,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2012,FEB FY2012,30496,01-02-2021
45,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2012,MAR FY2012,31071,01-03-2021
46,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2012,APR FY2012,51329,01-04-2021
47,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2012,MAY FY2012,27737,01-05-2021
48,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2012,JUN FY2012,31637,01-06-2021
49,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2012,JUL FY2012,64027,01-07-2021
50,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2012,AUG FY2012,15949,01-08-2021
51,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2012,SEP FY2012,19297,01-09-2021
52,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2012,OCT FY2012,36218,01-10-2021
53,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2012,NOV FY2012,37311,01-11-2021
54,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2012,DEC FY2012,28918,01-12-2021
55,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2022,JAN FY2022,43210,01-01-2022
56,UOPBLRBU,C9300,C9300-NM-8X,,,40787,01-02-2022
57,UOPBLRBU,C9300,C9300-NM-8X,,,38363,01-03-2022
58,UOPBLRBU,C9300,C9300-NM-8X,,,35940,01-04-2022
59,UOPBLRBU,C9300,C9300-NM-8X,,,33516,01-05-2022
60,UOPBLRBU,C9300,C9300-NM-8X,,,31093,01-06-2022
61,UOPBLRBU,C9300,C9300-NM-8X,,,28669,01-07-2022
62,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2022,AUG FY2022,26245,01-08-2022
63,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2022,SEP FY2022,41264,01-09-2022
64,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2022,OCT FY2022,67954,01-10-2022
65,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2022,NOV FY2022,43399,01-11-2022
