,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2007,MAY FY2007,1,01-05-2019
1,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2007,JUN FY2007,11,01-06-2019
2,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2007,JUL FY2007,364,01-07-2019
3,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,376,01-08-2019
4,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,388,01-09-2019
5,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,400,01-10-2019
6,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,412,01-11-2019
7,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,424,01-12-2019
8,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2011,JAN FY2011,436,01-01-2020
9,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2011,FEB FY2011,218,01-02-2020
10,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2011,MAR FY2011,249,01-03-2020
11,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2011,APR FY2011,964,01-04-2020
12,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2011,MAY FY2011,1032,01-05-2020
13,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2011,JUN FY2011,694,01-06-2020
14,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2011,JUL FY2011,1612,01-07-2020
15,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2011,AUG FY2011,60,01-08-2020
16,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2011,SEP FY2011,86,01-09-2020
17,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2011,OCT FY2011,369,01-10-2020
18,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2011,NOV FY2011,177,01-11-2020
19,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2011,DEC FY2011,446,01-12-2020
20,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2012,JAN FY2012,602,01-01-2021
21,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2012,FEB FY2012,543,01-02-2021
22,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2012,MAR FY2012,1109,01-03-2021
23,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q3 FY2012,APR FY2012,1047,01-04-2021
24,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2012,MAY FY2012,527,01-05-2021
25,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2012,JUN FY2012,1260,01-06-2021
26,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q4 FY2012,JUL FY2012,866,01-07-2021
27,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2012,AUG FY2012,429,01-08-2021
28,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2012,SEP FY2012,659,01-09-2021
29,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2012,OCT FY2012,774,01-10-2021
30,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2012,NOV FY2012,942,01-11-2021
31,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2012,DEC FY2012,629,01-12-2021
32,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2022,JAN FY2022,3041,01-01-2022
33,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,2654,01-02-2022
34,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,2266,01-03-2022
35,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,1879,01-04-2022
36,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,1491,01-05-2022
37,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,1104,01-06-2022
38,UOPBLRBU,C9300L,C9300L-48P-4G-E,,,716,01-07-2022
39,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2022,AUG FY2022,328,01-08-2022
40,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2022,SEP FY2022,942,01-09-2022
41,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q1 FY2022,OCT FY2022,1127,01-10-2022
42,UOPBLRBU,C9300L,C9300L-48P-4G-E,Q2 FY2022,NOV FY2022,860,01-11-2022
