,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2007,JUN FY2007,126,01-06-2019
1,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2007,JUL FY2007,104,01-07-2019
2,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,183,01-08-2019
3,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,262,01-09-2019
4,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,340,01-10-2019
5,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,419,01-11-2019
6,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,498,01-12-2019
7,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2011,JAN FY2011,576,01-01-2020
8,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q3 FY2011,FEB FY2011,588,01-02-2020
9,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q3 FY2011,MAR FY2011,1026,01-03-2020
10,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q3 FY2011,APR FY2011,1500,01-04-2020
11,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2011,MAY FY2011,417,01-05-2020
12,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2011,JUN FY2011,420,01-06-2020
13,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2011,JUL FY2011,2363,01-07-2020
14,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2011,AUG FY2011,75,01-08-2020
15,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2011,SEP FY2011,385,01-09-2020
16,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2011,OCT FY2011,747,01-10-2020
17,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2011,NOV FY2011,395,01-11-2020
18,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2011,DEC FY2011,444,01-12-2020
19,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2012,JAN FY2012,1268,01-01-2021
20,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q3 FY2012,FEB FY2012,818,01-02-2021
21,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q3 FY2012,MAR FY2012,1052,01-03-2021
22,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q3 FY2012,APR FY2012,1537,01-04-2021
23,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2012,MAY FY2012,1261,01-05-2021
24,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2012,JUN FY2012,1489,01-06-2021
25,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q4 FY2012,JUL FY2012,2576,01-07-2021
26,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2012,AUG FY2012,66,01-08-2021
27,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2012,SEP FY2012,962,01-09-2021
28,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2012,OCT FY2012,1571,01-10-2021
29,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2012,NOV FY2012,1454,01-11-2021
30,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2012,DEC FY2012,830,01-12-2021
31,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2022,JAN FY2022,3871,01-01-2022
32,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,3529,01-02-2022
33,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,3186,01-03-2022
34,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,2843,01-04-2022
35,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,2500,01-05-2022
36,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,2157,01-06-2022
37,UOPBLRBU,C9300L,C9300L-48P-4X-A,,,1814,01-07-2022
38,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2022,AUG FY2022,1471,01-08-2022
39,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2022,SEP FY2022,1919,01-09-2022
40,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q1 FY2022,OCT FY2022,4073,01-10-2022
41,UOPBLRBU,C9300L,C9300L-48P-4X-A,Q2 FY2022,NOV FY2022,2527,01-11-2022
