,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2002,JUL FY2002,1612,01-07-2017
1,UOPBLRBU,C9400,C9400-LC-48U,,,2001,01-08-2017
2,UOPBLRBU,C9400,C9400-LC-48U,,,2390,01-09-2017
3,UOPBLRBU,C9400,C9400-LC-48U,,,2779,01-10-2017
4,UOPBLRBU,C9400,C9400-LC-48U,,,3168,01-11-2017
5,UOPBLRBU,C9400,C9400-LC-48U,,,3557,01-12-2017
6,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2008,JAN FY2008,3945,01-01-2018
7,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2008,FEB FY2008,2075,01-02-2018
8,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2008,MAR FY2008,4639,01-03-2018
9,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2008,APR FY2008,5473,01-04-2018
10,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2008,MAY FY2008,5835,01-05-2018
11,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2008,JUN FY2008,4638,01-06-2018
12,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2008,JUL FY2008,11037,01-07-2018
13,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2008,AUG FY2008,502,01-08-2018
14,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2008,SEP FY2008,235,01-09-2018
15,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2008,OCT FY2008,2301,01-10-2018
16,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2008,NOV FY2008,1381,01-11-2018
17,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2008,DEC FY2008,2453,01-12-2018
18,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2007,JAN FY2007,6486,01-01-2019
19,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2007,FEB FY2007,4116,01-02-2019
20,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2007,MAR FY2007,4245,01-03-2019
21,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2007,APR FY2007,6742,01-04-2019
22,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2007,MAY FY2007,3198,01-05-2019
23,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2007,JUN FY2007,5356,01-06-2019
24,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2007,JUL FY2007,12012,01-07-2019
25,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2007,AUG FY2007,4302,01-08-2019
26,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2007,SEP FY2007,2221,01-09-2019
27,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2007,OCT FY2007,6728,01-10-2019
28,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2007,NOV FY2007,3599,01-11-2019
29,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2007,DEC FY2007,4861,01-12-2019
30,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2011,JAN FY2011,6224,01-01-2020
31,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2011,FEB FY2011,4546,01-02-2020
32,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2011,MAR FY2011,9043,01-03-2020
33,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2011,APR FY2011,8022,01-04-2020
34,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2011,MAY FY2011,3225,01-05-2020
35,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2011,JUN FY2011,3476,01-06-2020
36,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2011,JUL FY2011,7213,01-07-2020
37,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2011,AUG FY2011,2870,01-08-2020
38,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2011,SEP FY2011,2860,01-09-2020
39,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2011,OCT FY2011,9070,01-10-2020
40,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2011,NOV FY2011,4696,01-11-2020
41,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2011,DEC FY2011,5992,01-12-2020
42,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2012,JAN FY2012,7789,01-01-2021
43,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2012,FEB FY2012,4818,01-02-2021
44,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2012,MAR FY2012,8290,01-03-2021
45,UOPBLRBU,C9400,C9400-LC-48U,Q3 FY2012,APR FY2012,6888,01-04-2021
46,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2012,MAY FY2012,6625,01-05-2021
47,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2012,JUN FY2012,7231,01-06-2021
48,UOPBLRBU,C9400,C9400-LC-48U,Q4 FY2012,JUL FY2012,7974,01-07-2021
49,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2012,AUG FY2012,4829,01-08-2021
50,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2012,SEP FY2012,3275,01-09-2021
51,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2012,OCT FY2012,6047,01-10-2021
52,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2012,NOV FY2012,3154,01-11-2021
53,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2012,DEC FY2012,3516,01-12-2021
54,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2022,JAN FY2022,6488,01-01-2022
55,UOPBLRBU,C9400,C9400-LC-48U,,,6195,01-02-2022
56,UOPBLRBU,C9400,C9400-LC-48U,,,5902,01-03-2022
57,UOPBLRBU,C9400,C9400-LC-48U,,,5609,01-04-2022
58,UOPBLRBU,C9400,C9400-LC-48U,,,5315,01-05-2022
59,UOPBLRBU,C9400,C9400-LC-48U,,,5022,01-06-2022
60,UOPBLRBU,C9400,C9400-LC-48U,,,4729,01-07-2022
61,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2022,AUG FY2022,4435,01-08-2022
62,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2022,SEP FY2022,4725,01-09-2022
63,UOPBLRBU,C9400,C9400-LC-48U,Q1 FY2022,OCT FY2022,8223,01-10-2022
64,UOPBLRBU,C9400,C9400-LC-48U,Q2 FY2022,NOV FY2022,8107,01-11-2022
