,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2008,JUL FY2008,122,01-07-2018
1,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,110,01-08-2018
2,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,98,01-09-2018
3,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,86,01-10-2018
4,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,74,01-11-2018
5,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,62,01-12-2018
6,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2007,JAN FY2007,49,01-01-2019
7,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2007,FEB FY2007,98,01-02-2019
8,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2007,MAR FY2007,143,01-03-2019
9,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2007,APR FY2007,355,01-04-2019
10,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2007,MAY FY2007,75,01-05-2019
11,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2007,JUN FY2007,240,01-06-2019
12,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2007,JUL FY2007,1309,01-07-2019
13,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2007,AUG FY2007,30,01-08-2019
14,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2007,SEP FY2007,0,01-09-2019
15,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2007,OCT FY2007,16,01-10-2019
16,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2007,NOV FY2007,176,01-11-2019
17,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2007,DEC FY2007,87,01-12-2019
18,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2011,JAN FY2011,343,01-01-2020
19,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2011,FEB FY2011,235,01-02-2020
20,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2011,MAR FY2011,491,01-03-2020
21,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2011,APR FY2011,712,01-04-2020
22,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2011,MAY FY2011,305,01-05-2020
23,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2011,JUN FY2011,495,01-06-2020
24,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2011,JUL FY2011,913,01-07-2020
25,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2011,AUG FY2011,159,01-08-2020
26,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2011,SEP FY2011,210,01-09-2020
27,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2011,OCT FY2011,882,01-10-2020
28,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2011,NOV FY2011,280,01-11-2020
29,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2011,DEC FY2011,318,01-12-2020
30,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2012,JAN FY2012,1179,01-01-2021
31,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2012,FEB FY2012,503,01-02-2021
32,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2012,MAR FY2012,648,01-03-2021
33,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q3 FY2012,APR FY2012,627,01-04-2021
34,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2012,MAY FY2012,823,01-05-2021
35,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2012,JUN FY2012,687,01-06-2021
36,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q4 FY2012,JUL FY2012,1182,01-07-2021
37,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2012,AUG FY2012,147,01-08-2021
38,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2012,SEP FY2012,366,01-09-2021
39,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2012,OCT FY2012,498,01-10-2021
40,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2012,NOV FY2012,545,01-11-2021
41,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2012,DEC FY2012,498,01-12-2021
42,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2022,JAN FY2022,867,01-01-2022
43,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,791,01-02-2022
44,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,715,01-03-2022
45,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,639,01-04-2022
46,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,563,01-05-2022
47,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,487,01-06-2022
48,UOPBLRBU,C9400,C9400-SUP-1XL-Y,,,411,01-07-2022
49,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2022,AUG FY2022,334,01-08-2022
50,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2022,SEP FY2022,562,01-09-2022
51,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2022,OCT FY2022,1448,01-10-2022
52,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2022,NOV FY2022,1307,01-11-2022
