,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,JAN FY2008,232,01-01-2018
1,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2008,FEB FY2008,36,01-02-2018
2,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2008,MAR FY2008,162,01-03-2018
3,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2008,APR FY2008,390,01-04-2018
4,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2008,MAY FY2008,255,01-05-2018
5,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2008,JUN FY2008,327,01-06-2018
6,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2008,JUL FY2008,1059,01-07-2018
7,UOPBLRBU,C9400,C9400-SUP-1XL,,,804,01-08-2018
8,UOPBLRBU,C9400,C9400-SUP-1XL,,,548,01-09-2018
9,UOPBLRBU,C9400,C9400-SUP-1XL,,,292,01-10-2018
10,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,NOV FY2008,36,01-11-2018
11,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,DEC FY2008,10,01-12-2018
12,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,JAN FY2007,995,01-01-2019
13,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2007,FEB FY2007,811,01-02-2019
14,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2007,MAR FY2007,1015,01-03-2019
15,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2007,APR FY2007,2052,01-04-2019
16,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2007,MAY FY2007,903,01-05-2019
17,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2007,JUN FY2007,1234,01-06-2019
18,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2007,JUL FY2007,2798,01-07-2019
19,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,AUG FY2007,229,01-08-2019
20,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,SEP FY2007,390,01-09-2019
21,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,OCT FY2007,949,01-10-2019
22,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,NOV FY2007,943,01-11-2019
23,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,DEC FY2007,1849,01-12-2019
24,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,JAN FY2011,1731,01-01-2020
25,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2011,FEB FY2011,1046,01-02-2020
26,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2011,MAR FY2011,1474,01-03-2020
27,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2011,APR FY2011,1715,01-04-2020
28,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2011,MAY FY2011,1350,01-05-2020
29,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2011,JUN FY2011,1053,01-06-2020
30,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2011,JUL FY2011,2676,01-07-2020
31,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,AUG FY2011,703,01-08-2020
32,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,SEP FY2011,1169,01-09-2020
33,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,OCT FY2011,2588,01-10-2020
34,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,NOV FY2011,1182,01-11-2020
35,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,DEC FY2011,1725,01-12-2020
36,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,JAN FY2012,1433,01-01-2021
37,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2012,FEB FY2012,1621,01-02-2021
38,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2012,MAR FY2012,2118,01-03-2021
39,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2012,APR FY2012,2413,01-04-2021
40,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2012,MAY FY2012,1459,01-05-2021
41,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2012,JUN FY2012,2350,01-06-2021
42,UOPBLRBU,C9400,C9400-SUP-1XL,Q4 FY2012,JUL FY2012,3925,01-07-2021
43,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,AUG FY2012,747,01-08-2021
44,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,SEP FY2012,1014,01-09-2021
45,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,OCT FY2012,2177,01-10-2021
46,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,NOV FY2012,1068,01-11-2021
47,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,DEC FY2012,1154,01-12-2021
48,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,JAN FY2022,2590,01-01-2022
49,UOPBLRBU,C9400,C9400-SUP-1XL,,,2401,01-02-2022
50,UOPBLRBU,C9400,C9400-SUP-1XL,,,2211,01-03-2022
51,UOPBLRBU,C9400,C9400-SUP-1XL,,,2022,01-04-2022
52,UOPBLRBU,C9400,C9400-SUP-1XL,,,1832,01-05-2022
53,UOPBLRBU,C9400,C9400-SUP-1XL,,,1643,01-06-2022
54,UOPBLRBU,C9400,C9400-SUP-1XL,,,1453,01-07-2022
55,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,AUG FY2022,1263,01-08-2022
56,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,SEP FY2022,1337,01-09-2022
57,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,OCT FY2022,2785,01-10-2022
58,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,NOV FY2022,2984,01-11-2022
