,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,EBBU,C9500,C9500-24Y4C,Q3 FY2008,APR FY2008,18,01-04-2018
1,EBBU,C9500,C9500-24Y4C,Q4 FY2008,MAY FY2008,15,01-05-2018
2,EBBU,C9500,C9500-24Y4C,Q4 FY2008,JUN FY2008,27,01-06-2018
3,EBBU,C9500,C9500-24Y4C,Q4 FY2008,JUL FY2008,275,01-07-2018
4,EBBU,C9500,C9500-24Y4C,,,298,01-08-2018
5,EBBU,C9500,C9500-24Y4C,,,321,01-09-2018
6,EBBU,C9500,C9500-24Y4C,,,343,01-10-2018
7,EBBU,C9500,C9500-24Y4C,,,366,01-11-2018
8,EBBU,C9500,C9500-24Y4C,,,389,01-12-2018
9,EBBU,C9500,C9500-24Y4C,Q2 FY2007,JAN FY2007,411,01-01-2019
10,EBBU,C9500,C9500-24Y4C,Q3 FY2007,FEB FY2007,195,01-02-2019
11,EBBU,C9500,C9500-24Y4C,Q3 FY2007,MAR FY2007,295,01-03-2019
12,EBBU,C9500,C9500-24Y4C,Q3 FY2007,APR FY2007,707,01-04-2019
13,EBBU,C9500,C9500-24Y4C,Q4 FY2007,MAY FY2007,407,01-05-2019
14,EBBU,C9500,C9500-24Y4C,Q4 FY2007,JUN FY2007,729,01-06-2019
15,EBBU,C9500,C9500-24Y4C,Q4 FY2007,JUL FY2007,1423,01-07-2019
16,EBBU,C9500,C9500-24Y4C,Q1 FY2007,AUG FY2007,82,01-08-2019
17,EBBU,C9500,C9500-24Y4C,Q1 FY2007,SEP FY2007,130,01-09-2019
18,EBBU,C9500,C9500-24Y4C,Q1 FY2007,OCT FY2007,348,01-10-2019
19,EBBU,C9500,C9500-24Y4C,Q2 FY2007,NOV FY2007,261,01-11-2019
20,EBBU,C9500,C9500-24Y4C,Q2 FY2007,DEC FY2007,313,01-12-2019
21,EBBU,C9500,C9500-24Y4C,Q2 FY2011,JAN FY2011,1429,01-01-2020
22,EBBU,C9500,C9500-24Y4C,Q3 FY2011,FEB FY2011,782,01-02-2020
23,EBBU,C9500,C9500-24Y4C,Q3 FY2011,MAR FY2011,965,01-03-2020
24,EBBU,C9500,C9500-24Y4C,Q3 FY2011,APR FY2011,1628,01-04-2020
25,EBBU,C9500,C9500-24Y4C,Q4 FY2011,MAY FY2011,856,01-05-2020
26,EBBU,C9500,C9500-24Y4C,Q4 FY2011,JUN FY2011,899,01-06-2020
27,EBBU,C9500,C9500-24Y4C,Q4 FY2011,JUL FY2011,2816,01-07-2020
28,EBBU,C9500,C9500-24Y4C,Q1 FY2011,AUG FY2011,469,01-08-2020
29,EBBU,C9500,C9500-24Y4C,Q1 FY2011,SEP FY2011,682,01-09-2020
30,EBBU,C9500,C9500-24Y4C,Q1 FY2011,OCT FY2011,1483,01-10-2020
31,EBBU,C9500,C9500-24Y4C,Q2 FY2011,NOV FY2011,853,01-11-2020
32,EBBU,C9500,C9500-24Y4C,Q2 FY2011,DEC FY2011,955,01-12-2020
33,EBBU,C9500,C9500-24Y4C,Q2 FY2012,JAN FY2012,1682,01-01-2021
34,EBBU,C9500,C9500-24Y4C,Q3 FY2012,FEB FY2012,1451,01-02-2021
35,EBBU,C9500,C9500-24Y4C,Q3 FY2012,MAR FY2012,1973,01-03-2021
36,EBBU,C9500,C9500-24Y4C,Q3 FY2012,APR FY2012,2048,01-04-2021
37,EBBU,C9500,C9500-24Y4C,Q4 FY2012,MAY FY2012,1486,01-05-2021
38,EBBU,C9500,C9500-24Y4C,Q4 FY2012,JUN FY2012,2301,01-06-2021
39,EBBU,C9500,C9500-24Y4C,Q4 FY2012,JUL FY2012,3604,01-07-2021
40,EBBU,C9500,C9500-24Y4C,Q1 FY2012,AUG FY2012,920,01-08-2021
41,EBBU,C9500,C9500-24Y4C,Q1 FY2012,SEP FY2012,1035,01-09-2021
42,EBBU,C9500,C9500-24Y4C,Q1 FY2012,OCT FY2012,2145,01-10-2021
43,EBBU,C9500,C9500-24Y4C,Q2 FY2012,NOV FY2012,1410,01-11-2021
44,EBBU,C9500,C9500-24Y4C,Q2 FY2012,DEC FY2012,1738,01-12-2021
45,EBBU,C9500,C9500-24Y4C,Q2 FY2022,JAN FY2022,2607,01-01-2022
46,EBBU,C9500,C9500-24Y4C,,,2493,01-02-2022
47,EBBU,C9500,C9500-24Y4C,,,2379,01-03-2022
48,EBBU,C9500,C9500-24Y4C,,,2265,01-04-2022
49,EBBU,C9500,C9500-24Y4C,,,2150,01-05-2022
50,EBBU,C9500,C9500-24Y4C,,,2036,01-06-2022
51,EBBU,C9500,C9500-24Y4C,,,1922,01-07-2022
52,EBBU,C9500,C9500-24Y4C,Q1 FY2022,AUG FY2022,1807,01-08-2022
53,EBBU,C9500,C9500-24Y4C,Q1 FY2022,SEP FY2022,3154,01-09-2022
54,EBBU,C9500,C9500-24Y4C,Q1 FY2022,OCT FY2022,2933,01-10-2022
55,EBBU,C9500,C9500-24Y4C,Q2 FY2022,NOV FY2022,2386,01-11-2022
