,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,EBBU,C9600,C9606R,Q3 FY2007,APR FY2007,19,01-04-2019
1,EBBU,C9600,C9606R,Q4 FY2007,MAY FY2007,36,01-05-2019
2,EBBU,C9600,C9606R,Q4 FY2007,JUN FY2007,81,01-06-2019
3,EBBU,C9600,C9606R,Q4 FY2007,JUL FY2007,339,01-07-2019
4,EBBU,C9600,C9606R,,,336,01-08-2019
5,EBBU,C9600,C9606R,,,333,01-09-2019
6,EBBU,C9600,C9606R,,,330,01-10-2019
7,EBBU,C9600,C9606R,,,327,01-11-2019
8,EBBU,C9600,C9606R,,,324,01-12-2019
9,EBBU,C9600,C9606R,Q2 FY2011,JAN FY2011,321,01-01-2020
10,EBBU,C9600,C9606R,Q3 FY2011,FEB FY2011,200,01-02-2020
11,EBBU,C9600,C9606R,Q3 FY2011,MAR FY2011,302,01-03-2020
12,EBBU,C9600,C9606R,Q3 FY2011,APR FY2011,520,01-04-2020
13,EBBU,C9600,C9606R,Q4 FY2011,MAY FY2011,163,01-05-2020
14,EBBU,C9600,C9606R,Q4 FY2011,JUN FY2011,246,01-06-2020
15,EBBU,C9600,C9606R,Q4 FY2011,JUL FY2011,882,01-07-2020
16,EBBU,C9600,C9606R,Q1 FY2011,AUG FY2011,86,01-08-2020
17,EBBU,C9600,C9606R,Q1 FY2011,SEP FY2011,106,01-09-2020
18,EBBU,C9600,C9606R,Q1 FY2011,OCT FY2011,403,01-10-2020
19,EBBU,C9600,C9606R,Q2 FY2011,NOV FY2011,155,01-11-2020
20,EBBU,C9600,C9606R,Q2 FY2011,DEC FY2011,279,01-12-2020
21,EBBU,C9600,C9606R,Q2 FY2012,JAN FY2012,597,01-01-2021
22,EBBU,C9600,C9606R,Q3 FY2012,FEB FY2012,339,01-02-2021
23,EBBU,C9600,C9606R,Q3 FY2012,MAR FY2012,396,01-03-2021
24,EBBU,C9600,C9606R,Q3 FY2012,APR FY2012,570,01-04-2021
25,EBBU,C9600,C9606R,Q4 FY2012,MAY FY2012,351,01-05-2021
26,EBBU,C9600,C9606R,Q4 FY2012,JUN FY2012,458,01-06-2021
27,EBBU,C9600,C9606R,Q4 FY2012,JUL FY2012,935,01-07-2021
28,EBBU,C9600,C9606R,Q1 FY2012,AUG FY2012,231,01-08-2021
29,EBBU,C9600,C9606R,Q1 FY2012,SEP FY2012,414,01-09-2021
30,EBBU,C9600,C9606R,Q1 FY2012,OCT FY2012,634,01-10-2021
31,EBBU,C9600,C9606R,Q2 FY2012,NOV FY2012,549,01-11-2021
32,EBBU,C9600,C9606R,Q2 FY2012,DEC FY2012,320,01-12-2021
33,EBBU,C9600,C9606R,Q2 FY2022,JAN FY2022,623,01-01-2022
34,EBBU,C9600,C9606R,,,583,01-02-2022
35,EBBU,C9600,C9606R,,,542,01-03-2022
36,EBBU,C9600,C9606R,,,502,01-04-2022
37,EBBU,C9600,C9606R,,,461,01-05-2022
38,EBBU,C9600,C9606R,,,421,01-06-2022
39,EBBU,C9600,C9606R,,,380,01-07-2022
40,EBBU,C9600,C9606R,Q1 FY2022,AUG FY2022,339,01-08-2022
41,EBBU,C9600,C9606R,Q1 FY2022,SEP FY2022,540,01-09-2022
42,EBBU,C9600,C9606R,Q1 FY2022,OCT FY2022,708,01-10-2022
43,EBBU,C9600,C9606R,Q2 FY2022,NOV FY2022,495,01-11-2022
