,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,RTOBU,C980040,C9800-40-K9,Q2 FY2007,JAN FY2007,40,01-01-2019
1,RTOBU,C980040,C9800-40-K9,Q3 FY2007,FEB FY2007,34,01-02-2019
2,RTOBU,C980040,C9800-40-K9,Q3 FY2007,MAR FY2007,439,01-03-2019
3,RTOBU,C980040,C9800-40-K9,Q3 FY2007,APR FY2007,132,01-04-2019
4,RTOBU,C980040,C9800-40-K9,Q4 FY2007,MAY FY2007,299,01-05-2019
5,RTOBU,C980040,C9800-40-K9,Q4 FY2007,JUN FY2007,185,01-06-2019
6,RTOBU,C980040,C9800-40-K9,Q4 FY2007,JUL FY2007,605,01-07-2019
7,RTOBU,C980040,C9800-40-K9,,,454,01-08-2019
8,RTOBU,C980040,C9800-40-K9,,,303,01-09-2019
9,RTOBU,C980040,C9800-40-K9,,,152,01-10-2019
10,RTOBU,C980040,C9800-40-K9,Q2 FY2007,NOV FY2007,1,01-11-2019
11,RTOBU,C980040,C9800-40-K9,Q2 FY2007,DEC FY2007,33,01-12-2019
12,RTOBU,C980040,C9800-40-K9,Q2 FY2011,JAN FY2011,357,01-01-2020
13,RTOBU,C980040,C9800-40-K9,Q3 FY2011,FEB FY2011,277,01-02-2020
14,RTOBU,C980040,C9800-40-K9,Q3 FY2011,MAR FY2011,324,01-03-2020
15,RTOBU,C980040,C9800-40-K9,Q3 FY2011,APR FY2011,511,01-04-2020
16,RTOBU,C980040,C9800-40-K9,Q4 FY2011,MAY FY2011,289,01-05-2020
17,RTOBU,C980040,C9800-40-K9,Q4 FY2011,JUN FY2011,229,01-06-2020
18,RTOBU,C980040,C9800-40-K9,Q4 FY2011,JUL FY2011,690,01-07-2020
19,RTOBU,C980040,C9800-40-K9,Q1 FY2011,AUG FY2011,192,01-08-2020
20,RTOBU,C980040,C9800-40-K9,Q1 FY2011,SEP FY2011,146,01-09-2020
21,RTOBU,C980040,C9800-40-K9,Q1 FY2011,OCT FY2011,316,01-10-2020
22,RTOBU,C980040,C9800-40-K9,Q2 FY2011,NOV FY2011,259,01-11-2020
23,RTOBU,C980040,C9800-40-K9,Q2 FY2011,DEC FY2011,380,01-12-2020
24,RTOBU,C980040,C9800-40-K9,Q2 FY2012,JAN FY2012,667,01-01-2021
25,RTOBU,C980040,C9800-40-K9,Q3 FY2012,FEB FY2012,437,01-02-2021
26,RTOBU,C980040,C9800-40-K9,Q3 FY2012,MAR FY2012,553,01-03-2021
27,RTOBU,C980040,C9800-40-K9,Q3 FY2012,APR FY2012,843,01-04-2021
28,RTOBU,C980040,C9800-40-K9,Q4 FY2012,MAY FY2012,601,01-05-2021
29,RTOBU,C980040,C9800-40-K9,Q4 FY2012,JUN FY2012,591,01-06-2021
30,RTOBU,C980040,C9800-40-K9,Q4 FY2012,JUL FY2012,1231,01-07-2021
31,RTOBU,C980040,C9800-40-K9,Q1 FY2012,AUG FY2012,214,01-08-2021
32,RTOBU,C980040,C9800-40-K9,Q1 FY2012,SEP FY2012,259,01-09-2021
33,RTOBU,C980040,C9800-40-K9,Q1 FY2012,OCT FY2012,490,01-10-2021
34,RTOBU,C980040,C9800-40-K9,Q2 FY2012,NOV FY2012,558,01-11-2021
35,RTOBU,C980040,C9800-40-K9,Q2 FY2012,DEC FY2012,473,01-12-2021
36,RTOBU,C980040,C9800-40-K9,Q2 FY2022,JAN FY2022,1038,01-01-2022
37,RTOBU,C980040,C9800-40-K9,,,974,01-02-2022
38,RTOBU,C980040,C9800-40-K9,,,910,01-03-2022
39,RTOBU,C980040,C9800-40-K9,,,846,01-04-2022
40,RTOBU,C980040,C9800-40-K9,,,781,01-05-2022
41,RTOBU,C980040,C9800-40-K9,,,717,01-06-2022
42,RTOBU,C980040,C9800-40-K9,,,653,01-07-2022
43,RTOBU,C980040,C9800-40-K9,Q1 FY2022,AUG FY2022,588,01-08-2022
44,RTOBU,C980040,C9800-40-K9,Q1 FY2022,SEP FY2022,552,01-09-2022
45,RTOBU,C980040,C9800-40-K9,Q1 FY2022,OCT FY2022,1462,01-10-2022
46,RTOBU,C980040,C9800-40-K9,Q2 FY2022,NOV FY2022,767,01-11-2022
