,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2015,JUL FY2015,2092,01-07-2015
1,CSWBU,CBR8,CBR-D121-DS-MOD,,,2173,01-08-2015
2,CSWBU,CBR8,CBR-D121-DS-MOD,,,2254,01-09-2015
3,CSWBU,CBR8,CBR-D121-DS-MOD,,,2334,01-10-2015
4,CSWBU,CBR8,CBR-D121-DS-MOD,,,2415,01-11-2015
5,CSWBU,CBR8,CBR-D121-DS-MOD,,,2496,01-12-2015
6,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,JAN FY2022,2576,01-01-2016
7,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,FEB FY2022,3562,01-02-2016
8,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,MAR FY2022,1158,01-03-2016
9,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2022,APR FY2022,4304,01-04-2016
10,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,MAY FY2022,950,01-05-2016
11,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,JUN FY2022,1234,01-06-2016
12,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2022,JUL FY2022,3648,01-07-2016
13,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,AUG FY2022,204,01-08-2016
14,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,SEP FY2022,1476,01-09-2016
15,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,OCT FY2022,564,01-10-2016
16,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,NOV FY2022,154,01-11-2016
17,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,DEC FY2022,3680,01-12-2016
18,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,JAN FY2002,4740,01-01-2017
19,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,FEB FY2002,483,01-02-2017
20,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,MAR FY2002,1721,01-03-2017
21,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2002,APR FY2002,3908,01-04-2017
22,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,MAY FY2002,845,01-05-2017
23,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,JUN FY2002,2467,01-06-2017
24,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2002,JUL FY2002,1590,01-07-2017
25,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,AUG FY2002,374,01-08-2017
26,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,SEP FY2002,354,01-09-2017
27,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,OCT FY2002,6094,01-10-2017
28,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,NOV FY2002,335,01-11-2017
29,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,DEC FY2002,1821,01-12-2017
30,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,JAN FY2008,746,01-01-2018
31,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,FEB FY2008,1972,01-02-2018
32,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,MAR FY2008,2108,01-03-2018
33,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2008,APR FY2008,3894,01-04-2018
34,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,MAY FY2008,2014,01-05-2018
35,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,JUN FY2008,783,01-06-2018
36,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2008,JUL FY2008,29,01-07-2018
37,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,AUG FY2008,906,01-08-2018
38,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,SEP FY2008,2146,01-09-2018
39,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,OCT FY2008,664,01-10-2018
40,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,NOV FY2008,1635,01-11-2018
41,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,DEC FY2008,368,01-12-2018
42,CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,JAN FY2007,1913,01-01-2019
43,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,FEB FY2007,743,01-02-2019
44,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,MAR FY2007,525,01-03-2019
45,CSWBU,CBR8,CBR-D121-DS-MOD,Q3 FY2007,APR FY2007,950,01-04-2019
46,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,MAY FY2007,158,01-05-2019
47,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,JUN FY2007,453,01-06-2019
48,CSWBU,CBR8,CBR-D121-DS-MOD,Q4 FY2007,JUL FY2007,983,01-07-2019
49,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,AUG FY2007,606,01-08-2019
50,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,SEP FY2007,682,01-09-2019
51,CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,OCT FY2007,1039,01-10-2019
