,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2022,FEB FY2022,473,01-02-2016
1,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2022,MAR FY2022,181,01-03-2016
2,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2022,APR FY2022,2026,01-04-2016
3,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2022,MAY FY2022,431,01-05-2016
4,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2022,JUN FY2022,432,01-06-2016
5,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2022,JUL FY2022,1805,01-07-2016
6,CSWBU,CBR8,CBR-D31-US-MOD,,,1972,01-08-2016
7,CSWBU,CBR8,CBR-D31-US-MOD,,,2138,01-09-2016
8,CSWBU,CBR8,CBR-D31-US-MOD,,,2305,01-10-2016
9,CSWBU,CBR8,CBR-D31-US-MOD,,,2471,01-11-2016
10,CSWBU,CBR8,CBR-D31-US-MOD,,,2638,01-12-2016
11,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2002,JAN FY2002,2804,01-01-2017
12,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2002,FEB FY2002,241,01-02-2017
13,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2002,MAR FY2002,854,01-03-2017
14,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2002,APR FY2002,2089,01-04-2017
15,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2002,MAY FY2002,419,01-05-2017
16,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2002,JUN FY2002,1263,01-06-2017
17,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2002,JUL FY2002,804,01-07-2017
18,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2002,AUG FY2002,239,01-08-2017
19,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2002,SEP FY2002,263,01-09-2017
20,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2002,OCT FY2002,2951,01-10-2017
21,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2002,NOV FY2002,159,01-11-2017
22,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2002,DEC FY2002,920,01-12-2017
23,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2008,JAN FY2008,367,01-01-2018
24,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2008,FEB FY2008,994,01-02-2018
25,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2008,MAR FY2008,1053,01-03-2018
26,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2008,APR FY2008,1960,01-04-2018
27,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2008,MAY FY2008,976,01-05-2018
28,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2008,JUN FY2008,401,01-06-2018
29,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2008,JUL FY2008,45,01-07-2018
30,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2008,AUG FY2008,453,01-08-2018
31,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2008,SEP FY2008,1071,01-09-2018
32,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2008,OCT FY2008,380,01-10-2018
33,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2008,NOV FY2008,821,01-11-2018
34,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2008,DEC FY2008,181,01-12-2018
35,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2007,JAN FY2007,962,01-01-2019
36,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2007,FEB FY2007,392,01-02-2019
37,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2007,MAR FY2007,263,01-03-2019
38,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2007,APR FY2007,489,01-04-2019
39,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2007,MAY FY2007,79,01-05-2019
40,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2007,JUN FY2007,230,01-06-2019
41,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2007,JUL FY2007,497,01-07-2019
42,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2007,AUG FY2007,301,01-08-2019
43,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2007,SEP FY2007,341,01-09-2019
44,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2007,OCT FY2007,512,01-10-2019
45,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2007,NOV FY2007,26,01-11-2019
46,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2007,DEC FY2007,826,01-12-2019
47,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2011,JAN FY2011,316,01-01-2020
48,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2011,FEB FY2011,50,01-02-2020
49,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2011,MAR FY2011,74,01-03-2020
50,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2011,APR FY2011,468,01-04-2020
51,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2011,MAY FY2011,114,01-05-2020
52,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2011,JUN FY2011,188,01-06-2020
53,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2011,JUL FY2011,459,01-07-2020
54,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2011,AUG FY2011,144,01-08-2020
55,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2011,SEP FY2011,110,01-09-2020
56,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2011,OCT FY2011,296,01-10-2020
57,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2011,NOV FY2011,172,01-11-2020
58,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2011,DEC FY2011,102,01-12-2020
59,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2012,JAN FY2012,37,01-01-2021
60,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2012,FEB FY2012,55,01-02-2021
61,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2012,MAR FY2012,461,01-03-2021
62,CSWBU,CBR8,CBR-D31-US-MOD,Q3 FY2012,APR FY2012,224,01-04-2021
63,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,MAY FY2012,147,01-05-2021
64,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,JUN FY2012,129,01-06-2021
65,CSWBU,CBR8,CBR-D31-US-MOD,Q4 FY2012,JUL FY2012,143,01-07-2021
66,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2012,AUG FY2012,32,01-08-2021
67,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2012,SEP FY2012,370,01-09-2021
68,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2012,OCT FY2012,186,01-10-2021
69,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2012,NOV FY2012,315,01-11-2021
70,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2012,DEC FY2012,224,01-12-2021
71,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2022,JAN FY2022,70,01-01-2022
72,CSWBU,CBR8,CBR-D31-US-MOD,,,106,01-02-2022
73,CSWBU,CBR8,CBR-D31-US-MOD,,,141,01-03-2022
74,CSWBU,CBR8,CBR-D31-US-MOD,,,176,01-04-2022
75,CSWBU,CBR8,CBR-D31-US-MOD,,,211,01-05-2022
76,CSWBU,CBR8,CBR-D31-US-MOD,,,246,01-06-2022
77,CSWBU,CBR8,CBR-D31-US-MOD,,,281,01-07-2022
78,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2022,AUG FY2022,316,01-08-2022
79,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2022,SEP FY2022,105,01-09-2022
80,CSWBU,CBR8,CBR-D31-US-MOD,Q1 FY2022,OCT FY2022,265,01-10-2022
81,CSWBU,CBR8,CBR-D31-US-MOD,Q2 FY2022,NOV FY2022,87,01-11-2022
