,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UCEBU,PHONVID,CP-8845-K9,Q4 FY2015,JUL FY2015,19030,01-07-2015
1,UCEBU,PHONVID,CP-8845-K9,,,18477,01-08-2015
2,UCEBU,PHONVID,CP-8845-K9,,,17924,01-09-2015
3,UCEBU,PHONVID,CP-8845-K9,,,17370,01-10-2015
4,UCEBU,PHONVID,CP-8845-K9,,,16817,01-11-2015
5,UCEBU,PHONVID,CP-8845-K9,,,16264,01-12-2015
6,UCEBU,PHONVID,CP-8845-K9,Q2 FY2022,JAN FY2022,15710,01-01-2016
7,UCEBU,PHONVID,CP-8845-K9,Q3 FY2022,FEB FY2022,11631,01-02-2016
8,UCEBU,PHONVID,CP-8845-K9,Q3 FY2022,MAR FY2022,30956,01-03-2016
9,UCEBU,PHONVID,CP-8845-K9,Q3 FY2022,APR FY2022,21943,01-04-2016
10,UCEBU,PHONVID,CP-8845-K9,Q4 FY2022,MAY FY2022,16343,01-05-2016
11,UCEBU,PHONVID,CP-8845-K9,Q4 FY2022,JUN FY2022,31881,01-06-2016
12,UCEBU,PHONVID,CP-8845-K9,Q4 FY2022,JUL FY2022,33000,01-07-2016
13,UCEBU,PHONVID,CP-8845-K9,Q1 FY2022,AUG FY2022,3356,01-08-2016
14,UCEBU,PHONVID,CP-8845-K9,Q1 FY2022,SEP FY2022,5747,01-09-2016
15,UCEBU,PHONVID,CP-8845-K9,Q1 FY2022,OCT FY2022,8954,01-10-2016
16,UCEBU,PHONVID,CP-8845-K9,Q2 FY2022,NOV FY2022,18959,01-11-2016
17,UCEBU,PHONVID,CP-8845-K9,Q2 FY2022,DEC FY2022,18256,01-12-2016
18,UCEBU,PHONVID,CP-8845-K9,Q2 FY2002,JAN FY2002,19114,01-01-2017
19,UCEBU,PHONVID,CP-8845-K9,Q3 FY2002,FEB FY2002,10148,01-02-2017
20,UCEBU,PHONVID,CP-8845-K9,Q3 FY2002,MAR FY2002,19000,01-03-2017
