,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2008,APR FY2008,55,01-04-2018
1,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,MAY FY2008,2,01-05-2018
2,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,JUN FY2008,28,01-06-2018
3,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,JUL FY2008,68,01-07-2018
4,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,70,01-08-2018
5,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,71,01-09-2018
6,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,72,01-10-2018
7,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,74,01-11-2018
8,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,75,01-12-2018
9,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,JAN FY2007,76,01-01-2019
10,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,FEB FY2007,300,01-02-2019
11,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,MAR FY2007,33,01-03-2019
12,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,APR FY2007,580,01-04-2019
13,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2007,MAY FY2007,138,01-05-2019
14,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2007,JUN FY2007,362,01-06-2019
15,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2007,JUL FY2007,175,01-07-2019
16,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,AUG FY2007,43,01-08-2019
17,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,SEP FY2007,55,01-09-2019
18,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,OCT FY2007,54,01-10-2019
19,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,NOV FY2007,65,01-11-2019
20,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,DEC FY2007,171,01-12-2019
21,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,JAN FY2011,10,01-01-2020
22,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,FEB FY2011,370,01-02-2020
23,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,MAR FY2011,222,01-03-2020
24,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,APR FY2011,515,01-04-2020
25,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2011,MAY FY2011,302,01-05-2020
26,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2011,JUN FY2011,100,01-06-2020
27,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2011,JUL FY2011,327,01-07-2020
28,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,AUG FY2011,26,01-08-2020
29,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,SEP FY2011,42,01-09-2020
30,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,OCT FY2011,138,01-10-2020
31,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,NOV FY2011,882,01-11-2020
32,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,DEC FY2011,719,01-12-2020
33,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,JAN FY2012,644,01-01-2021
34,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,FEB FY2012,385,01-02-2021
35,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,MAR FY2012,784,01-03-2021
36,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,APR FY2012,1252,01-04-2021
37,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2012,MAY FY2012,1646,01-05-2021
38,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2012,JUN FY2012,6069,01-06-2021
39,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2012,JUL FY2012,768,01-07-2021
40,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,AUG FY2012,178,01-08-2021
41,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,SEP FY2012,72,01-09-2021
42,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,OCT FY2012,2207,01-10-2021
43,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,NOV FY2012,336,01-11-2021
44,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,DEC FY2012,198,01-12-2021
45,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,JAN FY2022,30354,01-01-2022
46,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,26123,01-02-2022
47,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,21892,01-03-2022
48,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,17660,01-04-2022
49,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,13429,01-05-2022
50,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,9197,01-06-2022
51,UCEBU,PHON3PC,CP-8865-3PCC-K9,,,4966,01-07-2022
52,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,AUG FY2022,734,01-08-2022
53,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,SEP FY2022,1476,01-09-2022
54,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,OCT FY2022,1383,01-10-2022
55,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,NOV FY2022,36,01-11-2022
