,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2002,APR FY2002,0,01-04-2017
1,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2002,MAY FY2002,184,01-05-2017
2,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2002,JUN FY2002,387,01-06-2017
3,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2002,JUL FY2002,836,01-07-2017
4,CVEBU,CTSQS,CS-CODEC-PLUS+,,,906,01-08-2017
5,CVEBU,CTSQS,CS-CODEC-PLUS+,,,976,01-09-2017
6,CVEBU,CTSQS,CS-CODEC-PLUS+,,,1046,01-10-2017
7,CVEBU,CTSQS,CS-CODEC-PLUS+,,,1116,01-11-2017
8,CVEBU,CTSQS,CS-CODEC-PLUS+,,,1186,01-12-2017
9,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2008,JAN FY2008,1256,01-01-2018
10,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2008,FEB FY2008,1165,01-02-2018
11,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2008,MAR FY2008,1255,01-03-2018
12,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2008,APR FY2008,2130,01-04-2018
13,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2008,MAY FY2008,1753,01-05-2018
14,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2008,JUN FY2008,1829,01-06-2018
15,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2008,JUL FY2008,3166,01-07-2018
16,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,AUG FY2008,357,01-08-2018
17,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,SEP FY2008,380,01-09-2018
18,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,OCT FY2008,1088,01-10-2018
19,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2008,NOV FY2008,636,01-11-2018
20,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2008,DEC FY2008,1095,01-12-2018
21,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2007,JAN FY2007,2984,01-01-2019
22,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2007,FEB FY2007,2334,01-02-2019
23,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2007,MAR FY2007,2169,01-03-2019
24,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2007,APR FY2007,3270,01-04-2019
25,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,MAY FY2007,2573,01-05-2019
26,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,JUN FY2007,3042,01-06-2019
27,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,JUL FY2007,4657,01-07-2019
28,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,AUG FY2007,1906,01-08-2019
29,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,SEP FY2007,2020,01-09-2019
30,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,OCT FY2007,3445,01-10-2019
31,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2007,NOV FY2007,2355,01-11-2019
32,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2007,DEC FY2007,2941,01-12-2019
33,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2011,JAN FY2011,2548,01-01-2020
34,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2011,FEB FY2011,2868,01-02-2020
35,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2011,MAR FY2011,3560,01-03-2020
36,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2011,APR FY2011,3910,01-04-2020
37,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2011,MAY FY2011,1803,01-05-2020
38,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2011,JUN FY2011,2046,01-06-2020
39,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2011,JUL FY2011,4407,01-07-2020
40,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,AUG FY2011,1470,01-08-2020
41,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,SEP FY2011,1980,01-09-2020
42,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,OCT FY2011,3708,01-10-2020
43,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2011,NOV FY2011,3468,01-11-2020
44,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2011,DEC FY2011,2975,01-12-2020
45,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2012,JAN FY2012,2583,01-01-2021
46,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2012,FEB FY2012,1714,01-02-2021
47,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2012,MAR FY2012,1499,01-03-2021
48,CVEBU,CTSQS,CS-CODEC-PLUS+,Q3 FY2012,APR FY2012,2537,01-04-2021
49,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2012,MAY FY2012,2253,01-05-2021
50,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2012,JUN FY2012,1937,01-06-2021
51,CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2012,JUL FY2012,4089,01-07-2021
52,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,AUG FY2012,1830,01-08-2021
53,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,SEP FY2012,2100,01-09-2021
54,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,OCT FY2012,2946,01-10-2021
55,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2012,NOV FY2012,2627,01-11-2021
56,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2012,DEC FY2012,2715,01-12-2021
57,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2022,JAN FY2022,3772,01-01-2022
58,CVEBU,CTSQS,CS-CODEC-PLUS+,,,3427,01-02-2022
59,CVEBU,CTSQS,CS-CODEC-PLUS+,,,3082,01-03-2022
60,CVEBU,CTSQS,CS-CODEC-PLUS+,,,2737,01-04-2022
61,CVEBU,CTSQS,CS-CODEC-PLUS+,,,2392,01-05-2022
62,CVEBU,CTSQS,CS-CODEC-PLUS+,,,2047,01-06-2022
63,CVEBU,CTSQS,CS-CODEC-PLUS+,,,1702,01-07-2022
64,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,AUG FY2022,1357,01-08-2022
65,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,SEP FY2022,1773,01-09-2022
66,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,OCT FY2022,5431,01-10-2022
67,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2022,NOV FY2022,2809,01-11-2022
