,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2008,JUL FY2008,3,01-07-2018
1,CVEBU,CTSQS,CS-CODEC-PRO+,,,54,01-08-2018
2,CVEBU,CTSQS,CS-CODEC-PRO+,,,105,01-09-2018
3,CVEBU,CTSQS,CS-CODEC-PRO+,,,155,01-10-2018
4,CVEBU,CTSQS,CS-CODEC-PRO+,,,206,01-11-2018
5,CVEBU,CTSQS,CS-CODEC-PRO+,,,257,01-12-2018
6,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2007,JAN FY2007,307,01-01-2019
7,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2007,FEB FY2007,409,01-02-2019
8,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2007,MAR FY2007,433,01-03-2019
9,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2007,APR FY2007,683,01-04-2019
10,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,MAY FY2007,822,01-05-2019
11,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,JUN FY2007,812,01-06-2019
12,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,JUL FY2007,1391,01-07-2019
13,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2007,AUG FY2007,6,01-08-2019
14,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2007,SEP FY2007,250,01-09-2019
15,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2007,OCT FY2007,293,01-10-2019
16,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2007,NOV FY2007,317,01-11-2019
17,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2007,DEC FY2007,787,01-12-2019
18,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2011,JAN FY2011,922,01-01-2020
19,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2011,FEB FY2011,927,01-02-2020
20,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2011,MAR FY2011,905,01-03-2020
21,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2011,APR FY2011,1284,01-04-2020
22,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2011,MAY FY2011,615,01-05-2020
23,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2011,JUN FY2011,597,01-06-2020
24,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2011,JUL FY2011,1458,01-07-2020
25,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2011,AUG FY2011,484,01-08-2020
26,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2011,SEP FY2011,680,01-09-2020
27,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2011,OCT FY2011,1528,01-10-2020
28,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2011,NOV FY2011,905,01-11-2020
29,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2011,DEC FY2011,956,01-12-2020
30,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2012,JAN FY2012,896,01-01-2021
31,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2012,FEB FY2012,724,01-02-2021
32,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2012,MAR FY2012,1054,01-03-2021
33,CVEBU,CTSQS,CS-CODEC-PRO+,Q3 FY2012,APR FY2012,934,01-04-2021
34,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2012,MAY FY2012,746,01-05-2021
35,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2012,JUN FY2012,682,01-06-2021
36,CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2012,JUL FY2012,2029,01-07-2021
37,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2012,AUG FY2012,352,01-08-2021
38,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2012,SEP FY2012,686,01-09-2021
39,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2012,OCT FY2012,1643,01-10-2021
40,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2012,NOV FY2012,1019,01-11-2021
41,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2012,DEC FY2012,1018,01-12-2021
42,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2022,JAN FY2022,1247,01-01-2022
43,CVEBU,CTSQS,CS-CODEC-PRO+,,,1155,01-02-2022
44,CVEBU,CTSQS,CS-CODEC-PRO+,,,1062,01-03-2022
45,CVEBU,CTSQS,CS-CODEC-PRO+,,,969,01-04-2022
46,CVEBU,CTSQS,CS-CODEC-PRO+,,,877,01-05-2022
47,CVEBU,CTSQS,CS-CODEC-PRO+,,,784,01-06-2022
48,CVEBU,CTSQS,CS-CODEC-PRO+,,,691,01-07-2022
49,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2022,AUG FY2022,598,01-08-2022
50,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2022,SEP FY2022,977,01-09-2022
51,CVEBU,CTSQS,CS-CODEC-PRO+,Q1 FY2022,OCT FY2022,2402,01-10-2022
52,CVEBU,CTSQS,CS-CODEC-PRO+,Q2 FY2022,NOV FY2022,1192,01-11-2022
