,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSPS,CS-DESK-K9,Q4 FY2012,JUL FY2012,628,01-07-2021
1,CVEBU,CTSPS,CS-DESK-K9,,,588,01-08-2021
2,CVEBU,CTSPS,CS-DESK-K9,,,547,01-09-2021
3,CVEBU,CTSPS,CS-DESK-K9,,,507,01-10-2021
4,CVEBU,CTSPS,CS-DESK-K9,,,466,01-11-2021
5,CVEBU,CTSPS,CS-DESK-K9,,,426,01-12-2021
6,CVEBU,CTSPS,CS-DESK-K9,Q2 FY2022,JAN FY2022,385,01-01-2022
7,CVEBU,CTSPS,CS-DESK-K9,,,352,01-02-2022
8,CVEBU,CTSPS,CS-DESK-K9,,,319,01-03-2022
9,CVEBU,CTSPS,CS-DESK-K9,,,286,01-04-2022
10,CVEBU,CTSPS,CS-DESK-K9,,,253,01-05-2022
11,CVEBU,CTSPS,CS-DESK-K9,,,220,01-06-2022
12,CVEBU,CTSPS,CS-DESK-K9,,,187,01-07-2022
13,CVEBU,CTSPS,CS-DESK-K9,Q1 FY2022,AUG FY2022,153,01-08-2022
14,CVEBU,CTSPS,CS-DESK-K9,Q1 FY2022,SEP FY2022,413,01-09-2022
15,CVEBU,CTSPS,CS-DESK-K9,Q1 FY2022,OCT FY2022,320,01-10-2022
16,CVEBU,CTSPS,CS-DESK-K9,Q2 FY2022,NOV FY2022,191,01-11-2022
