,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2011,JAN FY2011,136,01-01-2020
1,CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,FEB FY2011,198,01-02-2020
2,CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,MAR FY2011,392,01-03-2020
3,CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2011,APR FY2011,913,01-04-2020
4,CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,MAY FY2011,571,01-05-2020
5,CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,JUN FY2011,526,01-06-2020
6,CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2011,JUL FY2011,1230,01-07-2020
7,CVEBU,CTSPS,CS-DESKPRO-K9,,,1632,01-08-2020
8,CVEBU,CTSPS,CS-DESKPRO-K9,,,2033,01-09-2020
9,CVEBU,CTSPS,CS-DESKPRO-K9,,,2434,01-10-2020
10,CVEBU,CTSPS,CS-DESKPRO-K9,,,2835,01-11-2020
11,CVEBU,CTSPS,CS-DESKPRO-K9,,,3236,01-12-2020
12,CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,JAN FY2012,3637,01-01-2021
13,CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,FEB FY2012,948,01-02-2021
14,CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,MAR FY2012,1396,01-03-2021
15,CVEBU,CTSPS,CS-DESKPRO-K9,Q3 FY2012,APR FY2012,1584,01-04-2021
16,CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,MAY FY2012,1077,01-05-2021
17,CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,JUN FY2012,2535,01-06-2021
18,CVEBU,CTSPS,CS-DESKPRO-K9,Q4 FY2012,JUL FY2012,3168,01-07-2021
19,CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,AUG FY2012,727,01-08-2021
20,CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,SEP FY2012,717,01-09-2021
21,CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2012,OCT FY2012,1015,01-10-2021
22,CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,NOV FY2012,846,01-11-2021
23,CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2012,DEC FY2012,1001,01-12-2021
24,CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,JAN FY2022,3148,01-01-2022
25,CVEBU,CTSPS,CS-DESKPRO-K9,,,2876,01-02-2022
26,CVEBU,CTSPS,CS-DESKPRO-K9,,,2603,01-03-2022
27,CVEBU,CTSPS,CS-DESKPRO-K9,,,2331,01-04-2022
28,CVEBU,CTSPS,CS-DESKPRO-K9,,,2058,01-05-2022
29,CVEBU,CTSPS,CS-DESKPRO-K9,,,1786,01-06-2022
30,CVEBU,CTSPS,CS-DESKPRO-K9,,,1513,01-07-2022
31,CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,AUG FY2022,1240,01-08-2022
32,CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,SEP FY2022,2434,01-09-2022
33,CVEBU,CTSPS,CS-DESKPRO-K9,Q1 FY2022,OCT FY2022,2263,01-10-2022
34,CVEBU,CTSPS,CS-DESKPRO-K9,Q2 FY2022,NOV FY2022,1023,01-11-2022
