,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2002,MAR FY2002,0,01-03-2017
1,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2002,APR FY2002,344,01-04-2017
2,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2002,MAY FY2002,233,01-05-2017
3,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2002,JUN FY2002,571,01-06-2017
4,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2002,JUL FY2002,1748,01-07-2017
5,CVEBU,CTSQS,CS-KIT-K9,,,1802,01-08-2017
6,CVEBU,CTSQS,CS-KIT-K9,,,1856,01-09-2017
7,CVEBU,CTSQS,CS-KIT-K9,,,1909,01-10-2017
8,CVEBU,CTSQS,CS-KIT-K9,,,1963,01-11-2017
9,CVEBU,CTSQS,CS-KIT-K9,,,2017,01-12-2017
10,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2008,JAN FY2008,2070,01-01-2018
11,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2008,FEB FY2008,1158,01-02-2018
12,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2008,MAR FY2008,1985,01-03-2018
13,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2008,APR FY2008,3179,01-04-2018
14,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2008,MAY FY2008,1880,01-05-2018
15,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2008,JUN FY2008,2531,01-06-2018
16,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2008,JUL FY2008,4091,01-07-2018
17,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2008,AUG FY2008,858,01-08-2018
18,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2008,SEP FY2008,982,01-09-2018
19,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2008,OCT FY2008,1980,01-10-2018
20,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2008,NOV FY2008,1899,01-11-2018
21,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2008,DEC FY2008,2814,01-12-2018
22,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2007,JAN FY2007,3457,01-01-2019
23,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2007,FEB FY2007,3016,01-02-2019
24,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2007,MAR FY2007,1908,01-03-2019
25,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2007,APR FY2007,3572,01-04-2019
26,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2007,MAY FY2007,3147,01-05-2019
27,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2007,JUN FY2007,2461,01-06-2019
28,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2007,JUL FY2007,4022,01-07-2019
29,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2007,AUG FY2007,1940,01-08-2019
30,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2007,SEP FY2007,2117,01-09-2019
31,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2007,OCT FY2007,4511,01-10-2019
32,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2007,NOV FY2007,2902,01-11-2019
33,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2007,DEC FY2007,4124,01-12-2019
34,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2011,JAN FY2011,3195,01-01-2020
35,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2011,FEB FY2011,2283,01-02-2020
36,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2011,MAR FY2011,4223,01-03-2020
37,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2011,APR FY2011,3523,01-04-2020
38,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2011,MAY FY2011,1287,01-05-2020
39,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2011,JUN FY2011,1085,01-06-2020
40,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2011,JUL FY2011,2823,01-07-2020
41,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2011,AUG FY2011,1493,01-08-2020
42,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2011,SEP FY2011,2171,01-09-2020
43,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2011,OCT FY2011,4850,01-10-2020
44,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2011,NOV FY2011,3084,01-11-2020
45,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2011,DEC FY2011,3489,01-12-2020
46,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2012,JAN FY2012,2212,01-01-2021
47,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2012,FEB FY2012,1538,01-02-2021
48,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2012,MAR FY2012,1529,01-03-2021
49,CVEBU,CTSQS,CS-KIT-K9,Q3 FY2012,APR FY2012,1960,01-04-2021
50,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2012,MAY FY2012,1754,01-05-2021
51,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2012,JUN FY2012,1801,01-06-2021
52,CVEBU,CTSQS,CS-KIT-K9,Q4 FY2012,JUL FY2012,3761,01-07-2021
53,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2012,AUG FY2012,1504,01-08-2021
54,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2012,SEP FY2012,1234,01-09-2021
55,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2012,OCT FY2012,2188,01-10-2021
56,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2012,NOV FY2012,2399,01-11-2021
57,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2012,DEC FY2012,2529,01-12-2021
58,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2022,JAN FY2022,3043,01-01-2022
59,CVEBU,CTSQS,CS-KIT-K9,,,3015,01-02-2022
60,CVEBU,CTSQS,CS-KIT-K9,,,2986,01-03-2022
61,CVEBU,CTSQS,CS-KIT-K9,,,2957,01-04-2022
62,CVEBU,CTSQS,CS-KIT-K9,,,2929,01-05-2022
63,CVEBU,CTSQS,CS-KIT-K9,,,2900,01-06-2022
64,CVEBU,CTSQS,CS-KIT-K9,,,2871,01-07-2022
65,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2022,AUG FY2022,2842,01-08-2022
66,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2022,SEP FY2022,1736,01-09-2022
67,CVEBU,CTSQS,CS-KIT-K9,Q1 FY2022,OCT FY2022,4610,01-10-2022
68,CVEBU,CTSQS,CS-KIT-K9,Q2 FY2022,NOV FY2022,1852,01-11-2022
