,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2007,JAN FY2007,1473,01-01-2019
1,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2007,FEB FY2007,1416,01-02-2019
2,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2007,MAR FY2007,1532,01-03-2019
3,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2007,APR FY2007,2341,01-04-2019
4,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2007,MAY FY2007,2627,01-05-2019
5,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2007,JUN FY2007,2259,01-06-2019
6,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2007,JUL FY2007,4408,01-07-2019
7,CVEBU,CTSQS,CS-KIT-MINI-K9,,,3807,01-08-2019
8,CVEBU,CTSQS,CS-KIT-MINI-K9,,,3206,01-09-2019
9,CVEBU,CTSQS,CS-KIT-MINI-K9,,,2605,01-10-2019
10,CVEBU,CTSQS,CS-KIT-MINI-K9,,,2004,01-11-2019
11,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2007,DEC FY2007,1402,01-12-2019
12,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2011,JAN FY2011,3231,01-01-2020
13,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2011,FEB FY2011,2657,01-02-2020
14,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2011,MAR FY2011,5159,01-03-2020
15,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2011,APR FY2011,3610,01-04-2020
16,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2011,MAY FY2011,1077,01-05-2020
17,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2011,JUN FY2011,1598,01-06-2020
18,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2011,JUL FY2011,5137,01-07-2020
19,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2011,AUG FY2011,1411,01-08-2020
20,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2011,SEP FY2011,1885,01-09-2020
21,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2011,OCT FY2011,3999,01-10-2020
22,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2011,NOV FY2011,2593,01-11-2020
23,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2011,DEC FY2011,2917,01-12-2020
24,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2012,JAN FY2012,1775,01-01-2021
25,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2012,FEB FY2012,1720,01-02-2021
26,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2012,MAR FY2012,1948,01-03-2021
27,CVEBU,CTSQS,CS-KIT-MINI-K9,Q3 FY2012,APR FY2012,2532,01-04-2021
28,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2012,MAY FY2012,2194,01-05-2021
29,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2012,JUN FY2012,2338,01-06-2021
30,CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2012,JUL FY2012,3895,01-07-2021
31,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2012,AUG FY2012,2142,01-08-2021
32,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2012,SEP FY2012,1496,01-09-2021
33,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2012,OCT FY2012,2436,01-10-2021
34,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2012,NOV FY2012,2473,01-11-2021
35,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2012,DEC FY2012,3670,01-12-2021
36,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2022,JAN FY2022,4742,01-01-2022
37,CVEBU,CTSQS,CS-KIT-MINI-K9,,,4309,01-02-2022
38,CVEBU,CTSQS,CS-KIT-MINI-K9,,,3876,01-03-2022
39,CVEBU,CTSQS,CS-KIT-MINI-K9,,,3443,01-04-2022
40,CVEBU,CTSQS,CS-KIT-MINI-K9,,,3009,01-05-2022
41,CVEBU,CTSQS,CS-KIT-MINI-K9,,,2576,01-06-2022
42,CVEBU,CTSQS,CS-KIT-MINI-K9,,,2143,01-07-2022
43,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2022,AUG FY2022,1709,01-08-2022
44,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2022,SEP FY2022,1942,01-09-2022
45,CVEBU,CTSQS,CS-KIT-MINI-K9,Q1 FY2022,OCT FY2022,4123,01-10-2022
46,CVEBU,CTSQS,CS-KIT-MINI-K9,Q2 FY2022,NOV FY2022,3786,01-11-2022
