,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSQS,CS-QUADCAM+,Q3 FY2002,APR FY2002,0,01-04-2017
1,CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2002,MAY FY2002,184,01-05-2017
2,CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2002,JUN FY2002,392,01-06-2017
3,CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2002,JUL FY2002,866,01-07-2017
4,CVEBU,CTSQS,CS-QUADCAM+,,,908,01-08-2017
5,CVEBU,CTSQS,CS-QUADCAM+,,,950,01-09-2017
6,CVEBU,CTSQS,CS-QUADCAM+,,,991,01-10-2017
7,CVEBU,CTSQS,CS-QUADCAM+,,,1033,01-11-2017
8,CVEBU,CTSQS,CS-QUADCAM+,,,1075,01-12-2017
9,CVEBU,CTSQS,CS-QUADCAM+,Q2 FY2008,JAN FY2008,1116,01-01-2018
10,CVEBU,CTSQS,CS-QUADCAM+,Q3 FY2008,FEB FY2008,858,01-02-2018
11,CVEBU,CTSQS,CS-QUADCAM+,Q3 FY2008,MAR FY2008,1078,01-03-2018
12,CVEBU,CTSQS,CS-QUADCAM+,Q3 FY2008,APR FY2008,1840,01-04-2018
13,CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2008,MAY FY2008,1473,01-05-2018
14,CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2008,JUN FY2008,1380,01-06-2018
15,CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2008,JUL FY2008,2923,01-07-2018
16,CVEBU,CTSQS,CS-QUADCAM+,Q1 FY2008,AUG FY2008,365,01-08-2018
17,CVEBU,CTSQS,CS-QUADCAM+,Q1 FY2008,SEP FY2008,392,01-09-2018
18,CVEBU,CTSQS,CS-QUADCAM+,Q1 FY2008,OCT FY2008,1085,01-10-2018
19,CVEBU,CTSQS,CS-QUADCAM+,Q2 FY2008,NOV FY2008,659,01-11-2018
20,CVEBU,CTSQS,CS-QUADCAM+,Q2 FY2008,DEC FY2008,1118,01-12-2018
