,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2007,FEB FY2007,0,01-02-2019
1,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,29,01-03-2019
2,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,57,01-04-2019
3,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,86,01-05-2019
4,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,114,01-06-2019
5,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,143,01-07-2019
6,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,171,01-08-2019
7,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,200,01-09-2019
8,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,228,01-10-2019
9,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,257,01-11-2019
10,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,285,01-12-2019
11,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,JAN FY2011,313,01-01-2020
12,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,FEB FY2011,180,01-02-2020
13,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,MAR FY2011,516,01-03-2020
14,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2011,APR FY2011,697,01-04-2020
15,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,MAY FY2011,297,01-05-2020
16,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,JUN FY2011,416,01-06-2020
17,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2011,JUL FY2011,1331,01-07-2020
18,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,1080,01-08-2020
19,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,829,01-09-2020
20,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,578,01-10-2020
21,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,NOV FY2011,327,01-11-2020
22,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2011,DEC FY2011,407,01-12-2020
23,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,JAN FY2012,439,01-01-2021
24,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,FEB FY2012,301,01-02-2021
25,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,MAR FY2012,389,01-03-2021
26,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q3 FY2012,APR FY2012,299,01-04-2021
27,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,MAY FY2012,201,01-05-2021
28,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,JUN FY2012,316,01-06-2021
29,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q4 FY2012,JUL FY2012,656,01-07-2021
30,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,AUG FY2012,345,01-08-2021
31,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,SEP FY2012,380,01-09-2021
32,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2012,OCT FY2012,440,01-10-2021
33,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,NOV FY2012,577,01-11-2021
34,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2012,DEC FY2012,670,01-12-2021
35,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,JAN FY2022,201,01-01-2022
36,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,201,01-02-2022
37,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,201,01-03-2022
38,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,201,01-04-2022
39,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,200,01-05-2022
40,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,200,01-06-2022
41,CVEBU,CTSMPS,CS-R55-UNI2-K9+,,,200,01-07-2022
42,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,AUG FY2022,199,01-08-2022
43,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,SEP FY2022,411,01-09-2022
44,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q1 FY2022,OCT FY2022,364,01-10-2022
45,CVEBU,CTSMPS,CS-R55-UNI2-K9+,Q2 FY2022,NOV FY2022,239,01-11-2022
