,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSQS,CS-T10-TS+,Q2 FY2012,JAN FY2012,3326,01-01-2021
1,CVEBU,CTSQS,CS-T10-TS+,Q3 FY2012,FEB FY2012,5033,01-02-2021
2,CVEBU,CTSQS,CS-T10-TS+,Q3 FY2012,MAR FY2012,7194,01-03-2021
3,CVEBU,CTSQS,CS-T10-TS+,Q3 FY2012,APR FY2012,9517,01-04-2021
4,CVEBU,CTSQS,CS-T10-TS+,Q4 FY2012,MAY FY2012,7669,01-05-2021
5,CVEBU,CTSQS,CS-T10-TS+,Q4 FY2012,JUN FY2012,7686,01-06-2021
6,CVEBU,CTSQS,CS-T10-TS+,Q4 FY2012,JUL FY2012,17560,01-07-2021
7,CVEBU,CTSQS,CS-T10-TS+,,,13171,01-08-2021
8,CVEBU,CTSQS,CS-T10-TS+,,,8781,01-09-2021
9,CVEBU,CTSQS,CS-T10-TS+,,,4391,01-10-2021
10,CVEBU,CTSQS,CS-T10-TS+,Q2 FY2012,NOV FY2012,1,01-11-2021
11,CVEBU,CTSQS,CS-T10-TS+,Q2 FY2012,DEC FY2012,202,01-12-2021
12,CVEBU,CTSQS,CS-T10-TS+,Q2 FY2022,JAN FY2022,13274,01-01-2022
13,CVEBU,CTSQS,CS-T10-TS+,,,12423,01-02-2022
14,CVEBU,CTSQS,CS-T10-TS+,,,11572,01-03-2022
15,CVEBU,CTSQS,CS-T10-TS+,,,10720,01-04-2022
16,CVEBU,CTSQS,CS-T10-TS+,,,9869,01-05-2022
17,CVEBU,CTSQS,CS-T10-TS+,,,9017,01-06-2022
18,CVEBU,CTSQS,CS-T10-TS+,,,8166,01-07-2022
19,CVEBU,CTSQS,CS-T10-TS+,Q1 FY2022,AUG FY2022,7314,01-08-2022
20,CVEBU,CTSQS,CS-T10-TS+,Q1 FY2022,SEP FY2022,8346,01-09-2022
21,CVEBU,CTSQS,CS-T10-TS+,Q1 FY2022,OCT FY2022,18719,01-10-2022
22,CVEBU,CTSQS,CS-T10-TS+,Q2 FY2022,NOV FY2022,10436,01-11-2022
