,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2014,MAR FY2014,5,01-03-2014
1,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2014,APR FY2014,319,01-04-2014
2,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,MAY FY2014,387,01-05-2014
3,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUN FY2014,627,01-06-2014
4,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2014,JUL FY2014,1116,01-07-2014
5,CVEBU,CTSQS,CTS-CAM-P60+,,,1102,01-08-2014
6,CVEBU,CTSQS,CTS-CAM-P60+,,,1087,01-09-2014
7,CVEBU,CTSQS,CTS-CAM-P60+,,,1072,01-10-2014
8,CVEBU,CTSQS,CTS-CAM-P60+,,,1058,01-11-2014
9,CVEBU,CTSQS,CTS-CAM-P60+,,,1043,01-12-2014
10,CVEBU,CTSQS,CTS-CAM-P60+,Q2 FY2015,JAN FY2015,1028,01-01-2015
11,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2015,FEB FY2015,852,01-02-2015
12,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2015,MAR FY2015,1418,01-03-2015
13,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2015,APR FY2015,1607,01-04-2015
14,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2015,MAY FY2015,1034,01-05-2015
15,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2015,JUN FY2015,1395,01-06-2015
16,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2015,JUL FY2015,3819,01-07-2015
17,CVEBU,CTSQS,CTS-CAM-P60+,Q1 FY2015,AUG FY2015,491,01-08-2015
18,CVEBU,CTSQS,CTS-CAM-P60+,Q1 FY2015,SEP FY2015,544,01-09-2015
19,CVEBU,CTSQS,CTS-CAM-P60+,Q1 FY2015,OCT FY2015,1182,01-10-2015
20,CVEBU,CTSQS,CTS-CAM-P60+,Q2 FY2015,NOV FY2015,811,01-11-2015
21,CVEBU,CTSQS,CTS-CAM-P60+,Q2 FY2015,DEC FY2015,1291,01-12-2015
22,CVEBU,CTSQS,CTS-CAM-P60+,Q2 FY2022,JAN FY2022,1962,01-01-2016
23,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2022,FEB FY2022,1576,01-02-2016
24,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2022,MAR FY2022,1168,01-03-2016
25,CVEBU,CTSQS,CTS-CAM-P60+,Q3 FY2022,APR FY2022,2185,01-04-2016
26,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2022,MAY FY2022,1307,01-05-2016
27,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2022,JUN FY2022,1187,01-06-2016
28,CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2022,JUL FY2022,3361,01-07-2016
29,CVEBU,CTSQS,CTS-CAM-P60+,Q1 FY2022,AUG FY2022,322,01-08-2016
30,CVEBU,CTSQS,CTS-CAM-P60+,Q1 FY2022,SEP FY2022,1285,01-09-2016
31,CVEBU,CTSQS,CTS-CAM-P60+,Q1 FY2022,OCT FY2022,2540,01-10-2016
32,CVEBU,CTSQS,CTS-CAM-P60+,Q2 FY2022,NOV FY2022,1340,01-11-2016
