,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,MAR FY2011,2,01-03-2020
1,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,APR FY2011,2,01-04-2020
2,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,MAY FY2011,12,01-05-2020
3,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUN FY2011,0,01-06-2020
4,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUL FY2011,0,01-07-2020
5,CPBU,DNAHW,DN2-CPU-I6238,,,91,01-08-2020
6,CPBU,DNAHW,DN2-CPU-I6238,,,181,01-09-2020
7,CPBU,DNAHW,DN2-CPU-I6238,,,271,01-10-2020
8,CPBU,DNAHW,DN2-CPU-I6238,,,362,01-11-2020
9,CPBU,DNAHW,DN2-CPU-I6238,,,452,01-12-2020
10,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,JAN FY2012,542,01-01-2021
11,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,FEB FY2012,370,01-02-2021
12,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,MAR FY2012,412,01-03-2021
13,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,APR FY2012,588,01-04-2021
14,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,MAY FY2012,442,01-05-2021
15,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUN FY2012,538,01-06-2021
16,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUL FY2012,1372,01-07-2021
17,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,AUG FY2012,2,01-08-2021
18,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,SEP FY2012,258,01-09-2021
19,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,OCT FY2012,644,01-10-2021
20,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,NOV FY2012,448,01-11-2021
21,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,DEC FY2012,476,01-12-2021
22,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,JAN FY2022,664,01-01-2022
23,CPBU,DNAHW,DN2-CPU-I6238,,,636,01-02-2022
24,CPBU,DNAHW,DN2-CPU-I6238,,,607,01-03-2022
25,CPBU,DNAHW,DN2-CPU-I6238,,,579,01-04-2022
26,CPBU,DNAHW,DN2-CPU-I6238,,,550,01-05-2022
27,CPBU,DNAHW,DN2-CPU-I6238,,,522,01-06-2022
28,CPBU,DNAHW,DN2-CPU-I6238,,,493,01-07-2022
29,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,AUG FY2022,464,01-08-2022
30,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,SEP FY2022,430,01-09-2022
31,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,OCT FY2022,730,01-10-2022
32,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,NOV FY2022,518,01-11-2022
