,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2011,FEB FY2011,1312,01-02-2020
1,CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2011,MAR FY2011,3048,01-03-2020
2,CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2011,APR FY2011,3976,01-04-2020
3,CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2011,MAY FY2011,1712,01-05-2020
4,CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2011,JUN FY2011,2704,01-06-2020
5,CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2011,JUL FY2011,6640,01-07-2020
6,CPBU,DNAHW,DN2-SD19T61X-EV,,,6214,01-08-2020
7,CPBU,DNAHW,DN2-SD19T61X-EV,,,5787,01-09-2020
8,CPBU,DNAHW,DN2-SD19T61X-EV,,,5360,01-10-2020
9,CPBU,DNAHW,DN2-SD19T61X-EV,,,4934,01-11-2020
10,CPBU,DNAHW,DN2-SD19T61X-EV,,,4507,01-12-2020
11,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,JAN FY2012,4080,01-01-2021
12,CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2012,FEB FY2012,2528,01-02-2021
13,CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2012,MAR FY2012,2656,01-03-2021
14,CPBU,DNAHW,DN2-SD19T61X-EV,Q3 FY2012,APR FY2012,4616,01-04-2021
15,CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,MAY FY2012,3240,01-05-2021
16,CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,JUN FY2012,3816,01-06-2021
17,CPBU,DNAHW,DN2-SD19T61X-EV,Q4 FY2012,JUL FY2012,10360,01-07-2021
18,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,AUG FY2012,1504,01-08-2021
19,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,SEP FY2012,2296,01-09-2021
20,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2012,OCT FY2012,4760,01-10-2021
21,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,NOV FY2012,2872,01-11-2021
22,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2012,DEC FY2012,3192,01-12-2021
23,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,JAN FY2022,4888,01-01-2022
24,CPBU,DNAHW,DN2-SD19T61X-EV,,,4607,01-02-2022
25,CPBU,DNAHW,DN2-SD19T61X-EV,,,4326,01-03-2022
26,CPBU,DNAHW,DN2-SD19T61X-EV,,,4045,01-04-2022
27,CPBU,DNAHW,DN2-SD19T61X-EV,,,3764,01-05-2022
28,CPBU,DNAHW,DN2-SD19T61X-EV,,,3483,01-06-2022
29,CPBU,DNAHW,DN2-SD19T61X-EV,,,3202,01-07-2022
30,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,AUG FY2022,2920,01-08-2022
31,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,SEP FY2022,3008,01-09-2022
32,CPBU,DNAHW,DN2-SD19T61X-EV,Q1 FY2022,OCT FY2022,5160,01-10-2022
33,CPBU,DNAHW,DN2-SD19T61X-EV,Q2 FY2022,NOV FY2022,3808,01-11-2022
