,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2008,JUN FY2008,3,01-06-2018
1,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2008,JUL FY2008,12,01-07-2018
2,ECBU,MDS9000,DS-C9148T-K9,,,22,01-08-2018
3,ECBU,MDS9000,DS-C9148T-K9,,,31,01-09-2018
4,ECBU,MDS9000,DS-C9148T-K9,,,41,01-10-2018
5,ECBU,MDS9000,DS-C9148T-K9,,,50,01-11-2018
6,ECBU,MDS9000,DS-C9148T-K9,,,60,01-12-2018
7,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2007,JAN FY2007,69,01-01-2019
8,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2007,FEB FY2007,47,01-02-2019
9,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2007,MAR FY2007,167,01-03-2019
10,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2007,APR FY2007,93,01-04-2019
11,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2007,MAY FY2007,98,01-05-2019
12,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2007,JUN FY2007,85,01-06-2019
13,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2007,JUL FY2007,211,01-07-2019
14,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2007,AUG FY2007,61,01-08-2019
15,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2007,SEP FY2007,70,01-09-2019
16,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2007,OCT FY2007,98,01-10-2019
17,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2007,NOV FY2007,142,01-11-2019
18,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2007,DEC FY2007,103,01-12-2019
19,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2011,JAN FY2011,167,01-01-2020
20,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2011,FEB FY2011,242,01-02-2020
21,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2011,MAR FY2011,85,01-03-2020
22,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2011,APR FY2011,474,01-04-2020
23,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2011,MAY FY2011,41,01-05-2020
24,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2011,JUN FY2011,289,01-06-2020
25,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2011,JUL FY2011,430,01-07-2020
26,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2011,AUG FY2011,96,01-08-2020
27,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2011,SEP FY2011,70,01-09-2020
28,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2011,OCT FY2011,192,01-10-2020
29,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2011,NOV FY2011,123,01-11-2020
30,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2011,DEC FY2011,181,01-12-2020
31,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2012,JAN FY2012,283,01-01-2021
32,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2012,FEB FY2012,316,01-02-2021
33,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2012,MAR FY2012,134,01-03-2021
34,ECBU,MDS9000,DS-C9148T-K9,Q3 FY2012,APR FY2012,338,01-04-2021
35,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2012,MAY FY2012,280,01-05-2021
36,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2012,JUN FY2012,263,01-06-2021
37,ECBU,MDS9000,DS-C9148T-K9,Q4 FY2012,JUL FY2012,866,01-07-2021
38,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2012,AUG FY2012,157,01-08-2021
39,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2012,SEP FY2012,183,01-09-2021
40,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2012,OCT FY2012,260,01-10-2021
41,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2012,NOV FY2012,108,01-11-2021
42,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2012,DEC FY2012,299,01-12-2021
43,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2022,JAN FY2022,405,01-01-2022
44,ECBU,MDS9000,DS-C9148T-K9,,,377,01-02-2022
45,ECBU,MDS9000,DS-C9148T-K9,,,349,01-03-2022
46,ECBU,MDS9000,DS-C9148T-K9,,,321,01-04-2022
47,ECBU,MDS9000,DS-C9148T-K9,,,293,01-05-2022
48,ECBU,MDS9000,DS-C9148T-K9,,,265,01-06-2022
49,ECBU,MDS9000,DS-C9148T-K9,,,237,01-07-2022
50,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2022,AUG FY2022,208,01-08-2022
51,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2022,SEP FY2022,133,01-09-2022
52,ECBU,MDS9000,DS-C9148T-K9,Q1 FY2022,OCT FY2022,409,01-10-2022
53,ECBU,MDS9000,DS-C9148T-K9,Q2 FY2022,NOV FY2022,226,01-11-2022
