,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2002,APR FY2002,726,01-04-2017
1,ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2002,MAY FY2002,1906,01-05-2017
2,ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2002,JUN FY2002,7289,01-06-2017
3,ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2002,JUL FY2002,370,01-07-2017
4,ECBU,MDS9000,DS-SFP-FC32G-SW,,,587,01-08-2017
5,ECBU,MDS9000,DS-SFP-FC32G-SW,,,804,01-09-2017
6,ECBU,MDS9000,DS-SFP-FC32G-SW,,,1021,01-10-2017
7,ECBU,MDS9000,DS-SFP-FC32G-SW,,,1238,01-11-2017
8,ECBU,MDS9000,DS-SFP-FC32G-SW,,,1455,01-12-2017
9,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2008,JAN FY2008,1672,01-01-2018
10,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2008,FEB FY2008,1414,01-02-2018
11,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2008,MAR FY2008,2531,01-03-2018
12,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2008,APR FY2008,5337,01-04-2018
13,ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2008,MAY FY2008,2109,01-05-2018
14,ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2008,JUN FY2008,5002,01-06-2018
15,ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2008,JUL FY2008,6963,01-07-2018
16,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2008,AUG FY2008,180,01-08-2018
17,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2008,SEP FY2008,1136,01-09-2018
18,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2008,OCT FY2008,800,01-10-2018
19,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2008,NOV FY2008,1484,01-11-2018
20,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2008,DEC FY2008,2844,01-12-2018
21,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2007,JAN FY2007,14849,01-01-2019
