,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2002,APR FY2002,322,01-04-2017
1,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2002,MAY FY2002,62,01-05-2017
2,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2002,JUN FY2002,535,01-06-2017
3,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2002,JUL FY2002,138,01-07-2017
4,ECBU,MDS9000,DS-X9648-1536K9,,,178,01-08-2017
5,ECBU,MDS9000,DS-X9648-1536K9,,,217,01-09-2017
6,ECBU,MDS9000,DS-X9648-1536K9,,,257,01-10-2017
7,ECBU,MDS9000,DS-X9648-1536K9,,,296,01-11-2017
8,ECBU,MDS9000,DS-X9648-1536K9,,,336,01-12-2017
9,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,JAN FY2008,375,01-01-2018
10,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2008,FEB FY2008,407,01-02-2018
11,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2008,MAR FY2008,373,01-03-2018
12,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2008,APR FY2008,342,01-04-2018
13,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2008,MAY FY2008,135,01-05-2018
14,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2008,JUN FY2008,207,01-06-2018
15,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2008,JUL FY2008,484,01-07-2018
16,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,AUG FY2008,21,01-08-2018
17,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,SEP FY2008,76,01-09-2018
18,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,OCT FY2008,60,01-10-2018
19,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,NOV FY2008,72,01-11-2018
20,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,DEC FY2008,274,01-12-2018
21,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,JAN FY2007,418,01-01-2019
22,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2007,FEB FY2007,763,01-02-2019
23,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2007,MAR FY2007,323,01-03-2019
24,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2007,APR FY2007,8,01-04-2019
25,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,MAY FY2007,208,01-05-2019
26,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,JUN FY2007,148,01-06-2019
27,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,JUL FY2007,689,01-07-2019
28,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,AUG FY2007,124,01-08-2019
29,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,SEP FY2007,193,01-09-2019
30,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,OCT FY2007,250,01-10-2019
31,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,NOV FY2007,311,01-11-2019
32,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,DEC FY2007,402,01-12-2019
33,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,JAN FY2011,827,01-01-2020
34,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2011,FEB FY2011,788,01-02-2020
35,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2011,MAR FY2011,281,01-03-2020
36,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2011,APR FY2011,1200,01-04-2020
37,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2011,MAY FY2011,48,01-05-2020
38,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2011,JUN FY2011,293,01-06-2020
39,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2011,JUL FY2011,1522,01-07-2020
40,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,AUG FY2011,101,01-08-2020
41,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,SEP FY2011,304,01-09-2020
42,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,OCT FY2011,681,01-10-2020
43,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,NOV FY2011,159,01-11-2020
44,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,DEC FY2011,310,01-12-2020
45,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,JAN FY2012,407,01-01-2021
46,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2012,FEB FY2012,875,01-02-2021
47,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2012,MAR FY2012,758,01-03-2021
48,ECBU,MDS9000,DS-X9648-1536K9,Q3 FY2012,APR FY2012,502,01-04-2021
49,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2012,MAY FY2012,441,01-05-2021
50,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2012,JUN FY2012,66,01-06-2021
51,ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2012,JUL FY2012,1394,01-07-2021
52,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,AUG FY2012,487,01-08-2021
53,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,SEP FY2012,495,01-09-2021
54,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,OCT FY2012,253,01-10-2021
55,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,NOV FY2012,624,01-11-2021
56,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,DEC FY2012,1225,01-12-2021
57,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2022,JAN FY2022,443,01-01-2022
58,ECBU,MDS9000,DS-X9648-1536K9,,,491,01-02-2022
59,ECBU,MDS9000,DS-X9648-1536K9,,,539,01-03-2022
60,ECBU,MDS9000,DS-X9648-1536K9,,,587,01-04-2022
61,ECBU,MDS9000,DS-X9648-1536K9,,,634,01-05-2022
62,ECBU,MDS9000,DS-X9648-1536K9,,,682,01-06-2022
63,ECBU,MDS9000,DS-X9648-1536K9,,,730,01-07-2022
64,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,AUG FY2022,777,01-08-2022
65,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,SEP FY2022,697,01-09-2022
66,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,OCT FY2022,452,01-10-2022
67,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2022,NOV FY2022,703,01-11-2022
