,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2007,MAR FY2007,0,01-03-2019
1,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2007,APR FY2007,0,01-04-2019
2,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,MAY FY2007,0,01-05-2019
3,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,JUN FY2007,2,01-06-2019
4,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,JUL FY2007,86,01-07-2019
5,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,93,01-08-2019
6,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,99,01-09-2019
7,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,105,01-10-2019
8,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,112,01-11-2019
9,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,118,01-12-2019
10,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2011,JAN FY2011,124,01-01-2020
11,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2011,FEB FY2011,188,01-02-2020
12,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2011,MAR FY2011,377,01-03-2020
13,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2011,APR FY2011,482,01-04-2020
14,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2011,MAY FY2011,193,01-05-2020
15,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2011,JUN FY2011,229,01-06-2020
16,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2011,JUL FY2011,370,01-07-2020
17,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2011,AUG FY2011,26,01-08-2020
18,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2011,SEP FY2011,41,01-09-2020
19,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2011,OCT FY2011,116,01-10-2020
20,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2011,NOV FY2011,92,01-11-2020
21,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2011,DEC FY2011,146,01-12-2020
22,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2012,JAN FY2012,298,01-01-2021
23,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2012,FEB FY2012,156,01-02-2021
24,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2012,MAR FY2012,245,01-03-2021
25,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q3 FY2012,APR FY2012,204,01-04-2021
26,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2012,MAY FY2012,140,01-05-2021
27,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2012,JUN FY2012,205,01-06-2021
28,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2012,JUL FY2012,279,01-07-2021
29,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2012,AUG FY2012,130,01-08-2021
30,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2012,SEP FY2012,160,01-09-2021
31,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2012,OCT FY2012,323,01-10-2021
32,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2012,NOV FY2012,187,01-11-2021
33,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2012,DEC FY2012,178,01-12-2021
34,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2022,JAN FY2022,229,01-01-2022
35,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,212,01-02-2022
36,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,195,01-03-2022
37,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,177,01-04-2022
38,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,160,01-05-2022
39,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,142,01-06-2022
40,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,,,125,01-07-2022
41,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2022,AUG FY2022,107,01-08-2022
42,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2022,SEP FY2022,148,01-09-2022
43,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q1 FY2022,OCT FY2022,293,01-10-2022
44,NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q2 FY2022,NOV FY2022,183,01-11-2022
