,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,TOASTBU,SFPGE,GLC-TE,Q2 FY2015,JAN FY2015,44,01-01-2015
1,TOASTBU,SFPGE,GLC-TE,Q3 FY2015,FEB FY2015,20,01-02-2015
2,TOASTBU,SFPGE,GLC-TE,Q3 FY2015,MAR FY2015,2,01-03-2015
3,TOASTBU,SFPGE,GLC-TE,Q3 FY2015,APR FY2015,62,01-04-2015
4,TOASTBU,SFPGE,GLC-TE,Q4 FY2015,MAY FY2015,4,01-05-2015
5,TOASTBU,SFPGE,GLC-TE,Q4 FY2015,JUN FY2015,96,01-06-2015
6,TOASTBU,SFPGE,GLC-TE,Q4 FY2015,JUL FY2015,96,01-07-2015
7,TOASTBU,SFPGE,GLC-TE,,,190,01-08-2015
8,TOASTBU,SFPGE,GLC-TE,,,284,01-09-2015
9,TOASTBU,SFPGE,GLC-TE,,,378,01-10-2015
10,TOASTBU,SFPGE,GLC-TE,,,472,01-11-2015
11,TOASTBU,SFPGE,GLC-TE,,,566,01-12-2015
12,TOASTBU,SFPGE,GLC-TE,Q2 FY2022,JAN FY2022,660,01-01-2016
13,TOASTBU,SFPGE,GLC-TE,Q3 FY2022,FEB FY2022,788,01-02-2016
14,TOASTBU,SFPGE,GLC-TE,Q3 FY2022,MAR FY2022,888,01-03-2016
15,TOASTBU,SFPGE,GLC-TE,Q3 FY2022,APR FY2022,1047,01-04-2016
16,TOASTBU,SFPGE,GLC-TE,Q4 FY2022,MAY FY2022,692,01-05-2016
17,TOASTBU,SFPGE,GLC-TE,Q4 FY2022,JUN FY2022,7187,01-06-2016
18,TOASTBU,SFPGE,GLC-TE,Q4 FY2022,JUL FY2022,44904,01-07-2016
19,TOASTBU,SFPGE,GLC-TE,Q1 FY2022,AUG FY2022,0,01-08-2016
20,TOASTBU,SFPGE,GLC-TE,Q1 FY2022,SEP FY2022,30,01-09-2016
21,TOASTBU,SFPGE,GLC-TE,Q1 FY2022,OCT FY2022,61,01-10-2016
22,TOASTBU,SFPGE,GLC-TE,Q2 FY2022,NOV FY2022,78,01-11-2016
23,TOASTBU,SFPGE,GLC-TE,Q2 FY2022,DEC FY2022,650,01-12-2016
24,TOASTBU,SFPGE,GLC-TE,Q2 FY2002,JAN FY2002,163767,01-01-2017
25,TOASTBU,SFPGE,GLC-TE,Q3 FY2002,FEB FY2002,30807,01-02-2017
26,TOASTBU,SFPGE,GLC-TE,Q3 FY2002,MAR FY2002,58394,01-03-2017
27,TOASTBU,SFPGE,GLC-TE,Q3 FY2002,APR FY2002,71852,01-04-2017
28,TOASTBU,SFPGE,GLC-TE,Q4 FY2002,MAY FY2002,43461,01-05-2017
29,TOASTBU,SFPGE,GLC-TE,Q4 FY2002,JUN FY2002,59915,01-06-2017
30,TOASTBU,SFPGE,GLC-TE,Q4 FY2002,JUL FY2002,107164,01-07-2017
31,TOASTBU,SFPGE,GLC-TE,Q1 FY2002,AUG FY2002,11287,01-08-2017
32,TOASTBU,SFPGE,GLC-TE,Q1 FY2002,SEP FY2002,24918,01-09-2017
33,TOASTBU,SFPGE,GLC-TE,Q1 FY2002,OCT FY2002,57064,01-10-2017
34,TOASTBU,SFPGE,GLC-TE,Q2 FY2002,NOV FY2002,28936,01-11-2017
35,TOASTBU,SFPGE,GLC-TE,Q2 FY2002,DEC FY2002,43497,01-12-2017
36,TOASTBU,SFPGE,GLC-TE,Q2 FY2008,JAN FY2008,254439,01-01-2018
37,TOASTBU,SFPGE,GLC-TE,Q3 FY2008,FEB FY2008,75219,01-02-2018
38,TOASTBU,SFPGE,GLC-TE,Q3 FY2008,MAR FY2008,75709,01-03-2018
39,TOASTBU,SFPGE,GLC-TE,Q3 FY2008,APR FY2008,113743,01-04-2018
40,TOASTBU,SFPGE,GLC-TE,Q4 FY2008,MAY FY2008,79295,01-05-2018
41,TOASTBU,SFPGE,GLC-TE,Q4 FY2008,JUN FY2008,87008,01-06-2018
42,TOASTBU,SFPGE,GLC-TE,Q4 FY2008,JUL FY2008,149412,01-07-2018
43,TOASTBU,SFPGE,GLC-TE,Q1 FY2008,AUG FY2008,39386,01-08-2018
44,TOASTBU,SFPGE,GLC-TE,Q1 FY2008,SEP FY2008,56399,01-09-2018
45,TOASTBU,SFPGE,GLC-TE,Q1 FY2008,OCT FY2008,97980,01-10-2018
46,TOASTBU,SFPGE,GLC-TE,Q2 FY2008,NOV FY2008,70687,01-11-2018
47,TOASTBU,SFPGE,GLC-TE,Q2 FY2008,DEC FY2008,88466,01-12-2018
48,TOASTBU,SFPGE,GLC-TE,Q2 FY2007,JAN FY2007,82270,01-01-2019
49,TOASTBU,SFPGE,GLC-TE,Q3 FY2007,FEB FY2007,69934,01-02-2019
50,TOASTBU,SFPGE,GLC-TE,Q3 FY2007,MAR FY2007,74877,01-03-2019
51,TOASTBU,SFPGE,GLC-TE,Q3 FY2007,APR FY2007,114544,01-04-2019
52,TOASTBU,SFPGE,GLC-TE,Q4 FY2007,MAY FY2007,74424,01-05-2019
53,TOASTBU,SFPGE,GLC-TE,Q4 FY2007,JUN FY2007,73331,01-06-2019
54,TOASTBU,SFPGE,GLC-TE,Q4 FY2007,JUL FY2007,137105,01-07-2019
55,TOASTBU,SFPGE,GLC-TE,Q1 FY2007,AUG FY2007,55961,01-08-2019
56,TOASTBU,SFPGE,GLC-TE,Q1 FY2007,SEP FY2007,70761,01-09-2019
57,TOASTBU,SFPGE,GLC-TE,Q1 FY2007,OCT FY2007,120761,01-10-2019
58,TOASTBU,SFPGE,GLC-TE,Q2 FY2007,NOV FY2007,82752,01-11-2019
59,TOASTBU,SFPGE,GLC-TE,Q2 FY2007,DEC FY2007,91187,01-12-2019
60,TOASTBU,SFPGE,GLC-TE,Q2 FY2011,JAN FY2011,99222,01-01-2020
61,TOASTBU,SFPGE,GLC-TE,Q3 FY2011,FEB FY2011,101767,01-02-2020
62,TOASTBU,SFPGE,GLC-TE,Q3 FY2011,MAR FY2011,81006,01-03-2020
63,TOASTBU,SFPGE,GLC-TE,Q3 FY2011,APR FY2011,125243,01-04-2020
64,TOASTBU,SFPGE,GLC-TE,Q4 FY2011,MAY FY2011,55658,01-05-2020
65,TOASTBU,SFPGE,GLC-TE,Q4 FY2011,JUN FY2011,42446,01-06-2020
66,TOASTBU,SFPGE,GLC-TE,Q4 FY2011,JUL FY2011,132660,01-07-2020
67,TOASTBU,SFPGE,GLC-TE,Q1 FY2011,AUG FY2011,50379,01-08-2020
68,TOASTBU,SFPGE,GLC-TE,Q1 FY2011,SEP FY2011,74291,01-09-2020
69,TOASTBU,SFPGE,GLC-TE,Q1 FY2011,OCT FY2011,119336,01-10-2020
70,TOASTBU,SFPGE,GLC-TE,Q2 FY2011,NOV FY2011,78863,01-11-2020
71,TOASTBU,SFPGE,GLC-TE,Q2 FY2011,DEC FY2011,114724,01-12-2020
72,TOASTBU,SFPGE,GLC-TE,Q2 FY2012,JAN FY2012,125458,01-01-2021
73,TOASTBU,SFPGE,GLC-TE,Q3 FY2012,FEB FY2012,72731,01-02-2021
74,TOASTBU,SFPGE,GLC-TE,Q3 FY2012,MAR FY2012,105122,01-03-2021
75,TOASTBU,SFPGE,GLC-TE,Q3 FY2012,APR FY2012,129699,01-04-2021
76,TOASTBU,SFPGE,GLC-TE,Q4 FY2012,MAY FY2012,94980,01-05-2021
77,TOASTBU,SFPGE,GLC-TE,Q4 FY2012,JUN FY2012,83127,01-06-2021
78,TOASTBU,SFPGE,GLC-TE,Q4 FY2012,JUL FY2012,145475,01-07-2021
79,TOASTBU,SFPGE,GLC-TE,Q1 FY2012,AUG FY2012,51834,01-08-2021
80,TOASTBU,SFPGE,GLC-TE,Q1 FY2012,SEP FY2012,69781,01-09-2021
