,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,HXCPU,HX-CPU-I6258R,Q4 FY2011,MAY FY2011,16,01-05-2020
1,CSA,HXCPU,HX-CPU-I6258R,Q4 FY2011,JUN FY2011,0,01-06-2020
2,CSA,HXCPU,HX-CPU-I6258R,Q4 FY2011,JUL FY2011,32,01-07-2020
3,CSA,HXCPU,HX-CPU-I6258R,,,48,01-08-2020
4,CSA,HXCPU,HX-CPU-I6258R,,,63,01-09-2020
5,CSA,HXCPU,HX-CPU-I6258R,,,78,01-10-2020
6,CSA,HXCPU,HX-CPU-I6258R,,,94,01-11-2020
7,CSA,HXCPU,HX-CPU-I6258R,,,109,01-12-2020
8,CSA,HXCPU,HX-CPU-I6258R,Q2 FY2012,JAN FY2012,124,01-01-2021
9,CSA,HXCPU,HX-CPU-I6258R,Q3 FY2012,FEB FY2012,0,01-02-2021
10,CSA,HXCPU,HX-CPU-I6258R,Q3 FY2012,MAR FY2012,44,01-03-2021
11,CSA,HXCPU,HX-CPU-I6258R,Q3 FY2012,APR FY2012,142,01-04-2021
12,CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,MAY FY2012,46,01-05-2021
13,CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,JUN FY2012,204,01-06-2021
14,CSA,HXCPU,HX-CPU-I6258R,Q4 FY2012,JUL FY2012,64,01-07-2021
15,CSA,HXCPU,HX-CPU-I6258R,Q1 FY2012,AUG FY2012,16,01-08-2021
16,CSA,HXCPU,HX-CPU-I6258R,Q1 FY2012,SEP FY2012,40,01-09-2021
17,CSA,HXCPU,HX-CPU-I6258R,Q1 FY2012,OCT FY2012,28,01-10-2021
18,CSA,HXCPU,HX-CPU-I6258R,Q2 FY2012,NOV FY2012,80,01-11-2021
19,CSA,HXCPU,HX-CPU-I6258R,Q2 FY2012,DEC FY2012,526,01-12-2021
20,CSA,HXCPU,HX-CPU-I6258R,Q2 FY2022,JAN FY2022,62,01-01-2022
21,CSA,HXCPU,HX-CPU-I6258R,,,54,01-02-2022
22,CSA,HXCPU,HX-CPU-I6258R,,,45,01-03-2022
23,CSA,HXCPU,HX-CPU-I6258R,,,36,01-04-2022
24,CSA,HXCPU,HX-CPU-I6258R,,,27,01-05-2022
25,CSA,HXCPU,HX-CPU-I6258R,,,18,01-06-2022
26,CSA,HXCPU,HX-CPU-I6258R,,,9,01-07-2022
27,CSA,HXCPU,HX-CPU-I6258R,Q1 FY2022,AUG FY2022,0,01-08-2022
28,CSA,HXCPU,HX-CPU-I6258R,Q1 FY2022,SEP FY2022,12,01-09-2022
29,CSA,HXCPU,HX-CPU-I6258R,Q1 FY2022,OCT FY2022,86,01-10-2022
30,CSA,HXCPU,HX-CPU-I6258R,Q2 FY2022,NOV FY2022,12,01-11-2022
