,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2002,JUL FY2002,154,01-07-2017
1,CSA,HXSSD,HX-SD38T61X-EV,,,407,01-08-2017
2,CSA,HXSSD,HX-SD38T61X-EV,,,659,01-09-2017
3,CSA,HXSSD,HX-SD38T61X-EV,,,912,01-10-2017
4,CSA,HXSSD,HX-SD38T61X-EV,,,1164,01-11-2017
5,CSA,HXSSD,HX-SD38T61X-EV,,,1417,01-12-2017
6,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,JAN FY2008,1669,01-01-2018
7,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2008,FEB FY2008,1418,01-02-2018
8,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2008,MAR FY2008,683,01-03-2018
9,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2008,APR FY2008,2617,01-04-2018
10,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2008,MAY FY2008,650,01-05-2018
11,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2008,JUN FY2008,1487,01-06-2018
12,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2008,JUL FY2008,2622,01-07-2018
13,CSA,HXSSD,HX-SD38T61X-EV,,,1887,01-08-2018
14,CSA,HXSSD,HX-SD38T61X-EV,,,1152,01-09-2018
15,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2008,OCT FY2008,416,01-10-2018
16,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,NOV FY2008,880,01-11-2018
17,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,DEC FY2008,332,01-12-2018
18,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2007,JAN FY2007,2870,01-01-2019
19,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2007,FEB FY2007,914,01-02-2019
20,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2007,MAR FY2007,2148,01-03-2019
21,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2007,APR FY2007,7024,01-04-2019
22,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2007,MAY FY2007,2637,01-05-2019
23,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2007,JUN FY2007,3521,01-06-2019
24,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2007,JUL FY2007,8237,01-07-2019
25,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,AUG FY2007,1185,01-08-2019
26,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,SEP FY2007,825,01-09-2019
27,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,OCT FY2007,2201,01-10-2019
28,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2007,NOV FY2007,2399,01-11-2019
29,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2007,DEC FY2007,3152,01-12-2019
30,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2011,JAN FY2011,4684,01-01-2020
31,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2011,FEB FY2011,1542,01-02-2020
32,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2011,MAR FY2011,2419,01-03-2020
33,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2011,APR FY2011,2424,01-04-2020
34,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2011,MAY FY2011,3296,01-05-2020
35,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2011,JUN FY2011,2318,01-06-2020
36,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2011,JUL FY2011,4903,01-07-2020
37,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,AUG FY2011,2985,01-08-2020
38,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,SEP FY2011,461,01-09-2020
39,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,OCT FY2011,7508,01-10-2020
40,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2011,NOV FY2011,3245,01-11-2020
41,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2011,DEC FY2011,1953,01-12-2020
42,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2012,JAN FY2012,1590,01-01-2021
43,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2012,FEB FY2012,923,01-02-2021
44,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2012,MAR FY2012,1992,01-03-2021
45,CSA,HXSSD,HX-SD38T61X-EV,Q3 FY2012,APR FY2012,1905,01-04-2021
46,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,MAY FY2012,1694,01-05-2021
47,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,JUN FY2012,1398,01-06-2021
48,CSA,HXSSD,HX-SD38T61X-EV,Q4 FY2012,JUL FY2012,3044,01-07-2021
49,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,AUG FY2012,1346,01-08-2021
50,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,SEP FY2012,2468,01-09-2021
51,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,OCT FY2012,2870,01-10-2021
52,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2012,NOV FY2012,2133,01-11-2021
53,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2012,DEC FY2012,1280,01-12-2021
54,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2022,JAN FY2022,1643,01-01-2022
55,CSA,HXSSD,HX-SD38T61X-EV,,,1567,01-02-2022
56,CSA,HXSSD,HX-SD38T61X-EV,,,1490,01-03-2022
57,CSA,HXSSD,HX-SD38T61X-EV,,,1413,01-04-2022
58,CSA,HXSSD,HX-SD38T61X-EV,,,1337,01-05-2022
59,CSA,HXSSD,HX-SD38T61X-EV,,,1260,01-06-2022
60,CSA,HXSSD,HX-SD38T61X-EV,,,1183,01-07-2022
61,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,AUG FY2022,1106,01-08-2022
62,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,SEP FY2022,2230,01-09-2022
63,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,OCT FY2022,1865,01-10-2022
64,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2022,NOV FY2022,2098,01-11-2022
