,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,FEB FY2015,30,01-02-2015
1,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,MAR FY2015,5,01-03-2015
2,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,APR FY2015,4,01-04-2015
3,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,MAY FY2015,1,01-05-2015
4,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,JUN FY2015,7,01-06-2015
5,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,JUL FY2015,99,01-07-2015
6,IOTBU,IE4000,IE-4000-8T4G-E,,,93,01-08-2015
7,IOTBU,IE4000,IE-4000-8T4G-E,,,86,01-09-2015
8,IOTBU,IE4000,IE-4000-8T4G-E,,,80,01-10-2015
9,IOTBU,IE4000,IE-4000-8T4G-E,,,73,01-11-2015
10,IOTBU,IE4000,IE-4000-8T4G-E,,,67,01-12-2015
11,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,JAN FY2022,60,01-01-2016
12,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2022,FEB FY2022,27,01-02-2016
13,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2022,MAR FY2022,56,01-03-2016
14,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2022,APR FY2022,16,01-04-2016
15,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2022,MAY FY2022,14,01-05-2016
16,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2022,JUN FY2022,94,01-06-2016
17,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2022,JUL FY2022,125,01-07-2016
18,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,AUG FY2022,4,01-08-2016
19,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,SEP FY2022,17,01-09-2016
20,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,OCT FY2022,12,01-10-2016
21,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,NOV FY2022,3,01-11-2016
22,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,DEC FY2022,28,01-12-2016
23,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,JAN FY2002,46,01-01-2017
24,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2002,FEB FY2002,23,01-02-2017
25,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2002,MAR FY2002,27,01-03-2017
26,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2002,APR FY2002,761,01-04-2017
27,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2002,MAY FY2002,37,01-05-2017
28,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2002,JUN FY2002,73,01-06-2017
29,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2002,JUL FY2002,194,01-07-2017
30,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,AUG FY2002,4,01-08-2017
31,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,SEP FY2002,96,01-09-2017
32,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,OCT FY2002,81,01-10-2017
33,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,NOV FY2002,36,01-11-2017
34,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,DEC FY2002,102,01-12-2017
35,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,JAN FY2008,100,01-01-2018
36,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2008,FEB FY2008,52,01-02-2018
37,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2008,MAR FY2008,267,01-03-2018
38,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2008,APR FY2008,65,01-04-2018
39,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2008,MAY FY2008,33,01-05-2018
40,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2008,JUN FY2008,371,01-06-2018
41,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2008,JUL FY2008,972,01-07-2018
42,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,AUG FY2008,39,01-08-2018
43,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,SEP FY2008,138,01-09-2018
44,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,OCT FY2008,91,01-10-2018
45,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,NOV FY2008,31,01-11-2018
46,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,DEC FY2008,75,01-12-2018
47,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2007,JAN FY2007,928,01-01-2019
48,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2007,FEB FY2007,540,01-02-2019
49,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2007,MAR FY2007,519,01-03-2019
50,IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2007,APR FY2007,790,01-04-2019
51,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,MAY FY2007,813,01-05-2019
52,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,JUN FY2007,463,01-06-2019
53,IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,JUL FY2007,229,01-07-2019
54,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,AUG FY2007,54,01-08-2019
55,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,SEP FY2007,108,01-09-2019
