,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2002,JAN FY2002,57,01-01-2017
1,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2002,FEB FY2002,89,01-02-2017
2,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2002,MAR FY2002,101,01-03-2017
3,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2002,APR FY2002,92,01-04-2017
4,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2002,MAY FY2002,76,01-05-2017
5,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2002,JUN FY2002,67,01-06-2017
6,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2002,JUL FY2002,202,01-07-2017
7,IOTBU,IE4000,IE-4010-16S12P,,,107,01-08-2017
8,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2002,SEP FY2002,11,01-09-2017
9,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2002,OCT FY2002,40,01-10-2017
10,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2002,NOV FY2002,52,01-11-2017
11,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2002,DEC FY2002,141,01-12-2017
12,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2008,JAN FY2008,107,01-01-2018
13,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2008,FEB FY2008,136,01-02-2018
14,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2008,MAR FY2008,187,01-03-2018
15,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2008,APR FY2008,296,01-04-2018
16,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2008,MAY FY2008,120,01-05-2018
17,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2008,JUN FY2008,219,01-06-2018
18,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2008,JUL FY2008,339,01-07-2018
19,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2008,AUG FY2008,104,01-08-2018
20,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2008,SEP FY2008,147,01-09-2018
21,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2008,OCT FY2008,207,01-10-2018
22,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2008,NOV FY2008,100,01-11-2018
23,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2008,DEC FY2008,127,01-12-2018
24,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2007,JAN FY2007,142,01-01-2019
25,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2007,FEB FY2007,180,01-02-2019
26,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2007,MAR FY2007,461,01-03-2019
27,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2007,APR FY2007,576,01-04-2019
28,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2007,MAY FY2007,321,01-05-2019
29,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2007,JUN FY2007,380,01-06-2019
30,IOTBU,IE4000,IE-4010-16S12P,Q4 FY2007,JUL FY2007,1156,01-07-2019
31,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2007,AUG FY2007,392,01-08-2019
32,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2007,SEP FY2007,282,01-09-2019
33,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2007,OCT FY2007,761,01-10-2019
34,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2007,NOV FY2007,227,01-11-2019
35,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2007,DEC FY2007,273,01-12-2019
36,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2011,JAN FY2011,997,01-01-2020
37,IOTBU,IE4000,IE-4010-16S12P,Q3 FY2011,FEB FY2011,444,01-02-2020
