,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUN FY2014,1,01-06-2014
1,SRSBU,4300ISR,ISR4321/K9,Q4 FY2014,JUL FY2014,0,01-07-2014
2,SRSBU,4300ISR,ISR4321/K9,,,110,01-08-2014
3,SRSBU,4300ISR,ISR4321/K9,,,219,01-09-2014
4,SRSBU,4300ISR,ISR4321/K9,,,329,01-10-2014
5,SRSBU,4300ISR,ISR4321/K9,,,438,01-11-2014
6,SRSBU,4300ISR,ISR4321/K9,,,548,01-12-2014
7,SRSBU,4300ISR,ISR4321/K9,Q2 FY2015,JAN FY2015,657,01-01-2015
8,SRSBU,4300ISR,ISR4321/K9,Q3 FY2015,FEB FY2015,706,01-02-2015
9,SRSBU,4300ISR,ISR4321/K9,Q3 FY2015,MAR FY2015,515,01-03-2015
10,SRSBU,4300ISR,ISR4321/K9,Q3 FY2015,APR FY2015,2094,01-04-2015
11,SRSBU,4300ISR,ISR4321/K9,Q4 FY2015,MAY FY2015,1193,01-05-2015
12,SRSBU,4300ISR,ISR4321/K9,Q4 FY2015,JUN FY2015,1156,01-06-2015
13,SRSBU,4300ISR,ISR4321/K9,Q4 FY2015,JUL FY2015,4743,01-07-2015
14,SRSBU,4300ISR,ISR4321/K9,Q1 FY2015,AUG FY2015,4,01-08-2015
15,SRSBU,4300ISR,ISR4321/K9,Q1 FY2015,SEP FY2015,36,01-09-2015
16,SRSBU,4300ISR,ISR4321/K9,Q1 FY2015,OCT FY2015,102,01-10-2015
17,SRSBU,4300ISR,ISR4321/K9,Q2 FY2015,NOV FY2015,893,01-11-2015
18,SRSBU,4300ISR,ISR4321/K9,Q2 FY2015,DEC FY2015,599,01-12-2015
19,SRSBU,4300ISR,ISR4321/K9,Q2 FY2022,JAN FY2022,4440,01-01-2016
20,SRSBU,4300ISR,ISR4321/K9,Q3 FY2022,FEB FY2022,2951,01-02-2016
21,SRSBU,4300ISR,ISR4321/K9,Q3 FY2022,MAR FY2022,6450,01-03-2016
22,SRSBU,4300ISR,ISR4321/K9,Q3 FY2022,APR FY2022,5518,01-04-2016
23,SRSBU,4300ISR,ISR4321/K9,Q4 FY2022,MAY FY2022,3196,01-05-2016
24,SRSBU,4300ISR,ISR4321/K9,Q4 FY2022,JUN FY2022,4292,01-06-2016
25,SRSBU,4300ISR,ISR4321/K9,Q4 FY2022,JUL FY2022,10201,01-07-2016
26,SRSBU,4300ISR,ISR4321/K9,Q1 FY2022,AUG FY2022,1557,01-08-2016
27,SRSBU,4300ISR,ISR4321/K9,Q1 FY2022,SEP FY2022,2189,01-09-2016
28,SRSBU,4300ISR,ISR4321/K9,Q1 FY2022,OCT FY2022,3466,01-10-2016
29,SRSBU,4300ISR,ISR4321/K9,Q2 FY2022,NOV FY2022,3121,01-11-2016
30,SRSBU,4300ISR,ISR4321/K9,Q2 FY2022,DEC FY2022,6276,01-12-2016
31,SRSBU,4300ISR,ISR4321/K9,Q2 FY2002,JAN FY2002,10927,01-01-2017
32,SRSBU,4300ISR,ISR4321/K9,Q3 FY2002,FEB FY2002,9537,01-02-2017
33,SRSBU,4300ISR,ISR4321/K9,Q3 FY2002,MAR FY2002,7454,01-03-2017
34,SRSBU,4300ISR,ISR4321/K9,Q3 FY2002,APR FY2002,11093,01-04-2017
35,SRSBU,4300ISR,ISR4321/K9,Q4 FY2002,MAY FY2002,6835,01-05-2017
36,SRSBU,4300ISR,ISR4321/K9,Q4 FY2002,JUN FY2002,6240,01-06-2017
37,SRSBU,4300ISR,ISR4321/K9,Q4 FY2002,JUL FY2002,15103,01-07-2017
38,SRSBU,4300ISR,ISR4321/K9,Q1 FY2002,AUG FY2002,3335,01-08-2017
39,SRSBU,4300ISR,ISR4321/K9,Q1 FY2002,SEP FY2002,4439,01-09-2017
40,SRSBU,4300ISR,ISR4321/K9,Q1 FY2002,OCT FY2002,10393,01-10-2017
41,SRSBU,4300ISR,ISR4321/K9,Q2 FY2002,NOV FY2002,4411,01-11-2017
42,SRSBU,4300ISR,ISR4321/K9,Q2 FY2002,DEC FY2002,8355,01-12-2017
43,SRSBU,4300ISR,ISR4321/K9,Q2 FY2008,JAN FY2008,9810,01-01-2018
44,SRSBU,4300ISR,ISR4321/K9,Q3 FY2008,FEB FY2008,6834,01-02-2018
45,SRSBU,4300ISR,ISR4321/K9,Q3 FY2008,MAR FY2008,10059,01-03-2018
46,SRSBU,4300ISR,ISR4321/K9,Q3 FY2008,APR FY2008,16852,01-04-2018
47,SRSBU,4300ISR,ISR4321/K9,Q4 FY2008,MAY FY2008,9776,01-05-2018
48,SRSBU,4300ISR,ISR4321/K9,Q4 FY2008,JUN FY2008,13478,01-06-2018
49,SRSBU,4300ISR,ISR4321/K9,Q4 FY2008,JUL FY2008,17409,01-07-2018
50,SRSBU,4300ISR,ISR4321/K9,Q1 FY2008,AUG FY2008,5383,01-08-2018
51,SRSBU,4300ISR,ISR4321/K9,Q1 FY2008,SEP FY2008,7994,01-09-2018
52,SRSBU,4300ISR,ISR4321/K9,Q1 FY2008,OCT FY2008,12179,01-10-2018
53,SRSBU,4300ISR,ISR4321/K9,Q2 FY2008,NOV FY2008,7464,01-11-2018
54,SRSBU,4300ISR,ISR4321/K9,Q2 FY2008,DEC FY2008,7300,01-12-2018
55,SRSBU,4300ISR,ISR4321/K9,Q2 FY2007,JAN FY2007,9551,01-01-2019
56,SRSBU,4300ISR,ISR4321/K9,Q3 FY2007,FEB FY2007,7932,01-02-2019
57,SRSBU,4300ISR,ISR4321/K9,Q3 FY2007,MAR FY2007,9719,01-03-2019
58,SRSBU,4300ISR,ISR4321/K9,Q3 FY2007,APR FY2007,11507,01-04-2019
59,SRSBU,4300ISR,ISR4321/K9,Q4 FY2007,MAY FY2007,7505,01-05-2019
60,SRSBU,4300ISR,ISR4321/K9,Q4 FY2007,JUN FY2007,9476,01-06-2019
61,SRSBU,4300ISR,ISR4321/K9,Q4 FY2007,JUL FY2007,13054,01-07-2019
62,SRSBU,4300ISR,ISR4321/K9,Q1 FY2007,AUG FY2007,6497,01-08-2019
63,SRSBU,4300ISR,ISR4321/K9,Q1 FY2007,SEP FY2007,10030,01-09-2019
64,SRSBU,4300ISR,ISR4321/K9,Q1 FY2007,OCT FY2007,15540,01-10-2019
65,SRSBU,4300ISR,ISR4321/K9,Q2 FY2007,NOV FY2007,10259,01-11-2019
66,SRSBU,4300ISR,ISR4321/K9,Q2 FY2007,DEC FY2007,10205,01-12-2019
67,SRSBU,4300ISR,ISR4321/K9,Q2 FY2011,JAN FY2011,8245,01-01-2020
68,SRSBU,4300ISR,ISR4321/K9,Q3 FY2011,FEB FY2011,4492,01-02-2020
69,SRSBU,4300ISR,ISR4321/K9,Q3 FY2011,MAR FY2011,7644,01-03-2020
70,SRSBU,4300ISR,ISR4321/K9,Q3 FY2011,APR FY2011,7811,01-04-2020
71,SRSBU,4300ISR,ISR4321/K9,Q4 FY2011,MAY FY2011,4189,01-05-2020
72,SRSBU,4300ISR,ISR4321/K9,Q4 FY2011,JUN FY2011,3393,01-06-2020
73,SRSBU,4300ISR,ISR4321/K9,Q4 FY2011,JUL FY2011,6700,01-07-2020
74,SRSBU,4300ISR,ISR4321/K9,Q1 FY2011,AUG FY2011,4975,01-08-2020
75,SRSBU,4300ISR,ISR4321/K9,Q1 FY2011,SEP FY2011,7404,01-09-2020
76,SRSBU,4300ISR,ISR4321/K9,Q1 FY2011,OCT FY2011,13852,01-10-2020
77,SRSBU,4300ISR,ISR4321/K9,Q2 FY2011,NOV FY2011,6218,01-11-2020
78,SRSBU,4300ISR,ISR4321/K9,Q2 FY2011,DEC FY2011,6582,01-12-2020
79,SRSBU,4300ISR,ISR4321/K9,Q2 FY2012,JAN FY2012,9676,01-01-2021
80,SRSBU,4300ISR,ISR4321/K9,Q3 FY2012,FEB FY2012,4734,01-02-2021
81,SRSBU,4300ISR,ISR4321/K9,Q3 FY2012,MAR FY2012,4297,01-03-2021
82,SRSBU,4300ISR,ISR4321/K9,Q3 FY2012,APR FY2012,4838,01-04-2021
83,SRSBU,4300ISR,ISR4321/K9,Q4 FY2012,MAY FY2012,3561,01-05-2021
84,SRSBU,4300ISR,ISR4321/K9,Q4 FY2012,JUN FY2012,5114,01-06-2021
85,SRSBU,4300ISR,ISR4321/K9,Q4 FY2012,JUL FY2012,8029,01-07-2021
86,SRSBU,4300ISR,ISR4321/K9,Q1 FY2012,AUG FY2012,2953,01-08-2021
87,SRSBU,4300ISR,ISR4321/K9,Q1 FY2012,SEP FY2012,3644,01-09-2021
88,SRSBU,4300ISR,ISR4321/K9,Q1 FY2012,OCT FY2012,7276,01-10-2021
89,SRSBU,4300ISR,ISR4321/K9,Q2 FY2012,NOV FY2012,3173,01-11-2021
90,SRSBU,4300ISR,ISR4321/K9,Q2 FY2012,DEC FY2012,3829,01-12-2021
91,SRSBU,4300ISR,ISR4321/K9,Q2 FY2022,JAN FY2022,6062,01-01-2022
92,SRSBU,4300ISR,ISR4321/K9,,,5981,01-02-2022
93,SRSBU,4300ISR,ISR4321/K9,,,5900,01-03-2022
94,SRSBU,4300ISR,ISR4321/K9,,,5819,01-04-2022
95,SRSBU,4300ISR,ISR4321/K9,,,5738,01-05-2022
96,SRSBU,4300ISR,ISR4321/K9,,,5657,01-06-2022
97,SRSBU,4300ISR,ISR4321/K9,,,5576,01-07-2022
98,SRSBU,4300ISR,ISR4321/K9,Q1 FY2022,AUG FY2022,5494,01-08-2022
99,SRSBU,4300ISR,ISR4321/K9,Q1 FY2022,SEP FY2022,4803,01-09-2022
100,SRSBU,4300ISR,ISR4321/K9,Q1 FY2022,OCT FY2022,5795,01-10-2022
101,SRSBU,4300ISR,ISR4321/K9,Q2 FY2022,NOV FY2022,5142,01-11-2022
