,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
0,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2013,APR FY2013,25,01-04-2013
1,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,MAY FY2013,27,01-05-2013
2,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUN FY2013,38,01-06-2013
3,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUL FY2013,77,01-07-2013
4,SRSBU,ISR1121,ISR4451-X/K9,,,117,01-08-2013
5,SRSBU,ISR1121,ISR4451-X/K9,,,157,01-09-2013
6,SRSBU,ISR1121,ISR4451-X/K9,,,196,01-10-2013
7,SRSBU,ISR1121,ISR4451-X/K9,,,236,01-11-2013
8,SRSBU,ISR1121,ISR4451-X/K9,,,276,01-12-2013
9,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,JAN FY2014,315,01-01-2014
10,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,FEB FY2014,364,01-02-2014
11,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,MAR FY2014,338,01-03-2014
12,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,APR FY2014,534,01-04-2014
13,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,MAY FY2014,445,01-05-2014
14,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUN FY2014,609,01-06-2014
15,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2014,JUL FY2014,1978,01-07-2014
16,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,AUG FY2014,66,01-08-2014
17,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,SEP FY2014,97,01-09-2014
18,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2014,OCT FY2014,245,01-10-2014
19,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,NOV FY2014,254,01-11-2014
20,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,DEC FY2014,248,01-12-2014
21,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2015,JAN FY2015,1072,01-01-2015
22,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2015,FEB FY2015,479,01-02-2015
23,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2015,MAR FY2015,860,01-03-2015
24,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2015,APR FY2015,2497,01-04-2015
25,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2015,MAY FY2015,1516,01-05-2015
26,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2015,JUN FY2015,404,01-06-2015
27,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2015,JUL FY2015,2053,01-07-2015
28,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2015,AUG FY2015,409,01-08-2015
29,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2015,SEP FY2015,388,01-09-2015
30,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2015,OCT FY2015,2239,01-10-2015
31,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2015,NOV FY2015,24,01-11-2015
32,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2015,DEC FY2015,757,01-12-2015
33,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2022,JAN FY2022,1206,01-01-2016
34,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2022,FEB FY2022,1601,01-02-2016
35,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2022,MAR FY2022,1506,01-03-2016
36,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2022,APR FY2022,2299,01-04-2016
37,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2022,MAY FY2022,1432,01-05-2016
38,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2022,JUN FY2022,2484,01-06-2016
39,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2022,JUL FY2022,3636,01-07-2016
40,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2022,AUG FY2022,630,01-08-2016
41,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2022,SEP FY2022,937,01-09-2016
42,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2022,OCT FY2022,2832,01-10-2016
43,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2022,NOV FY2022,1101,01-11-2016
44,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2022,DEC FY2022,1345,01-12-2016
45,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2002,JAN FY2002,2519,01-01-2017
46,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2002,FEB FY2002,1633,01-02-2017
47,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2002,MAR FY2002,3112,01-03-2017
48,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2002,APR FY2002,2840,01-04-2017
49,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2002,MAY FY2002,2960,01-05-2017
50,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2002,JUN FY2002,2231,01-06-2017
51,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2002,JUL FY2002,4065,01-07-2017
52,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2002,AUG FY2002,1319,01-08-2017
53,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2002,SEP FY2002,1301,01-09-2017
54,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2002,OCT FY2002,3081,01-10-2017
55,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2002,NOV FY2002,1409,01-11-2017
56,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2002,DEC FY2002,1907,01-12-2017
57,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2008,JAN FY2008,3010,01-01-2018
58,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2008,FEB FY2008,1782,01-02-2018
59,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2008,MAR FY2008,2404,01-03-2018
60,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2008,APR FY2008,4868,01-04-2018
61,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2008,MAY FY2008,2519,01-05-2018
62,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2008,JUN FY2008,2562,01-06-2018
63,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2008,JUL FY2008,3635,01-07-2018
64,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2008,AUG FY2008,1748,01-08-2018
65,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2008,SEP FY2008,2186,01-09-2018
66,SRSBU,ISR1121,ISR4451-X/K9,Q1 FY2008,OCT FY2008,2784,01-10-2018
67,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2008,NOV FY2008,2363,01-11-2018
68,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2008,DEC FY2008,2222,01-12-2018
